As, ﻿a
seleções, seleçõ
femininas, feminina
do, do
Brasil, brasil
e, e
da, da
Rússia, rússia
definem, definem
hoje, hoje
às, às
14h30, 14h30
(, (
horário, horário
brasileiro, brasileiro
), )
a, a
liderança, liderança
do, do
Grupo, grupo
A, a
da, da
Beck, beck
's, 's
Cup, cup
,, ,
torneio, torneio
que, que
reúne, reún
em, em
Bremen, bremen
,, ,
Alemanha, alemanha
,, ,
algumas, alguma
das, da
melhores, melhor
equipes, equip
de, de
vôlei, vôlei
da, da
atualidade, atualidad
., .

, 

Depois, depoi
da, da
boa, boa
estréia, estréia
anteontem, anteontem
contra, contra
a, a
Ucrânia, ucrânia
,, ,
as, as
brasileiras, brasileira
entram, entram
na, na
quadra, quadra
sabendo, sabendo
que, que
a, a
missão, missão
de, de
hoje, hoje
é, é
mais, mai
difícil, difícil
:, :
vencer, vencer
as, as
vice-campeãs, vice-campeã
olímpicas, olímpica
,, ,
que, que
no, no
jogo-exibição, jogo-exibição
realizado, realizado
na, na
quarta-feira, quarta-feira
derrotaram, derrotaram
Cuba, cuba
,, ,
campeã, campeã
em, em
Barcelona, barcelona
., .

, 

Satisfeito, satisfeito
com, com
o, o
rendimento, rendimento
exibido, exibido
pela, pela
equipe, equip
,, ,
Bernardinho, bernardinho
mantém, mantém
o, o
mesmo, mesmo
time, time
que, que
venceu, venceu
as, as
ucranianas, ucraniana
:, :
Fernanda, fernanda
Venturini, venturini
,, ,
Hilma, hilma
,, ,
Ana, ana
Moser, moser
,, ,
Virna, virna
,, ,
Márcia, márcia
Fú, fú
e, e
Ana, ana
Flávia, flávia
., .

, 

Pelo, pelo
Grupo, grupo
B, b
,, ,
Cuba, cuba
e, e
Alemanha, alemanha
também, também
decidem, decidem
hoje, hoje
quem, quem
fica, fica
com, com
o, o
primeiro, primeiro
lugar, lugar
da, da
chave, chave
., .
Na, na
estréia, estréia
,, ,
as, as
alemãs, alemã
venceram, venceram
a, a
seleção, seleção
da, da
Austrália, austrália
por, por
3, 3
sets, set
a, a
0, 0
., .
Ucrânia, ucrânia
e, e
Austrália, austrália
voltam, voltam
à, à
quadra, quadra
hoje, hoje
apenas, apena
para, para
um, um
jogo-exibição, jogo-exibição
., .
Os, os
primeiros, primeiro
e, e
segundos, segundo
colocados, colocado
de, de
cada, cada
grupo, grupo
disputam, disputam
as, as
semifinais, semifinai
do, do
torneio, torneio
no, no
sábado, sábado
(, (
1.º, 1.º
do, do
A, a
x, x
2.º, 2.º
do, do
B, b
e, e
1.º, 1.º
do, do
B, b
x, x
2.º, 2.º
do, do
A, a
), )
., .
A, a
final, final
acontece, acontec
no, no
domingo, domingo
., .

, 

Masculino, masculino

, 

Rhodia, rhodia
/, /
Pirelli, pirelli
e, e
Cocamar, cocamar
/, /
Cyanamid, cyanamid
reabrem, reabrem
hoje, hoje
às, às
20h30, 20h30
a, a
quarta, quarta
rodada, rodada
do, do
returno, returno
da, da
Liga, liga
Nacional, nacion
Masculina, masculina
de, de
Vôlei, vôlei
., .
Amanhã, amanhã
,, ,
mais, mai
dois, doi
jogos, jogo
estão, estão
programados, programado
:, :
às, às
16h, 16h
,, ,
o, o
Flamengo, flamengo
/, /
Petrobrás, petrobrá
pega, pega
a, a
Telesp, telesp
,, ,
e, e
,, ,
às, às
17h, 17h
,, ,
Palmeiras, palmeira
/, /
Parmalat, parmalat
e, e
Dom, dom
Bosco, bosco
/, /
Pluma, pluma
/, /
Curitibano, curitibano
se, se
enfrentam, enfrentam
em, em
São, são
Paulo, paulo
no, no
ginásio, ginásio
do, do
Parque, parqu
Antarctica, antarctica
,, ,
com, com
transmissão, transmissão
ao, ao
vivo, vivo
pela, pela
TV, tv
Manchete, manchet
., .
(, (
SK, sk
), )

, 

