Os, ﻿o
jogadores, jogador
da, da
seleção, seleção
brasileira, brasileira
masculina, masculina
de, de
vôlei, vôlei
,, ,
que, que
inicia, inicia
dia, dia
19, 19
a, a
disputa, disputa
da, da
Liga, liga
Mundial, mundial
contra, contra
a, a
Espanha, espanha
,, ,
defendem, defendem
a, a
popularização, popularização
do, do
esporte, esport
no, no
país, paí
., .

, 

Segundo, segundo
o, o
atacante, atacant
Giovane, giovan
,, ,
a, a
Superliga, superliga
Nacional, nacion
pode, pode
ser, ser
o, o
caminho, caminho
para, para
que, que
o, o
Brasil, brasil
continue, continu
tendo, tendo
uma, uma
das, da
melhores, melhor
seleções, seleçõ
de, de
vôlei, vôlei
do, do
mundo, mundo
., .

, 

`, `
`, `
A, a
conquista, conquista
do, do
ouro, ouro
em, em
Barcelona, barcelona
aumentou, aument
o, o
público, público
do, do
vôlei, vôlei
no, no
Brasil, brasil
., .
Com, com
a, a
Superliga, superliga
,, ,
podemos, podemo
manter, manter
o, o
esporte, esport
em, em
evidência, evidência
'', ''
,, ,
afirmou, afirm
., .

, 

Segundo, segundo
ele, ele
,, ,
a, a
diferença, diferença
entre, entr
a, a
Superliga, superliga
Nacional, nacion
e, e
os, os
campeonatos, campeonato
de, de
vôlei, vôlei
na, na
Itália, itália
é, é
que, que
,, ,
na, na
Europa, europa
,, ,
a, a
modalidade, modalidad
tem, tem
mais, mai
tradição, tradição
., .

, 

`, `
`, `
Aqui, aqui
no, no
Brasil, brasil
ainda, ainda
é, é
um, um
esporte, esport
novo, novo
., .
Mas, ma
em, em
termos, termo
de, de
organização, organização
,, ,
nós, nó
não, não
devemos, devemo
nada, nada
a, a
ninguém, ninguém
., .
'', ''

, 

Giovane, giovan
diz, diz
que, que
,, ,
na, na
Itália, itália
,, ,
existe, exist
uma, uma
maior, maior
rivalidade, rivalidad
entre, entr
os, os
clubes, clube
., .
`, `
`, `
São, são
times, time
que, que
representam, representam
uma, uma
cidade, cidad
., .
A, a
rivalidade, rivalidad
sadia, sadia
é, é
estimulante, estimulant
., .
'', ''

, 

A, a
Frangosul-, frangosul-
Ginástica, ginástica
,, ,
de, de
Novo, novo
Hamburgo-RS, hamburgo-r
,, ,
lembra, lembra
,, ,
para, para
o, o
atacante, atacant
,, ,
os, os
clubes, clube
italianos, italiano
., .
`, `
`, `
A, a
cidade, cidad
de, de
Novo, novo
Hamburgo, hamburgo
toda, toda
torce, torc
para, para
a, a
Frangosul, frangosul
'', ''
,, ,
afirmou, afirm
., .

, 

O, o
ponta-de-rede, ponta-de-red
Tande, tand
concorda, concorda
com, com
Giovane, giovan
., .
`, `
`, `
Daqui, daqui
a, a
dez, dez
anos, ano
,, ,
o, o
vôlei, vôlei
pode, pode
virar, virar
um, um
esporte, esport
de, de
massa, massa
., .
'', ''

, 

Tande, tand
defende, defend
a, a
Superliga, superliga
., .
`, `
`, `
Algumas, alguma
pessoas, pessoa
podem, podem
criticar, criticar
,, ,
dizer, dizer
que, que
o, o
público, público
só, só
vai, vai
na, na
final, final
,, ,
mas, ma
é, é
um, um
torneio, torneio
importante, important
,, ,
que, que
deu, deu
a, a
oportunidade, oportunidad
para, para
que, que
os, os
jogadores, jogador
da, da
seleção, seleção
jogassem, jogassem
no, no
Brasil, brasil
., .
'', ''

, 

Tande, tand
citou, citou
como, como
exemplo, exemplo
o, o
caso, caso
do, do
Rio, rio
de, de
Janeiro, janeiro
., .
`, `
`, `
É, é
inadmissível, inadmissível
que, que
um, um
centro, centro
como, como
o, o
Rio, rio
não, não
tenha, tenha
um, um
grande, grand
time, time
de, de
vôlei, vôlei
., .
Com, com
a, a
Superliga, superliga
,, ,
a, a
situação, situação
pode, pode
mudar, mudar
., .
'', ''

, 

O, o
jogador, jogador
,, ,
que, que
disputou, disput
a, a
última, última
temporada, temporada
pelo, pelo
Flamengo, flamengo
,, ,
diz, diz
que, que
pretende, pretend
continuar, continuar
no, no
Flamengo, flamengo
., .
`, `
`, `
Adoro, adoro
o, o
Rio, rio
'', ''
,, ,
declarou, declar
., .

, 

Ele, ele
quer, quer
prosseguir, prosseguir
um, um
trabalho, trabalho
que, que
desenvolve, desenvolv
com, com
crianças, criança
carentes, carent
na, na
cidade, cidad
., .
`, `
`, `
Estou, estou
levando, levando
crianças, criança
do, do
morro, morro
para, para
a, a
prática, prática
do, do
vôlei, vôlei
., .
'', ''

, 

A, a
seleção, seleção
continua, continua
os, os
treinamentos, treinamento
em, em
São, são
Paulo, paulo
até, até
amanhã, amanhã
cedo, cedo
., .
À, à
noite, noit
,, ,
a, a
equipe, equip
viaja, viaja
para, para
a, a
Europa, europa
., .

, 

O, o
Brasil, brasil
fará, fará
dois, doi
amistosos, amistoso
contra, contra
a, a
Holanda, holanda
,, ,
dias, dia
15, 15
e, e
16, 16
,, ,
e, e
enfrenta, enfrenta
a, a
Espanha, espanha
pela, pela
Liga, liga
Mundial, mundial
,, ,
dias, dia
19, 19
e, e
21, 21
., .

, 

`, `
`, `
A, a
Espanha, espanha
não, não
será, será
um, um
adversário, adversário
fácil, fácil
., .
Será, será
um, um
time, time
parecido, parecido
com, com
aquele, aquel
que, que
disputou, disput
a, a
Olimpíada, olimpíada
de, de
92, 92
'', ''
,, ,
disse, diss
o, o
técnico, técnico
José, josé
Roberto, roberto
Guimarães, guimarã
., .

, 

Cuba, cuba
e, e
Estados, estado
Unidos, unido
completam, completam
a, a
chave, chave
brasileira, brasileira
., .

, 

`, `
`, `
É, é
um, um
grupo, grupo
complicado, complicado
,, ,
mas, ma
nós, nó
temos, temo
treinado, treinado
com, com
muita, muita
seriedade, seriedad
., .
'', ''

, 

(, (
JCA, jca
), )

, 

