O, ﻿o
cotejo, cotejo
ostentou, ostent
dois, doi
tempos, tempo
distintos, distinto
., .
No, no
inicial, inici
,, ,
mais, mai
presença, presença
da, da
Juve, juve
,, ,
bem, bem
organizada, organizada
no, no
seu, seu
meio-campo, meio-campo
e, e
muito, muito
perigosa, perigosa
na, na
ofensiva, ofensiva
., .
A, a
Samp, samp
,, ,
todavia, todavia
,, ,
abriu, abriu
o, o
marcador, marcador
,, ,
através, atravé
de, de
um, um
pênalti, pênalti
cobrado, cobrado
por, por
Lombardo, lombardo
,, ,
num, num
lance, lanc
tolo, tolo
do, do
beque, bequ
Carrera, carrera
,, ,
sem, sem
perigo, perigo
de, de
gol, gol
., .
E, e
ainda, ainda
foi, foi
favorecida, favorecida
por, por
Ceccarini, ceccarini
,, ,
que, que
ignorou, ignor
outras, outra
duas, dua
infrações, infraçõ
,, ,
dentro, dentro
da, da
área, área
,, ,
cometidas, cometida
por, por
jogadores, jogador
seus, seu
., .
Na, na
etapa, etapa
derradeira, derradeira
,, ,
a, a
Samp, samp
melhorou, melhor
bastante, bastant
e, e
apenas, apena
não, não
multiplicou, multiplic
sua, sua
vantagem, vantagem
porque, porqu
esbarrou, esbarr
na, na
excelente, excelent
atuação, atuação
do, do
arqueiro, arqueiro
Peruzzi, peruzzi
., .
Coube, coub
à, à
Juve, juve
merecer, merec
,, ,
então, então
,, ,
o, o
apoio, apoio
da, da
sorte, sort
,, ,
uma, uma
falta, falta
precisamente, precisament
batida, batida
pelo, pelo
grisalho, grisalho
atacante, atacant
Ravanelli, ravanelli
., .

, 

Outra, outra
agremiação, agremiação
que, que
atingiu, atingiu
ontem, ontem
a, a
cota, cota
dos, do
2.000, 2.000
combates, combat
,, ,
a, a
Internazionale, internazional
,, ,
surpreendentemente, surpreendentement
não, não
sofreu, sofreu
nenhuma, nenhuma
resistência, resistência
da, da
boa, boa
Cremonese, cremones
,, ,
em, em
Cremona, cremona
,, ,
vencendo, vencendo
por, por
4, 4
x, x
1, 1
., .
Pela, pela
Inter, inter
marcaram, marcaram
Paganin, paganin
,, ,
Sosa, sosa
e, e
Win, win
Jonk, jonk
,, ,
dois, doi
., .
Gualco, gualco
fez, fez
o, o
tento, tento
da, da
Cremonese, cremones
., .
Também, também
ganhou, ganhou
com, com
tranquilidade, tranquilidad
o, o
Milan, milan
,, ,
2, 2
x, x
0, 0
no, no
Piacenza, piacenza
,, ,
gols, gol
de, de
Massaro, massaro
e, e
Papin, papin
., .

, 

Demais, demai
cotejos, cotejo
da, da
20.ª, 20.ª
rodada, rodada
do, do
campeonato, campeonato
da, da
Bota, bota
:, :
Parma, parma
2, 2
x, x
0, 0
Piacenza, piacenza
;, ;
Foggia, foggia
5, 5
x, x
Lecce, lecc
0, 0
;, ;
Reggiana, reggiana
3, 3
x, x
Atalanta, atalanta
0, 0
;, ;
Roma, roma
0, 0
x, x
Udinese, udines
2, 2
;, ;
Torino, torino
1, 1
x, x
Napoli, napoli
1, 1
;, ;
Cagliari, cagliari
0, 0
x, x
Genoa, genoa
0, 0
., .

, 

