Melhor, ﻿melhor
colocado, colocado
no, no
grid, grid
provisório, provisório
entre, entr
os, os
brasileiros, brasileiro
(, (
6º, 6º
lugar, lugar
), )
,, ,
Mauricio, mauricio
Gugelmin, gugelmin
poderia, poderia
até, até
obter, obter
melhor, melhor
média, média
horária, horária
se, se
não, não
tivesse, tivess
problemas, problema
com, com
seu, seu
Pacwest, pacwest
na, na
sessão, sessão
de, de
anteontem, anteontem
., .

, 

Ele, ele
fez, fez
sua, sua
primeira, primeira
volta, volta
classificatória, classificatória
a, a
368,8, 368,8
km/h, km/h
de, de
média, média
., .
Na, na
segunda, segunda
,, ,
porém, porém
,, ,
a, a
válvula, válvula
que, que
comanda, comanda
a, a
pressão, pressão
do, do
turbo, turbo
abriu, abriu
e, e
o, o
carro, carro
perdeu, perdeu
potência, potência
., .

, 

`, `
`, `
Nas, na
outras, outra
três, trê
voltas, volta
,, ,
pisei, pisei
no, no
acelerador, acelerador
com, com
os, os
dois, doi
pés, pé
,, ,
mas, ma
o, o
carro, carro
não, não
andou, andou
'', ''
,, ,
brincou, brincou
ele, ele
., .

, 

O, o
brasileiro, brasileiro
acabou, acab
com, com
média, média
de, de
366,7, 366,7
km/h, km/h
nas, na
quatro, quatro
voltas, volta
., .

, 

Mesmo, mesmo
assim, assim
,, ,
sua, sua
posição, posição
no, no
grid, grid
é, é
cômoda, cômoda
., .
Até, até
ontem, ontem
,, ,
com, com
25, 25
posições, posiçõ
definidas, definida
no, no
grid, grid
provisório, provisório
,, ,
havia, havia
19, 19
carros, carro
mais, mai
lentos, lento
que, que
o, o
dele, dele
., .

, 

Ou, ou
seja, seja
,, ,
há, há
19, 19
carros, carro
que, que
precisam, precisam
ser, ser
eliminados, eliminado
até, até
que, que
Gugelmin, gugelmin
corra, corra
algum, algum
risco, risco
., .

, 

A, a
situação, situação
de, de
Gil, gil
de, de
Ferran, ferran
é, é
a, a
oposta, oposta
., .
Na, na
20ª, 20ª
posição, posição
,, ,
ele, ele
possui, possui
a, a
segunda, segunda
pior, pior
média, média
horária, horária
e, e
pode, pode
ser, ser
eliminado, eliminado
por, por
um, um
carro, carro
mais, mai
veloz, veloz
quando, quando
as, as
33, 33
vagas, vaga
forem, forem
preenchidas, preenchida
provisoriamente, provisoriament
., .

, 

Ferran, ferran
também, também
teve, teve
problemas, problema
na, na
válvula, válvula
do, do
turbo, turbo
no, no
sábado, sábado
., .
`, `
`, `
Foi, foi
pena, pena
,, ,
pois, poi
o, o
carro, carro
estava, estava
bem, bem
acertado, acertado
'', ''
,, ,
comentou, coment
., .

, 

(, (
MT, mt
), )

, 

