As, ﻿a
chuvas, chuva
de, de
janeiro, janeiro
molharam, molharam
a, a
pólvora, pólvora
e, e
o, o
tiro, tiro
de, de
largada, largada
do, do
Campeonato, campeonato
Paulista, paulista
ficou, ficou
para, para
a, a
tarde, tard
de, de
domingo, domingo
., .
Pena, pena
,, ,
pois, poi
perdemos, perdemo
a, a
chance, chanc
de, de
ver, ver
em, em
campo, campo
,, ,
logo, logo
de, de
cara, cara
,, ,
o, o
Bragantino, bragantino
do, do
montenegrino, montenegrino
Draskovic, draskov
,, ,
uma, uma
das, da
grandes, grand
atrações, atraçõ
desta, desta
temporada, temporada
., .

, 

A, a
propósito, propósito
,, ,
outro, outro
dia, dia
,, ,
cruzei, cruzei
com, com
Nabi, nabi
Abi, abi
Chedid, chedid
,, ,
o, o
presidente, president
de, de
honra, honra
do, do
Bragantino, bragantino
., .
Durante, durant
20, 20
anos, ano
,, ,
reservei, reservei
as, as
mais, mai
ácidas, ácida
críticas, crítica
a, a
Nabi, nabi
,, ,
como, como
presidente, president
da, da
Federação, federação
e, e
da, da
CBF, cbf
., .
Não, não
retiro, retiro
uma, uma
vírgula, vírgula
,, ,
mas, ma
acrescento, acrescento
este, est
elogio, elogio
:, :
belíssimo, belíssimo
o, o
trabalho, trabalho
da, da
família, família
Chedid, chedid
à, à
frente, frent
do, do
Bragantino, bragantino
,, ,
que, que
,, ,
desde, desd
88, 88
,, ,
ingressou, ingress
no, no
fechado, fechado
clube, clube
dos, do
grandes, grand
,, ,
não, não
só, só
de, de
São, são
Paulo, paulo
,, ,
como, como
do, do
Brasil, brasil
., .

, 

Lembro-me, lembro-m
de, de
uma, uma
reportagem, reportagem
sobre, sobr
o, o
Bragantino, bragantino
,, ,
feita, feita
à, à
época, época
em, em
que, que
Nabi, nabi
flertava, flertava
com, com
a, a
presidência, presidência
da, da
Federação, federação
,, ,
que, que
era, era
o, o
retrato, retrato
da, da
miséria, miséria
em, em
que, que
o, o
antigo, antigo
Massa, massa
havia, havia
sido, sido
atirado, atirado
pela, pela
incúria, incúria
de, de
seu, seu
eterno, eterno
patrono, patrono
., .
Deu, deu
uma, uma
bela, bela
volta, volta
por, por
cima, cima
., .
Logo, logo
,, ,
parabéns, parabén
., .

, 

Mas, ma
o, o
sábado, sábado
não, não
foi, foi
perdido, perdido
., .
Ao, ao
contrário, contrário
:, :
o, o
Guarani, guarani
foi, foi
para, para
as, as
finais, finai
da, da
Copa, copa
São, são
Paulo, paulo
,, ,
para, para
se, se
encontrar, encontrar
,, ,
obviamente, obviament
,, ,
com, com
o, o
tricolor, tricolor
,, ,
que, que
,, ,
a, a
duras, dura
penas, pena
,, ,
conseguiu, conseguiu
vencer, vencer
o, o
Internacional, internacion
,, ,
por, por
