O, ﻿o
uso, uso
de, de
câmeras, câmera
de, de
vídeo, vídeo
em, em
estádios, estádio
é, é
disseminado, disseminado
na, na
Europa, europa
., .
As, as
câmeras, câmera
normalmente, normalment
ficam, ficam
escondidas, escondida
ou, ou
mimetizadas, mimetizada
em, em
lâmpadas, lâmpada
,, ,
para, para
evitar, evitar
sabotagens, sabotagen
., .

, 

Elas, ela
são, são
acionadas, acionada
e, e
movidas, movida
por, por
controle, control
remoto, remoto
,, ,
a, a
partir, partir
de, de
uma, uma
sala, sala
de, de
controle, control
., .
A, a
polícia, polícia
recebe, receb
as, as
imagens, imagen
nessas, nessa
salas, sala
., .

, 

No, no
caso, caso
de, de
um, um
distúrbio, distúrbio
em, em
alguma, alguma
parte, part
do, do
estádio, estádio
,, ,
as, as
câmeras, câmera
são, são
direcionadas, direcionada
para, para
a, a
área, área
., .

, 

Na, na
hora, hora
,, ,
os, os
policiais, policiai
na, na
sala, sala
de, de
controle, control
podem, podem
orientar, orientar
o, o
procedimento, procedimento
de, de
seus, seu
colegas, colega
em, em
campo, campo
., .

, 

Depois, depoi
,, ,
a, a
polícia, polícia
analisa, analisa
as, as
imagens, imagen
,, ,
que, que
podem, podem
ser, ser
ampliadas, ampliada
e, e
impressas, impressa
,, ,
como, como
fotografias, fotografia
., .

, 

Este, est
ano, ano
,, ,
um, um
torcedor, torcedor
genovês, genovê
foi, foi
morto, morto
antes, ant
de, de
uma, uma
partida, partida
na, na
Itália, itália
., .
As, as
imagens, imagen
de, de
vídeo, vídeo
permitiram, permitiram
identificar, identificar
um, um
jovem, jovem
bastante, bastant
nervoso, nervoso
quando, quando
a, a
notícia, notícia
foi, foi
dada, dada
pelos, pelo
alto-falantes, alto-falant
do, do
estádio, estádio
., .

, 

Ele, ele
procurou, procur
um, um
amigo, amigo
e, e
trocou, trocou
de, de
jaqueta, jaqueta
com, com
ele, ele
., .
A, a
polícia, polícia
italiana, italiana
deteve, detev
o, o
jovem, jovem
em, em
Milão, milão
., .
Interrogado, interrogado
,, ,
ele, ele
confessou, confess
o, o
crime, crime
,, ,
ocorrido, ocorrido
fora, fora
do, do
estádio, estádio
., .
(, (
HuSa, husa
), )

, 

