Uma, ﻿uma
reunião, reunião
tensa, tensa
entre, entr
Henrique, henriqu
Alves, alv
,, ,
o, o
diretor, diretor
de, de
futebol, futebol
do, do
Corinthians, corinthian
,, ,
membros, membro
da, da
organização, organização
da, da
Copa, copa
São, são
Paulo, paulo
de, de
Juniores, junior
e, e
policiais, policiai
encarregados, encarregado
da, da
segurança, segurança
no, no
estádio, estádio
,, ,
no, no
beira, beira
do, do
gramado, gramado
,, ,
sábado, sábado
à, à
tarde, tard
,, ,
em, em
pleno, pleno
primeiro, primeiro
tempo, tempo
da, da
partida, partida
entre, entr
Corinthians, corinthian
e, e
Atlético, atlético
Goianiense, goianiens
,, ,
mostrava, mostrava
que, que
algo, algo
não, não
corria, corria
bem, bem
., .

, 

Poucos, pouco
minutos, minuto
antes, ant
,, ,
dezoito, dezoito
pessoas, pessoa
eram, eram
esmagadas, esmagada
e, e
pisoteadas, pisoteada
pela, pela
multidão, multidão
que, que
não, não
conseguira, conseguira
entrar, entrar
no, no
estádio, estádio
., .
A, a
principal, princip
vítima, vítima
foi, foi
o, o
jornaleiro, jornaleiro
Rui, rui
Tadeu, tadeu
Ramos, ramo
,, ,
42, 42
,, ,
que, que
sofreu, sofreu
parada, parada
cardíaca, cardíaca
e, e
quebrou, quebrou
duas, dua
costelas, costela
., .
E, e
até, até
ontem, ontem
correu, correu
risco, risco
de, de
vida, vida
., .
Ao, ao
acordar, acordar
,, ,
no, no
domingo, domingo
de, de
manhã, manhã
,, ,
ele, ele
prometeu, prometeu
:, :
", "
Nunca, nunca
mais, mai
vou, vou
a, a
um, um
estádio, estádio
", "
., .

, 

A, a
mulher, mulher
do, do
jornaleiro, jornaleiro
,, ,
Maria, maria
Francilina, francilina
Ramos, ramo
,, ,
disse, diss
que, que
seu, seu
marido, marido
foi, foi
ao, ao
estádio, estádio
com, com
os, os
dois, doi
filhos, filho
,, ,
de, de
7, 7
e, e
13, 13
anos, ano
., .
Ele, ele
contou, contou
para, para
ela, ela
que, que
os, os
portões, portõ
foram, foram
abertos, aberto
às, às
14h, 14h
,, ,
sem, sem
a, a
presença, presença
dos, do
policiais, policiai
,, ,
o, o
que, que
provocou, provoc
o, o
empurra-empurra, empurra-empurra
., .
Na, na
tentativa, tentativa
de, de
proteger, proteg
o, o
filho, filho
menor, menor
,, ,
que, que
estava, estava
no, no
seu, seu
ombro, ombro
,, ,
Rui, rui
Tadeu, tadeu
escorregou, escorreg
,, ,
sendo, sendo
pisoteado, pisoteado
por, por
muitas, muita
pessoas, pessoa
., .
A, a
polícia, polícia
,, ,
ouvindo, ouvindo
o, o
barulho, barulho
,, ,
foi, foi
verificar, verificar
o, o
que, que
acontecia, acontecia
e, e
tirou, tirou
o, o
jornaleiro, jornaleiro
do, do
chão, chão
,, ,
totalmente, totalment
desacordado, desacordado
,, ,
levando-o, levando-o
para, para
o, o
Hospital, hospit
do, do
Tatuapé, tatuapé
., .
Os, os
policiais, policiai
tiveram, tiveram
que, que
fazer, fazer
respiração, respiração
boca-a-boca, boca-a-boca
e, e
massagem, massagem
cardíaca, cardíaca
durante, durant
todo, todo
o, o
trajeto, trajeto
,, ,
tentando, tentando
reanimar, reanimar
Rui, rui
Tadeu, tadeu
,, ,
que, que
permanecia, permanecia
desacordado, desacordado
., .
Outras, outra
seis, sei
pessoas, pessoa
permaneciam, permaneciam
ontem, ontem
no, no
Hospital, hospit
do, do
Tatuapé, tatuapé
,, ,
com, com
ferimentos, ferimento
leves, leve
., .

, 

A, a
história, história
da, da
Copa, copa
São, são
Paulo, paulo
já, já
registrou, registr
outras, outra
tragédias, tragédia
., .
Em, em
1992, 1992
,, ,
o, o
garoto, garoto
corintiano, corintiano
Rodrigo, rodrigo
de, de
Gasperi, gasperi
,, ,
13, 13
,, ,
morreu, morreu
após, apó
ser, ser
atingido, atingido
por, por
uma, uma
bomba, bomba
de, de
fabricação, fabricação
caseira, caseira
., .
A, a
partida, partida
,, ,
válida, válida
pela, pela
semifinal, semifin
daquele, daquel
ano, ano
,, ,
entre, entr
Corinthians, corinthian
e, e
São, são
Paulo, paulo
,, ,
foi, foi
disputada, disputada
na, na
Rua, rua
Comendador, comendador
Sousa, sousa
,, ,
no, no
Estádio, estádio
do, do
Nacional, nacion
., .

, 

Ontem, ontem
à, à
tarde, tard
,, ,
o, o
Parque, parqu
São, são
Jorge, jorg
ainda, ainda
apresentava, apresentava
sinais, sinai
dos, do
acontecimentos, acontecimento
do, do
dia, dia
anterior, anterior
., .
A, a
equipe, equip
júnior, júnior
do, do
Corinthians, corinthian
fez, fez
um, um
treino, treino
leve, leve
em, em
um, um
campo, campo
repleto, repleto
de, de
detritos, detrito
jogados, jogado
pela, pela
torcida, torcida
., .
Por, por
causa, causa
dos, do
incidentes, incident
,, ,
os, os
jogos, jogo
do, do
Corinthians, corinthian
foram, foram
transferidos, transferido
para, para
o, o
Pacaembu, pacaembu
conforme, conform
decisão, decisão
da, da
reunião, reunião
durante, durant
o, o
jogo, jogo
., .

, 

