Os, ﻿o
homens, homen
por, por
trás, trá
do, do
circuito, circuito
internacional, internacion
de, de
tênis, têni
estão, estão
trabalhando, trabalhando
em, em
alerta, alerta
vermelho, vermelho
., .
As, as
vitórias, vitória
dos, do
superfavoritos, superfavorito
Pete, pete
Sampras, sampra
e, e
Steffi, steffi
Graf, graf
na, na
Austrália, austrália
mostram, mostram
que, que
a, a
monotonia, monotonia
toma, toma
conta, conta
dos, do
torneios, torneio
., .
Já, já
que, que
nenhum, nenhum
novo, novo
gênio, gênio
parece, parec
pronto, pronto
para, para
surgir, surgir
das, da
fraldas, fralda
,, ,
os, os
organizadores, organizador
de, de
torneios, torneio
apelam, apelam
aos, ao
veteranos, veterano
., .

, 

O, o
modelo, modelo
já, já
foi, foi
aplicado, aplicado
no, no
boxe, box
., .
Com, com
o, o
afastamento, afastamento
de, de
Mike, mike
Tyson, tyson
,, ,
o, o
esporte, esport
ficou, ficou
chato, chato
e, e
valorizou, valoriz
o, o
retorno, retorno
de, de
veteranos, veterano
como, como
Foreman, foreman
,, ,
Spinks, spink
e, e
Holmes, holm
., .
No, no
tênis, têni
,, ,
o, o
raciocínio, raciocínio
é, é
simples, simpl
., .
Já, já
que, que
não, não
dá, dá
para, para
evitar, evitar
a, a
vitória, vitória
tranquila, tranquila
de, de
Sampras, sampra
,, ,
por, por
exemplo, exemplo
,, ,
o, o
negócio, negócio
é, é
criar, criar
atrações, atraçõ
para, para
o, o
público, público
nas, na
primeiras, primeira
rodadas, rodada
., .

, 

Em, em
Melbourne, melbourn
,, ,
a, a
tentativa, tentativa
foi, foi
dupla, dupla
., .
O, o
sueco, sueco
Mats, mat
Wilander, wiland
e, e
a, a
norte-americana, norte-americana
Tracy, traci
Austin, austin
,, ,
que, que
já, já
estiveram, estiveram
no, no
primeiro, primeiro
lugar, lugar
dos, do
rankings, rank
,, ,
foram, foram
convidados, convidado
para, para
a, a
chave, chave
principal, princip
., .
Austin, austin
perdeu, perdeu
na, na
segunda, segunda
rodada, rodada
,, ,
mas, ma
Wilander, wiland
foi, foi
até, até
as, as
oitavas-de-final, oitavas-de-fin
e, e
ganhou, ganhou
o, o
público, público
no, no
Flinders, flinder
Park, park
., .

, 

Nas, na
próximas, próxima
semanas, semana
,, ,
mais, mai
dois, doi
ex-líderes, ex-líder
da, da
ATP, atp
voltam, voltam
às, às
quadras, quadra
., .
O, o
norte-americano, norte-americano
Jimmy, jimmi
Connors, connor
,, ,
41, 41
,, ,
primeiro, primeiro
do, do
ranking, rank
por, por
vários, vário
períodos, período
entre, entr
1974, 1974
e, e
79, 79
,, ,
jogará, jogará
o, o
Torneio, torneio
de, de
San, san
Jose, jose
,, ,
na, na
Califórnia, califórnia
., .
Seu, seu
compatriota, compatriota
John, john
McEnroe, mcenro
,, ,
34, 34
,, ,
número, número
1, 1
do, do
mundo, mundo
entre, entr
1980, 1980
e, e
84, 84
,, ,
aceitou, aceit
o, o
convite, convit
para, para
disputar, disputar
o, o
Aberto, aberto
de, de
Roterdã, roterdã
,, ,
na, na
Holanda, holanda
., .

, 

Do, do
jeito, jeito
que, que
a, a
coisa, coisa
vai, vai
,, ,
nenhum, nenhum
grande, grand
campeonato, campeonato
vai, vai
deixar, deixar
de, de
ter, ter
o, o
seu, seu
", "
vovô, vovô
", "
como, como
convidado, convidado
de, de
honra, honra
., .
O, o
comitê, comitê
que, que
organiza, organiza
o, o
Aberto, aberto
da, da
França, frança
já, já
formalizou, formaliz
o, o
convite, convit
ao, ao
equatoriano, equatoriano
Andres, andr
Gomez, gomez
,, ,
33, 33
., .
Campeão, campeão
de, de
Roland, roland
Garros, garro
em, em
1990, 1990
,, ,
Gomez, gomez
chegou, chegou
ao, ao
4º, 4º
lugar, lugar
no, no
ranking, rank
e, e
hoje, hoje
curte, curt
a, a
aposentadoria, aposentadoria
garantida, garantida
pelos, pelo
US$, us$
4,5, 4,5
milhões, milhõ
que, que
ganhou, ganhou
na, na
carreira, carreira
., .
Ficou, ficou
de, de
responder, respond
aos, ao
franceses, frances
até, até
março, março
., .
(, (
TM, tm
), )

, 

