Meus, ﻿meu
amigos, amigo
,, ,
meus, meu
inimigos, inimigo
,, ,
mencionei, mencionei
aqui, aqui
nesta, nesta
coluna, coluna
que, que
o, o
politicamente, politicament
correto, correto
,, ,
que, que
domina, domina
o, o
debate, debat
cultural, cultur
norte-americano, norte-americano
,, ,
poderia, poderia
beneficiar, beneficiar
o, o
futebol, futebol
nos, no
EUA, eua
., .

, 

Com, com
a, a
afirmação, afirmação
cultural, cultur
de, de
negros, negro
e, e
latinos, latino
,, ,
o, o
futebol, futebol
poderia, poderia
também, também
entrar, entrar
na, na
maré, maré
geral, geral
da, da
segmentação, segmentação
cultural, cultur
e, e
conquistar, conquistar
o, o
seu, seu
espaçozinho, espaçozinho
no, no
maior, maior
mercado, mercado
do, do
mundo, mundo
., .

, 

O, o
PC, pc
,, ,
na, na
verdade, verdad
,, ,
é, é
uma, uma
regressão, regressão
cultural, cultur
., .
E, e
a, a
seleção, seleção
brasileira, brasileira
vai, vai
estar, estar
bem, bem
pertinho, pertinho
dele, dele
., .
No, no
campus, campu
da, da
universidade, universidad
de, de
Stanford, stanford
,, ,
na, na
Califórnia, califórnia
,, ,
onde, ond
está, está
o, o
campo, campo
em, em
que, que
o, o
Brasil, brasil
jogará, jogará
as, as
suas, sua
primeiras, primeira
partidas, partida
,, ,
disputa-se, disputa-s
a, a
liderança, liderança
das, da
posições, posiçõ
PCs, pc
., .

, 

O, o
crítico, crítico
de, de
arte, art
da, da
revista, revista
", "
Time, time
", "
,, ,
Robert, robert
Hughes, hugh
,, ,
um, um
australiano, australiano
que, que
vive, vive
nos, no
EUA, eua
,, ,
no, no
seu, seu
polêmico, polêmico
livrinho, livrinho
que, que
a, a
Companhia, companhia
das, da
Letras, letra
lançou, lançou
recentemente, recentement
,, ,
", "
Cultura, cultura
da, da
Reclamação, reclamação
", "
–, –
na, na
verdade, verdad
um, um
torpedo, torpedo
,, ,
digno, digno
de, de
um, um
Roberto, roberto
Cavalo, cavalo
,, ,
contra, contra
o, o
PC, pc
–, –
,, ,
menciona, menciona
algumas, alguma
das, da
barbaridades, barbaridad
que, que
o, o
movimento, movimento
comete, comet
na, na
Califórnia, califórnia
., .

, 

Mas, ma
,, ,
Hughes, hugh
vai, vai
mais, mai
longe, long
., .
Ele, ele
mostra, mostra
que, que
o, o
PC, pc
já, já
atingiu, atingiu
o, o
esporte, esport
., .
Segundo, segundo
ele, ele
,, ,
o, o
", "
Whatizit, whatizit
", "
(, (
traduzido, traduzido
por, por
", "
Queéisso, queéisso
", "
), )
,, ,
o, o
símbolo, símbolo
oficial, ofici
dos, do
Jogos, jogo
Olímpicos, olímpico
de, de
1996, 1996
,, ,
em, em
Atlanta, atlanta
,, ,
nos, no
EUA, eua
,, ,
não, não
passa, passa
de, de
um, um
feto, feto
., .

, 

", "
Será, será
que, que
isso, isso
prenuncia, prenuncia
uma, uma
onda, onda
de, de
Fetus, fetu
Chic, chic
para, para
1996, 1996
?, ?
", "
,, ,
ele, ele
pergunta, pergunta
., .
Na, na
origem, origem
da, da
escolha, escolha
do, do
Whatizit, whatizit
estaria, estaria
o, o
chamado, chamado
movimento, movimento
pró-defesa, pró-defesa
da, da
vida, vida
,, ,
uma, uma
espécie, espéci
de, de
", "
politicamente, politicament
correto, correto
", "
do, do
lado, lado
conservador, conservador
., .

, 

Hughes, hugh
:, :
", "
Só, só
nos, no
EUA, eua
poderia, poderia
um, um
feto, feto
passar, passar
com, com
tanta, tanta
rapidez, rapidez
de, de
símbolo, símbolo
de, de
uma, uma
', '
guerra, guerra
cultural, cultur
', '
a, a
logotipo, logotipo
de, de
um, um
acontecimento, acontecimento
esportivo, esportivo
., .
Whatizit, whatizit
é, é
um, um
lembrete, lembret
bonitinho, bonitinho
de, de
uma, uma
questão, questão
nem, nem
um, um
pouco, pouco
bonitinha, bonitinha
., .
É, é
por, por
isso, isso
que, que
Whatizit, whatizit
vai, vai
se, se
tornar, tornar
bastante, bastant
importuno, importuno
à, à
medida, medida
que, que
se, se
aproximarem, aproximarem
as, as
Olimpíadas, olimpíada
,, ,
e, e
gratuitamente, gratuitament
incômodo, incômodo
", "
., .

, 

A, a
América, américa
,, ,
como, como
dizia, dizia
Miles, mile
Davis, davi
,, ,
é, é
um, um
país, paí
maravilhoso, maravilhoso
onde, ond
você, você
pode, pode
reunir, reunir
mil, mil
vozes, voze
para, para
gravar, gravar
um, um
uníssono, uníssono
., .
Poucos, pouco
países, país
,, ,
na, na
história, história
contemporânea, contemporânea
,, ,
conseguem, conseguem
armar, armar
uma, uma
infra-estrutura, infra-estrutura
perfeita, perfeita
para, para
sediar, sediar
,, ,
com, com
intervalo, intervalo
de, de
dois, doi
anos, ano
,, ,
os, os
dois, doi
maiores, maior
eventos, evento
da, da
indústria, indústria
do, do
entretenimento, entretenimento
,, ,
a, a
Copa, copa
do, do
Mundo, mundo
de, de
Futebol, futebol
e, e
as, as
Olimpíadas, olimpíada
., .

, 

Mas, ma
que, que
a, a
terra, terra
do, do
tio, tio
Dave, dave
tem, tem
suas, sua
esquisitices, esquisitic
,, ,
isto, isto
tem, tem
., .
E, e
que, que
–, –
mesmo, mesmo
depois, depoi
do, do
final, final
da, da
Guerra, guerra
Fria, fria
–, –
o, o
esporte, esport
terá, terá
ainda, ainda
que, que
passar, passar
pelas, pela
tensões, tensõ
políticas, política
da, da
Nova, nova
Desordem, desordem
Mundial, mundial
,, ,
disto, disto
também, também
não, não
resta, resta
a, a
menor, menor
dúvida, dúvida
., .

, 

O, o
fut, fut
e, e
a, a
futilidade, futilidad

, 

O, o
fut, fut
entra, entra
em, em
1994, 1994
como, como
um, um
dos, do
queridos, querido
do, do
mundinho, mundinho
da, da
mundanidade, mundanidad
., .
O, o
fut, fut
virou, virou
cult, cult
., .
O, o
último, último
número, número
da, da
revista, revista
britânica, britânica
", "
The, the
Face, face
", "
,, ,
por, por
exemplo, exemplo
,, ,
situa, situa
na, na
coluna, coluna
", "
Up, up
", "
o, o
corte, cort
de, de
cabelo, cabelo
dos, do
jogadores, jogador
de, de
futebol, futebol
., .

, 

Já, já
a, a
", "
Details, detail
", "
de, de
janeiro, janeiro
traz, traz
uma, uma
excelente, excelent
reportagem, reportagem
do, do
também, também
britânico, britânico
Chris, chri
Heath, heath
–, –
cujo, cujo
principal, princip
destaque, destaqu
no, no
futebol, futebol
foi, foi
ajudar, ajudar
a, a
equipe, equip
de, de
suporte, suport
das, da
excursões, excursõ
do, do
grupo, grupo
The, the
Cure, cure
a, a
encontrar, encontrar
seus, seu
jogadores, jogador
–, –
sobre, sobr
John, john
Harkes, hark
,, ,
o, o
jogador, jogador
da, da
seleção, seleção
dos, do
EUA, eua
que, que
conseguiu, conseguiu
se, se
destacar, destacar
no, no
campeonato, campeonato
inglês, inglê
(, (
é, é
o, o
único, único
americano, americano
que, que
marcou, marcou
um, um
gol, gol
no, no
estádio, estádio
de, de
Wembley, wembley
), )
., .

, 

Entre, entr
outras, outra
coisas, coisa
,, ,
ele, ele
revela, revela
uma, uma
grande, grand
dificuldade, dificuldad
para, para
o, o
", "
soccer, soccer
", "
se, se
implantar, implantar
nos, no
EUA, eua
:, :
em, em
quase, quas
todos, todo
os, os
lugares, lugar
onde, ond
é, é
forte, fort
,, ,
o, o
futebol, futebol
é, é
um, um
esporte, esport
amado, amado
pela, pela
massa, massa
de, de
proletários, proletário
e, e
pobres, pobr
., .
Os, os
EUA, eua
querem, querem
que, que
,, ,
lá, lá
,, ,
ele, ele
seja, seja
um, um
jogo, jogo
que, que
entre, entr
na, na
mesma, mesma
fatia, fatia
dos, do
apreciadores, apreciador
do, do
tênis, têni
., .
Acho, acho
que, que
não, não
vai, vai
dar, dar
certo, certo
., .

, 

Matinas, matina
Suzuki, suzuki
Jr., jr.
escreve, escrev
nesta, nesta
coluna, coluna
às, às
terças, terça
,, ,
quintas, quinta
e, e
sábados, sábado
., .

, 

