O, ﻿o
técnico, técnico
Bernardo, bernardo
Rezende, rezend
não, não
quer, quer
fazer, fazer
nenhuma, nenhuma
previsão, previsão
., .
Mas, ma
acredita, acredita
que, que
1994, 1994
vai, vai
ser, ser
um, um
ano, ano
fantástico, fantástico
para, para
o, o
vôlei, vôlei
feminino, feminino
brasileiro, brasileiro
., .
Recém-empossado, recém-empossado
no, no
cargo, cargo
no, no
lugar, lugar
de, de
Wadson, wadson
Lima, lima
,, ,
Bernardinho, bernardinho
,, ,
34, 34
,, ,
tem, tem
pela, pela
frente, frent
a, a
missão, missão
de, de
conduzir, conduzir
o, o
time, time
ao, ao
lugar, lugar
mais, mai
alto, alto
do, do
pódio, pódio
em, em
outubro, outubro
próximo, próximo
,, ,
quando, quando
a, a
seleção, seleção
feminina, feminina
disputa, disputa
no, no
Brasil, brasil
o, o
Mundial, mundial
da, da
categoria, categoria
., .

, 

", "
Seria, seria
incrível, incrível
pôr, pôr
as, as
mãos, mão
na, na
medalha, medalha
de, de
ouro, ouro
., .
Mas, ma
é, é
preciso, preciso
muito, muito
trabalho, trabalho
e, e
principalmente, principalment
espírito, espírito
de, de
equipe, equip
para, para
atingirmos, atingirmo
o, o
mesmo, mesmo
degrau, degrau
da, da
seleção, seleção
masculina, masculina
", "
,, ,
diz, diz
Bernardinho, bernardinho
,, ,
que, que
viajou, viajou
ontem, ontem
com, com
o, o
time, time
para, para
a, a
Alemanha, alemanha
,, ,
onde, ond
disputa, disputa
a, a
partir, partir
da, da
próxima, próxima
quarta-feira, quarta-feira
o, o
Torneio, torneio
de, de
Bremen, bremen
., .

, 

Hoje, hoje
no, no
comando, comando
de, de
um, um
time, time
que, que
acabou, acab
perdendo, perdendo
temporariamente, temporariament
as, as
cortadas, cortada
fulminantes, fulminant
da, da
atacante, atacant
Ana, ana
Moser, moser
,, ,
que, que
após, apó
uma, uma
série, série
de, de
críticas, crítica
sobre, sobr
a, a
preparação, preparação
física, física
da, da
seleção, seleção
decidiu, decidiu
pedir, pedir
dispensa, dispensa
da, da
equipe, equip
,, ,
Bernardinho, bernardinho
aguarda, aguarda
novos, novo
tempos, tempo
., .
", "
Ainda, ainda
não, não
posso, posso
dizer, dizer
se, se
as, as
diferenças, diferença
estão, estão
resolvidas, resolvida
., .
Mas, ma
,, ,
acima, acima
de, de
tudo, tudo
,, ,
está, está
o, o
objetivo, objetivo
de, de
ganhar, ganhar
o, o
Mundial, mundial
., .
Se, se
vamos, vamo
conseguir, conseguir
só, só
o, o
tempo, tempo
vai, vai
dizer, dizer
", "
,, ,
afirma, afirma
o, o
novo, novo
técnico, técnico
., .

, 

Para, para
Bernardinho, bernardinho
,, ,
a, a
coincidência, coincidência
em, em
ser, ser
um, um
ex-levantador, ex-levantador
como, como
seu, seu
colega, colega
José, josé
Roberto, roberto
Guimarães, guimarã
,, ,
que, que
comanda, comanda
a, a
vitoriosa, vitoriosa
seleção, seleção
masculina, masculina
,, ,
pode, pode
ajudar, ajudar
o, o
time, time
feminino, feminino
., .
E, e
faz, faz
um, um
alerta, alerta
:, :
", "
Assim, assim
como, como
serei, serei
cobrado, cobrado
também, também
farei, farei
exigências, exigência
para, para
toda, toda
a, a
equipe, equip
., .
Mas, ma
desde, desd
já, já
aviso, aviso
que, que
elas, ela
serão, serão
maiores, maior
para, para
a, a
Fernanda, fernanda
., .
É, é
uma, uma
levantadora, levantadora
habilidosa, habilidosa
e, e
não, não
quero, quero
vê-la, vê-la
correr, correr
qualquer, qualquer
risco, risco
de, de
acomodação, acomodação
", "
., .

, 

Dono, dono
da, da
cadeia, cadeia
de, de
restaurantes, restaurant
Delírio, delírio
Tropical, tropic
,, ,
no, no
centro, centro
do, do
Rio, rio
,, ,
o, o
carioca, carioca
Bernardinho, bernardinho
está, está
há, há
dez, dez
anos, ano
casado, casado
com, com
a, a
atacante, atacant
Vera, vera
Mossa, mossa
,, ,
uma, uma
das, da
musas, musa
do, do
vôlei, vôlei
nos, no
anos, ano
80, 80
,, ,
que, que
atualmente, atualment
joga, joga
na, na
Itália, itália
., .
Talvez, talvez
por, por
isso, isso
,, ,
comandar, comandar
um, um
time, time
feminino, feminino
não, não
o, o
assusta, assusta
., .
", "
Existem, existem
jogadores, jogador
e, e
jogadoras, jogadora
difíceis, difícei
de, de
lidar, lidar
., .
Não, não
é, é
exclusivo, exclusivo
das, da
mulheres, mulher
., .
Agora, agora
,, ,
o, o
que, que
não, não
pode, pode
acontecer, acontec
é, é
que, que
a, a
vaidade, vaidad
de, de
uma, uma
se, se
sobreponha, sobreponha
a, a
da, da
outra, outra
., .
A, a
força, força
de, de
um, um
grupo, grupo
está, está
na, na
soma, soma
de, de
suas, sua
individualidades, individualidad
", "
,, ,
receita, receita
., .

, 

Segundo, segundo
ele, ele
,, ,
a, a
cobrança, cobrança
para, para
a, a
conquista, conquista
do, do
título, título
mundial, mundial
será, será
bem, bem
grande, grand
., .
", "
Muita, muita
gente, gent
acredita, acredita
que, que
esta, esta
é, é
a, a
última, última
chance, chanc
desta, desta
geração, geração
., .
Mas, ma
não, não
penso, penso
assim, assim
., .
Nosso, nosso
time, time
é, é
muito, muito
jovem, jovem
ainda, ainda
", "
,, ,
diz, diz
o, o
técnico, técnico
., .

, 

Para, para
amenizar, amenizar
as, as
pressões, pressõ
externas, externa
,, ,
Bernardinho, bernardinho
afirma, afirma
que, que
um, um
apoio, apoio
psicológico, psicológico
será, será
dado, dado
às, às
jogadoras, jogadora
., .
Mas, ma
,, ,
segundo, segundo
ele, ele
,, ,
este, est
virá, virá
na, na
forma, forma
de, de
ajuda, ajuda
ao, ao
grupo, grupo
e, e
não, não
para, para
solucionar, solucionar
problemas, problema
individuais, individuai
., .
", "
Não, não
vou, vou
cansar, cansar
de, de
repetir, repetir
que, que
daqui, daqui
para, para
frente, frent
devemos, devemo
falar, falar
em, em
nós, nó
e, e
não, não
colocar, colocar
as, as
questões, questõ
no, no
singular, singular
., .
O, o
espírito, espírito
de, de
equipe, equip
tem, tem
que, que
prevalecer, prevalec
", "
,, ,
afirma, afirma
o, o
treinador, treinador
., .

, 

