Os, ﻿o
vôos, vôo
de, de
São, são
Paulo, paulo
para, para
Damasco, damasco
,, ,
na, na
Síria, síria
,, ,
não, não
são, são
diretos, direto
e, e
exigem, exigem
conexão, conexão
(, (
troca, troca
de, de
avião, avião
), )
., .

, 

Empresas, empresa
européias, européia
,, ,
como, como
British, british
Airways, airway
,, ,
têm, têm
linhas, linha
para, para
a, a
capital, capit
síria, síria
., .

, 

O, o
preço, preço
da, da
passagem, passagem
promocional, promocion
_, _
com, com
permanência, permanência
entre, entr
sete, sete
dias, dia
e, e
três, trê
meses, mese
_, _
é, é
de, de
US$, us$
1.657, 1.657
., .

, 

Na, na
Lufthansa, lufthansa
,, ,
bilhete, bilhet
vendido, vendido
nas, na
mesmas, mesma
condições, condiçõ
está, está
por, por
US$, us$
1.758, 1.758
., .

, 

Ambas, amba
permitem, permitem
que, que
o, o
passageiro, passageiro
faça, faça
uma, uma
parada, parada
nas, na
cidades, cidad
onde, ond
é, é
feita, feita
a, a
conexão, conexão
_, _
Londres, londr
e, e
Frankfurt, frankfurt
,, ,
respectivamente, respectivament
., .

, 

BRITISH, british
AIRWAYS, airway
:, :
(, (
011, 011
), )
258-6144, 258-6144
;, ;
LUFTHANSA, lufthansa
:, :
(, (
011, 011
), )
236-7733, 236-7733
., .

, 

