Depois, ﻿depoi
de, de
recepcionar, recepcionar
o, o
ex-pivô, ex-pivô
Kareem, kareem
Abdul-Jabbar, abdul-jabbar
e, e
o, o
ex-ala, ex-ala
Larry, larri
Bird, bird
,, ,
dois, doi
dos, do
maiores, maior
ídolos, ídolo
da, da
NBA, nba
,, ,
o, o
Brasil, brasil
tenta, tenta
realizar, realizar
agora, agora
uma, uma
promoção, promoção
com, com
o, o
ex-armador, ex-armador
do, do
Los, lo
Angeles, angel
Lakers, laker
Magic, magic
Johnson, johnson
,, ,
que, que
encerrou, encerr
a, a
carreira, carreira
em, em
novembro, novembro
de, de
91, 91
por, por
ter, ter
contraído, contraído
o, o
vírus, víru
da, da
Aids, aid
., .
O, o
jogador, jogador
tem, tem
participado, participado
de, de
jogos, jogo
de, de
exibição, exibição
em, em
vários, vário
países, país
,, ,
arrecadando, arrecadando
fundos, fundo
para, para
campanha, campanha
de, de
combate, combat
a, a
Aids, aid
., .

, 

Magic, magic
deve, deve
integrar, integrar
uma, uma
seleção, seleção
de, de
jogadores, jogador
de, de
São, são
Paulo, paulo
para, para
a, a
disputa, disputa
de, de
jogo, jogo
contra, contra
a, a
equipe, equip
da, da
universidade, universidad
George, georg
Washington, washington
(, (
EUA, eua
), )
., .
O, o
jogo, jogo
está, está
sendo, sendo
programado, programado
para, para
uma, uma
quadra, quadra
a, a
ser, ser
montada, montada
no, no
teatro, teatro
do, do
Hotel, hotel
Nacional, nacion
,, ,
no, no
Rio, rio
., .

, 

Tudo, tudo
isso, isso
como, como
parte, part
do, do
", "
First, first
Basketball, basketbal
Meeting, meet
", "
,, ,
de, de
22, 22
a, a
28, 28
de, de
agosto, agosto
,, ,
no, no
Rio, rio
., .
O, o
evento, evento
tem, tem
ainda, ainda
outros, outro
convidados, convidado
especiais, especiai
,, ,
como, como
o, o
técnico, técnico
Phil, phil
Jackson, jackson
,, ,
do, do
Chicago, chicago
Bulls, bull
,, ,
e, e
o, o
técnico, técnico
da, da
universidade, universidad
de, de
Indiana, indiana
,, ,
Bob, bob
Knight, knight
., .

, 

A, a
Mercado, mercado
Promoções, promoçõ
,, ,
empresa, empresa
do, do
Rio, rio
,, ,
está, está
trabalhando, trabalhando
no, no
projeto, projeto
e, e
já, já
oficializou, oficializ
o, o
convite, convit
à, à
Federação, federação
Paulista, paulista
., .
O, o
presidente, president
da, da
entidade, entidad
,, ,
Paulo, paulo
Cheidde, cheidd
,, ,
confirmou, confirm
o, o
convite, convit
., .

, 

", "
O, o
contrato, contrato
deve, deve
ser, ser
assinado, assinado
nos, no
próximos, próximo
dias, dia
", "
,, ,
afirmou, afirm
Paulo, paulo
Cheidde, cheidd
,, ,
que, que
diz, diz
ter, ter
em, em
mãos, mão
toda, toda
a, a
programação, programação
do, do
meeting, meet
,, ,
que, que
inclui, inclui
o, o
lançamento, lançamento
do, do
", "
basket-beach, basket-beach
", "
,, ,
modalidade, modalidad
que, que
tem, tem
como, como
meta, meta
a, a
massificação, massificação
do, do
basquete, basquet
em, em
toda, toda
a, a
costa, costa
brasileira, brasileira
,, ,
a, a
exemplo, exemplo
do, do
que, que
vem, vem
ocorrendo, ocorrendo
com, com
o, o
vôlei, vôlei
., .

, 

(, (
Edgard, edgard
Alves, alv
), )

, 

