Apesar, ﻿apesar
de, de
estar, estar
somente, soment
vinte, vint
meses, mese
no, no
kart, kart
,, ,
Gastão, gastão
Fráguas, frágua
Filho, filho
já, já
conhece, conhec
as, as
desventuras, desventura
da, da
carreira, carreira
que, que
escolheu, escolheu
., .
Em, em
setembro, setembro
do, do
ano, ano
passado, passado
,, ,
quando, quando
participou, particip
do, do
Campeonato, campeonato
Mundial, mundial
,, ,
em, em
Laval, laval
(, (
FRA, fra
), )
,, ,
o, o
piloto, piloto
sofreu, sofreu
violento, violento
acidente, acident
numa, numa
das, da
provas, prova
classificatórias, classificatória
., .
Resultado, resultado
:, :
várias, vária
escoriações, escoriaçõ
pelo, pelo
corpo, corpo
,, ,
forte, fort
luxação, luxação
no, no
pé, pé
esquerdo, esquerdo
e, e
imobilização, imobilização
de, de
trinta, trinta
dias, dia
., .
", "
Assustei, assustei
muito, muito
,, ,
mas, ma
é, é
bom, bom
para, para
ir, ir
acostumando, acostumando
", "
,, ,
consola-se, consola-s
Fráguas, frágua
., .

, 

Mas, ma
o, o
revés, revé
não, não
desanimou, desanim
Fráguas, frágua
., .
Auxiliado, auxiliado
pelo, pelo
experiente, experient
mecânico, mecânico
Mauro, mauro
de, de
Oliveira, oliveira
Dias, dia
,, ,
o, o
Maurão, maurão
,, ,
o, o
piloto, piloto
obedeceu, obedeceu
cuidados, cuidado
especiais, especiai
e, e
teve, teve
alterações, alteraçõ
no, no
kart, kart
para, para
poder, poder
pilotar, pilotar
mesmo, mesmo
contundido, contundido
., .
O, o
esforço, esforço
foi, foi
recompensado, recompensado
com, com
a, a
conquista, conquista
do, do
título, título
da, da
Fórmula, fórmula
Kart, kart
., .

, 

Essa, essa
situação, situação
mexeu, mexeu
com, com
a, a
lembrança, lembrança
dos, do
frequentadores, frequentador
mais, mai
antigos, antigo
do, do
kartódromo, kartódromo
de, de
Interlagos, interlago
., .
Em, em
74, 74
,, ,
o, o
francês, francê
Patrick, patrick
Depailler, depail
,, ,
quando, quando
participou, particip
da, da
abertura, abertura
da, da
temporada, temporada
de, de
Fórmula-1, fórmula-1
,, ,
na, na
Argentina, argentina
,, ,
recuperava-se, recuperava-s
de, de
um, um
acidente, acident
e, e
também, também
andava, andava
com, com
o, o
auxílio, auxílio
de, de
muletas, muleta
., .

, 

