Uma, ﻿uma
falha, falha
na, na
estatística, estatística
oficial, ofici
da, da
carreira, carreira
de, de
Pelé, pelé
fez, fez
comemorar, comemorar
erroneamente, erroneament
o, o
milésimo, milésimo
gol, gol
do, do
jogador, jogador
no, no
Maracanã, maracanã
., .

, 

Na, na
verdade, verdad
o, o
`, `
`, `
gol, gol
mil, mil
'', ''
aconteceu, aconteceu
na, na
Paraíba, paraíba
,, ,
no, no
jogo, jogo
Botafogo, botafogo
/, /
PB, pb
0, 0
x, x
3, 3
Santos, santo
,, ,
também, também
de, de
pênalti, pênalti
,, ,
no, no
goleiro, goleiro
Lula, lula
., .

, 

O, o
erro, erro
de, de
contagem, contagem
foi, foi
constatado, constatado
em, em
um, um
jogo, jogo
de, de
1959, 1959
_, _
quando, quando
o, o
atleta, atleta
servia, servia
o, o
Exército, exército
_, _
válido, válido
pelo, pelo
primeiro, primeiro
Sul-Americano, sul-americano
Militar, militar
de, de
Futebol, futebol
., .

, 

Pelo, pelo
levantamento, levantamento
oficial, ofici
feito, feito
pelo, pelo
jornalista, jornalista
De, de
Vaney, vaney
,, ,
o, o
jogo, jogo
entre, entr
as, as
Forças, força
Armadas, armada
do, do
Brasil, brasil
e, e
do, do
Paraguai, paraguai
teria, teria
acontecido, acontecido
em, em
5, 5
de, de
novembro, novembro
de, de
1959, 1959
,, ,
terminado, terminado
4, 4
a, a
3, 3
para, para
os, os
brasileiros, brasileiro
e, e
sem, sem
que, que
Pelé, pelé
tivesse, tivess
marcado, marcado
gol, gol
algum, algum
., .

, 

A, a
Folha, folha
descobriu, descobriu
que, que
estes, est
dados, dado
estão, estão
incorretos, incorreto
., .

, 

De, de
acordo, acordo
com, com
os, os
jornais, jornai
da, da
época, época
,, ,
esta, esta
partida, partida
aconteceu, aconteceu
em, em
18, 18
de, de
novembro, novembro
,, ,
terminou, termin
4, 4
a, a
1, 1
para, para
o, o
Brasil, brasil
e, e
Pelé, pelé
marcou, marcou
um, um
gol, gol
,, ,
o, o
segundo, segundo
da, da
partida, partida
., .

, 

Naquele, naquel
dia, dia
,, ,
Pelé, pelé
fez, fez
o, o
juramento, juramento
do, do
atleta, atleta
na, na
abertura, abertura
do, do
evento, evento
,, ,
que, que
contou, contou
também, também
com, com
a, a
Argentina, argentina
., .

, 

O, o
jogo, jogo
começou, começ
favorável, favorável
ao, ao
Brasil, brasil
,, ,
que, que
marcou, marcou
aos, ao
4min, 4min
., .
Os, os
paraguaios, paraguaio
empataram, empataram
aos, ao
15min, 15min
., .

, 

No, no
segundo, segundo
tempo, tempo
,, ,
os, os
brasileiros, brasileiro
jogaram, jogaram
melhor, melhor
., .
Pelé, pelé
marcou, marcou
aos, ao
9min, 9min
e, e
Valter, valter
aos, ao
31min, 31min
e, e
aos, ao
37min, 37min
., .

, 

Por, por
três, trê
meses, mese
,, ,
a, a
Folha, folha
pesquisou, pesquis
o, o
passado, passado
do, do
jogador, jogador
,, ,
cruzando, cruzando
dados, dado
de, de
12, 12
jornais, jornai
com, com
súmulas, súmula
do, do
arquivo, arquivo
do, do
Santos, santo
., .

, 

