As, ﻿a
TVs, tv
Bandeirantes, bandeirant
e, e
Globo, globo
transmitem, transmitem
hoje, hoje
(, (
ao, ao
vivo, vivo
), )
,, ,
às, às
16h, 16h
,, ,
Novorizontino, novorizontino
x, x
São, são
Paulo, paulo
., .
O, o
São, são
Paulo, paulo
,, ,
do, do
artilheiro, artilheiro
Bentinho, bentinho
(, (
foto, foto
), )
,, ,
lidera, lidera
o, o
Campeonato, campeonato
Paulista, paulista
,, ,
com, com
52, 52
pontos, ponto
ganhos, ganho
., .

, 

LEIA, leia
MAIS, mai

, 

sobre, sobr
o, o
jogo, jogo
na, na
pág., pág.
1, 1

, 

