Depois, ﻿depoi
de, de
cumprir, cumprir
15, 15
dias, dia
de, de
suspensão, suspensão
,, ,
Edmundo, edmundo
voltou, voltou
ontem, ontem
aos, ao
treinos, treino
do, do
Palmeiras, palmeira
., .

, 

O, o
atacante, atacant
garantiu, garantiu
,, ,
porém, porém
,, ,
que, que
não, não
tem, tem
a, a
`, `
`, `
menor, menor
vontade, vontad
'', ''
de, de
continuar, continuar
atuando, atuando
pelo, pelo
time, time
do, do
Parque, parqu
Antarctica, antarctica
até, até
o, o
final, final
de, de
seu, seu
contrato, contrato
,, ,
no, no
dia, dia
2, 2
de, de
julho, julho
., .

, 

`, `
`, `
Meu, meu
interesse, interess
é, é
deixar, deixar
o, o
Palmeiras, palmeira
., .
Só, só
fico, fico
até, até
julho, julho
se, se
for, for
preciso, preciso
,, ,
afinal, afin
sou, sou
jogador, jogador
contratado, contratado
pelo, pelo
clube, clube
'', ''
,, ,
disse, diss
Edmundo, edmundo
., .

, 

Segundo, segundo
ele, ele
,, ,
as, as
últimas, última
manifestações, manifestaçõ
da, da
torcida, torcida
contra, contra
a, a
sua, sua
permanência, permanência
pesaram, pesaram
na, na
decisão, decisão
., .

, 

`, `
`, `
Como, como
acabou, acab
o, o
carinho, carinho
e, e
o, o
respeito, respeito
por, por
parte, part
dos, do
torcedores, torcedor
,, ,
não, não
tenho, tenho
motivos, motivo
para, para
ficar, ficar
., .
'', ''

, 

Edmundo, edmundo
disse, diss
ter, ter
três, trê
propostas, proposta
do, do
exterior, exterior
,, ,
além, além
do, do
interesse, interess
oficial, ofici
de, de
Flamengo, flamengo
e, e
Botafogo, botafogo
., .

, 

`, `
`, `
As, as
propostas, proposta
do, do
exterior, exterior
não, não
me, me
atraem, atraem
'', ''
,, ,
disse, diss
., .

, 

Segundo, segundo
José, josé
Carlos, carlo
Brunoro, brunoro
,, ,
a, a
venda, venda
de, de
Edmundo, edmundo
será, será
definida, definida
entre, entr
hoje, hoje
e, e
amanhã, amanhã
com, com
a, a
presença, presença
do, do
presidente, president
da, da
Parmalat, parmalat
,, ,
Gianni, gianni
Grisendi, grisendi
., .
A, a
empresa, empresa
detém, detém
85, 85
%, %
do, do
passe, pass
do, do
jogador, jogador
., .

, 

`, `
`, `
O, o
Edmundo, edmundo
tem, tem
80, 80
%, %
de, de
chances, chanc
de, de
ir, ir
para, para
o, o
Rio, rio
e, e
20, 20
%, %
para, para
o, o
exterior, exterior
'', ''
,, ,
disse, diss
Brunoro, brunoro
., .

, 

(, (
AR, ar
), )

, 

LEIA, leia

, 

sobre, sobr
a, a
convocação, convocação
de, de
Edmundo, edmundo
na, na
pág., pág.
3, 3

, 

