Jogadores, ﻿jogador
e, e
técnicos, técnico
de, de
equipes, equip
eliminadas, eliminada
na, na
primeira, primeira
etapa, etapa
dos, do
playoffs, playoff
da, da
NBA, nba
criticaram, criticaram
os, os
árbitros, árbitro
das, da
partidas, partida
., .

, 

A, a
onda, onda
foi, foi
detonada, detonada
na, na
desclassificação, desclassificação
do, do
Denver, denver
pelo, pelo
San, san
Antonio, antonio
Spurs, spur
., .
Os, os
Nuggets, nugget
acusaram, acusaram
os, os
juízes, juíz
de, de
terem, terem
permitido, permitido
a, a
violência, violência
dos, do
adversários, adversário
., .

, 

As, as
reclamações, reclamaçõ
levaram, levaram
o, o
técnico, técnico
Bernie, berni
Bickerstaff, bickerstaff
,, ,
do, do
Denver, denver
,, ,
a, a
ser, ser
expulso, expulso
de, de
quadra, quadra
na, na
terceira, terceira
partida, partida
entre, entr
as, as
equipes, equip
., .

, 

`, `
`, `
A, a
atuação, atuação
do, do
árbitros, árbitro
foi, foi
desastrosa, desastrosa
e, e
nos, no
prejudicou, prejudic
de, de
forma, forma
clara, clara
'', ''
,, ,
disse, diss
., .

, 

Segundo, segundo
ele, ele
,, ,
há, há
sempre, sempr
pessoas, pessoa
que, que
dizem, dizem
`, `
`, `
ser, ser
autoridade, autoridad
e, e
podem, podem
fazer, fazer
o, o
que, que
querem, querem
'', ''
., .

, 

Mas, ma
as, as
críticas, crítica
mais, mai
ferozes, feroz
partiram, partiram
anteontem, anteontem
do, do
pivô, pivô
Alonzo, alonzo
Mourning, mourn
,, ,
do, do
Charlotte, charlott
,, ,
time, time
eliminado, eliminado
por, por
3, 3
a, a
1, 1
pelo, pelo
Chicago, chicago
., .

, 

Ele, ele
afirmou, afirm
que, que
os, os
resultados, resultado
têm, têm
sido, sido
manipulados, manipulado
de, de
acordo, acordo
com, com
os, os
interesses, interess
comerciais, comerciai
da, da
liga, liga
de, de
basquete, basquet
dos, do
EUA, eua
., .

, 

Acusou, acus
os, os
juízes, juíz
de, de
terem, terem
sido, sido
complacentes, complacent
com, com
Michael, michael
Jordan, jordan
_, _
maior, maior
jogador, jogador
de, de
todos, todo
os, os
tempos, tempo
,, ,
que, que
atua, atua
pelo, pelo
Chicago, chicago
., .

, 

`, `
`, `
Alguém, alguém
quer, quer
ver, ver
o, o
confronto, confronto
Chicago, chicago
Bulls, bull
x, x
Orlando, orlando
Magic, magic
nas, na
semifinais, semifinai
da, da
Conferência, conferência
Leste, lest
'', ''
,, ,
reclamou, reclam
o, o
jogador, jogador
., .

, 

O, o
Orlando, orlando
disputa, disputa
a, a
vaga, vaga
com, com
o, o
Boston, boston
., .
Caso, caso
tenha, tenha
sucesso, sucesso
,, ,
enfrentará, enfrentará
o, o
Chicago, chicago
na, na
série, série
melhor, melhor
de, de
sete, sete
jogos, jogo
da, da
próxima, próxima
etapa, etapa
., .

, 

