Nos, ﻿no
últimos, último
20, 20
anos, ano
,, ,
alguma, alguma
coisa, coisa
mudou, mudou
em, em
Lima, lima
., .
Os, os
monumentos, monumento
e, e
os, os
passeios, passeio
históricos, histórico
na, na
capital, capit
peruana, peruana
ainda, ainda
são, são
os, os
mesmos, mesmo
,, ,
mas, ma
respira-se, respira-s
um, um
outro, outro
ar, ar
., .

, 

A, a
cidade, cidad
está, está
mais, mai
limpa, limpa
e, e
os, os
cheiros, cheiro
não, não
incomodam, incomodam
tanto, tanto
., .
Os, os
peruanos, peruano
_, _
sempre, sempr
muito, muito
hospitaleiros, hospitaleiro
_, _
agora, agora
têm, têm
consciência, consciência
da, da
importância, importância
do, do
turismo, turismo
para, para
a, a
economia, economia
local, local
., .
Eles, ele
se, se
esforçam, esforçam
para, para
agradar, agradar
o, o
visitante, visitant
., .

, 

A, a
praça, praça
de, de
Armas, arma
,, ,
o, o
Palácio, palácio
do, do
Governo, governo
,, ,
as, as
ruelas, ruela
(, (
ou, ou
`, `
`, `
jirones, jiron
'', ''
), )
com, com
casario, casario
centenário, centenário
,, ,
a, a
padaria, padaria
La, la
Flor, flor
de, de
la, la
Canela, canela
,, ,
o, o
passeio, passeio
da, da
República, república
têm, têm
mais, mai
ambulantes, ambulant
do, do
que, que
sempre, sempr
., .
A, a
recuperação, recuperação
do, do
país, paí
não, não
contempla, contempla
o, o
subemprego, subemprego
., .

, 

O, o
velho, velho
hotel, hotel
Sheraton, sheraton
,, ,
majestoso, majestoso
e, e
decadente, decadent
,, ,
oferece, oferec
um, um
cassino, cassino
,, ,
onde, ond
se, se
podem, podem
gastar, gastar
alguns, algun
trocados, trocado
nas, na
máquinas, máquina
de, de
vídeo-pôquer, vídeo-pôquer
ou, ou
apostar, apostar
alto, alto
nas, na
mesas, mesa
de, de
carteado, carteado
., .
Programa, programa
garantido, garantido
para, para
os, os
brasileiros, brasileiro
`, `
`, `
sem-cassino, sem-cassino
'', ''
., .

, 

Os, os
principais, principai
cinemas, cinema
da, da
cidade, cidad
exibem, exibem
o, o
filme, film
`, `
`, `
Epidemia, epidemia
'', ''
,, ,
mas, ma
ninguém, ninguém
comenta, comenta
sobre, sobr
o, o
cólera, cólera
,, ,
que, que
parece, parec
distante, distant
,, ,
limitado, limitado
às, às
áreas, área
mais, mai
pobres, pobr
do, do
país, paí
., .

, 

Recomendam, recomendam
tomar, tomar
água, água
mineral, miner
., .
Embora, embora
a, a
qualidade, qualidad
da, da
água, água
seja, seja
assegurada, assegurada
pela, pela
indústria, indústria
turística, turística
,, ,
tem, tem
sabor, sabor
comprometido, comprometido
pelo, pelo
tratamento, tratamento
que, que
recebe, receb
., .

, 

No, no
feriado, feriado
,, ,
os, os
`, `
`, `
provinciales, provincial
'', ''
_, _
pessoas, pessoa
que, que
vieram, vieram
do, do
interior, interior
para, para
ganhar, ganhar
a, a
vida, vida
em, em
Lima, lima
_, _
tomam, tomam
na, na
praça, praça
de, de
Armas, arma
,, ,
sorvetes, sorvet
e, e
Inka, inka
Cola, cola
,, ,
o, o
refrigentae, refrigenta
local, local
., .
Entram, entram
para, para
rezar, rezar
na, na
Catedral, catedr
Nossa, nossa
Senhora, senhora
de, de
Assunção, assunção
,, ,
ou, ou
na, na
igreja, igreja
de, de
Santo, santo
Domingo, domingo
,, ,
onde, ond
estão, estão
os, os
restos, resto
de, de
Santa, santa
Rosa, rosa
de, de
Lima, lima
num, num
dos, do
altares, altar
., .

, 

Os, os
restaurantes, restaurant
mais, mai
econômicos, econômico
oferecem, oferecem
grelhados, grelhado
honestos, honesto
e, e
falam, falam
bem, bem
das, da
cervejas, cerveja
locais, locai
,, ,
a, a
Cristal, cristal
e, e
a, a
Cuzquena, cuzquena
., .

, 

(, (
JB, jb
), )

, 

