A, ﻿a
diretoria, diretoria
do, do
São, são
Paulo, paulo
vai, vai
tentar, tentar
esta, esta
semana, semana
a, a
contratação, contratação
do, do
atacante, atacant
Rivaldo, rivaldo
,, ,
do, do
Mogi, mogi
Mirim, mirim
., .
Márcio, márcio
Aranha, aranha
,, ,
diretor, diretor
são-paulino, são-paulino
,, ,
confirmou, confirm
o, o
interesse, interess
do, do
clube, clube
pelo, pelo
jogador, jogador
., .

, 

", "
Vamos, vamo
ter, ter
uma, uma
reunião, reunião
esta, esta
semana, semana
com, com
os, os
diretores, diretor
do, do
Mogi, mogi
para, para
tentar, tentar
fechar, fechar
o, o
negócio, negócio
., .
Vamos, vamo
tentar, tentar
o, o
empréstimo, empréstimo
ou, ou
até, até
mesmo, mesmo
a, a
contratação, contratação
em, em
definitivo, definitivo
', '
,, ,
disse, diss
o, o
dirigente, dirigent
., .

, 

Aranha, aranha
não, não
quis, qui
revelar, revelar
a, a
quantia, quantia
a, a
ser, ser
paga, paga
na, na
negociação, negociação
., .
", "
Não, não
conversamos, conversamo
sobre, sobr
cifras, cifra
", "
,, ,
despistou, despist
., .
", "
Temos, temo
interesse, interess
em, em
manter, manter
o, o
Rivaldo, rivaldo
,, ,
que, que
é, é
um, um
grande, grand
jogador, jogador
,, ,
em, em
São, são
Paulo, paulo
e, e
,, ,
de, de
preferência, preferência
,, ,
no, no
São, são
Paulo, paulo
", "
., .

, 

Rivaldo, rivaldo
atuou, atuou
no, no
último, último
campeonato, campeonato
brasileiro, brasileiro
emprestado, emprestado
ao, ao
Corinthians, corinthian
., .
O, o
Mogi, mogi
Mirim, mirim
estipula, estipula
o, o
preço, preço
do, do
passe, pass
do, do
jogador, jogador
em, em
US$, us$
4,5, 4,5
milhões, milhõ
., .

, 

