O, ﻿o
armador, armador
veterano, veterano
Derek, derek
Harper, harper
já, já
é, é
o, o
herói, herói
do, do
New, new
York, york
Knicks, knick
na, na
segunda, segunda
fase, fase
do, do
campeonato, campeonato
da, da
NBA, nba
., .

, 

Sua, sua
atuação, atuação
fulminou, fulmin
o, o
drama, drama
da, da
derrota, derrota
diante, diant
do, do
Indiana, indiana
(, (
107, 107
a, a
105, 105
), )
,, ,
domingo, domingo
,, ,
quando, quando
o, o
New, new
York, york
ficou, ficou
sob, sob
suspeita, suspeita
de, de
ter, ter
`, `
`, `
tremido, tremido
'', ''
no, no
final, final
., .

, 

Harper, harper
fez, fez
24, 24
pontos, ponto
., .
Manteve, mantev
,, ,
com, com
sua, sua
performance, perform
,, ,
uma, uma
média, média
superior, superior
a, a
60, 60
%, %
nos, no
arremessos, arremesso
de, de
dois, doi
e, e
de, de
três, trê
pontos, ponto
., .

, 

