Há, ﻿há
oito, oito
anos, ano
sem, sem
título, título
,, ,
o, o
Fluminense, fluminens
renasce, renasc
graças, graça
ao, ao
seu, seu
mais, mai
influente, influent
torcedor, torcedor
:, :
João, joão
Havelange, havelang
., .
O, o
presidente, president
da, da
Fifa, fifa
conversou, convers
com, com
a, a
direção, direção
do, do
Monaco, monaco
,, ,
da, da
França, frança
,, ,
e, e
a, a
convenceu, convenceu
a, a
vender, vender
o, o
meia, meia
Luís, luí
Henrique, henriqu
em, em
30, 30
parcelas, parcela
de, de
US$, us$
50, 50
mil, mil
pagáveis, pagávei
a, a
partir, partir
de, de
agosto, agosto
., .

, 

Presidente, president
de, de
honra, honra
do, do
Flu, flu
,, ,
Havelange, havelang
também, também
se, se
empenhou, empenh
na, na
contratação, contratação
do, do
lateral-esquerdo, lateral-esquerdo
Branco, branco
,, ,
titular, titular
da, da
seleção, seleção
., .
Devido, devido
a, a
sua, sua
interferência, interferência
,, ,
a, a
multinacional, multinacion
de, de
material, materi
esportivo, esportivo
Reebok, reebok
assinou, assin
com, com
o, o
clube, clube
contrato, contrato
de, de
US$, us$
400, 400
mil, mil
anuais, anuai
., .
(, (
MM, mm
), )

, 

