O, ﻿o
bilhete, bilhet
promocional, promocion
São, são
Paulo-Londres, paulo-londr
,, ,
ida, ida
e, e
volta, volta
,, ,
custa, custa
US$, us$
1.238, 1.238
no, no
balcão, balcão
das, da
companhias, companhia
aéreas, aérea
Varig, varig
e, e
British, british
Airways, airway
., .

, 

A, a
tarifa, tarifa
tem, tem
restrições, restriçõ
para, para
o, o
passageiro, passageiro
., .
Ele, ele
deve, deve
marcar, marcar
previamente, previament
as, as
datas, data
de, de
saída, saída
e, e
retorno, retorno
do, do
vôo, vôo
_, _
e, e
paga, paga
multa, multa
se, se
houver, houver
mudanças, mudança
., .

, 

Além, além
disso, disso
,, ,
há, há
limitação, limitação
de, de
estada, estada
., .
A, a
permanência, permanência
mínima, mínima
é, é
de, de
sete, sete
dias, dia
., .
A, a
máxima, máxima
,, ,
três, trê
meses, mese
., .

, 

RESERVAS, reserva
-, -
Varig, varig
,, ,
tel., tel.
(, (
011, 011
), )
240-1211, 240-1211
;, ;
British, british
Airways, airway
,, ,
tel., tel.
(, (
011, 011
), )
258-6144, 258-6144
., .

, 

