Três, ﻿trê
dias, dia
de, de
testes, test
", "
full, full
time, time
", "
já, já
fizeram, fizeram
Ayrton, ayrton
Senna, senna
arriscar, arriscar
uma, uma
previsão, previsão
., .
O, o
novo, novo
Williams, william
FW16, fw16
,, ,
com, com
suspensão, suspensão
passiva, passiva
,, ,
pode, pode
ser, ser
mais, mai
rápido, rápido
que, que
o, o
carro, carro
ativo, ativo
do, do
ano, ano
passado, passado
., .
Senna, senna
conseguiu, conseguiu
,, ,
anteontem, anteontem
,, ,
fazer, fazer
um, um
tempo, tempo
próximo, próximo
ao, ao
marcado, marcado
no, no
treino, treino
para, para
o, o
GP, gp
de, de
Portugal, portug
de, de
93, 93
com, com
a, a
McLaren, mclaren
eletrônica, eletrônica
:, :
1min12s49, 1min12s49
., .
Isso, isso
com, com
um, um
carro, carro
híbrido, híbrido
,, ,
o, o
Williams, william
FW15, fw15
equipado, equipado
com, com
molas, mola
e, e
amortecedores, amortecedor
e, e
sem, sem
controle, control
de, de
tração, tração
., .

, 

Algumas, alguma
novidades, novidad
que, que
vêm, vêm
sendo, sendo
testadas, testada
pela, pela
Williams, william
estão, estão
agradando, agradando
o, o
brasileiro, brasileiro
., .
A, a
direção, direção
hidráulica, hidráulica
,, ,
por, por
exemplo, exemplo
,, ,
funciona, funciona
bem, bem
e, e
deve, deve
ser, ser
adotada, adotada
em, em
definitivo, definitivo
., .

, 

Ontem, ontem
pela, pela
manhã, manhã
,, ,
Ayrton, ayrton
deu, deu
35, 35
voltas, volta
e, e
foi, foi
de, de
novo, novo
o, o
mais, mai
rápido, rápido
do, do
período, período
,, ,
com, com
tempo, tempo
de, de
1min12s90, 1min12s90
., .
Foi, foi
a, a
primeira, primeira
parte, part
de, de
um, um
teste, test
de, de
resistência, resistência
do, do
motor, motor
Renault, renault
RS6, rs6
,, ,
a, a
última, última
versão, versão
do, do
propulsor, propulsor
francês, francê
., .
Os, os
testes, test
terminam, terminam
hoje, hoje
e, e
depois, depoi
Senna, senna
só, só
deve, deve
voltar, voltar
a, a
guiar, guiar
o, o
carro, carro
novo, novo
no, no
final, final
de, de
fevereiro, fevereiro
., .

, 

Para, para
Senna, senna
,, ,
o, o
acidente, acident
com, com
o, o
finlandês, finlandê
J.J., j.j.
Lehto, lehto
anteontem, anteontem
,, ,
nos, no
testes, test
da, da
Benetton, benetton
em, em
Silverstone, silverston
,, ,
foi, foi
um, um
aviso, aviso
., .
", "
Sem, sem
controle, control
de, de
tração, tração
,, ,
os, os
carros, carro
ficaram, ficaram
mais, mai
instáveis, instávei
e, e
os, os
pilotos, piloto
precisam, precisam
se, se
ajustar, ajustar
a, a
essa, essa
nova, nova
realidade, realidad
., .
O, o
que, que
a, a
gente, gent
viu, viu
até, até
agora, agora
não, não
é, é
nada, nada
diante, diant
do, do
que, que
vem, vem
pela, pela
frente, frent
., .
Serão, serão
mais, mai
rodadas, rodada
e, e
acidentes, acident
,, ,
sobretudo, sobretudo
nos, no
treinos, treino
de, de
classificação, classificação
", "
,, ,
disse, diss
., .

, 

