Um, ﻿um
dia, dia
após, apó
a, a
reunião, reunião
da, da
Parmalat, parmalat
com, com
o, o
Botafogo, botafogo
,, ,
o, o
Flamengo, flamengo
apresenta, apresenta
uma, uma
proposta, proposta
para, para
comprar, comprar
Edmundo, edmundo
., .

, 

Entre, entr
10h30, 10h30
e, e
11h, 11h
,, ,
começa, começa
em, em
São, são
Paulo, paulo
a, a
reunião, reunião
entre, entr
o, o
gerente, gerent
de, de
esportes, esport
da, da
multinacional, multinacion
,, ,
José, josé
Carlos, carlo
Brunoro, brunoro
,, ,
e, e
o, o
presidente, president
do, do
Flamengo, flamengo
,, ,
Kleber, kleber
Leite, leit
., .

, 

`, `
`, `
Vamos, vamo
mostrar, mostrar
que, que
podemos, podemo
levantar, levantar
os, os
recursos, recurso
para, para
ter, ter
o, o
jogador, jogador
'', ''
,, ,
afirmou, afirm
Kleber, kleber
ontem, ontem
à, à
Folha, folha
., .

, 

O, o
Flamengo, flamengo
recebe, receb
nas, na
próximas, próxima
semanas, semana
US$, us$
6, 6
milhões, milhõ
de, de
adiantamento, adiantamento
da, da
empreiteira, empreiteira
que, que
construirá, construirá
um, um
shopping, shop
center, center
em, em
terreno, terreno
do, do
clube, clube
., .

, 

`, `
`, `
Seria, seria
irresponsabilidade, irresponsabilidad
usar, usar
todo, todo
esse, ess
dinheiro, dinheiro
no, no
projeto, projeto
Edmundo, edmundo
., .
'', ''

, 

Parte, part
do, do
dinheiro, dinheiro
,, ,
porém, porém
,, ,
pode, pode
ser, ser
empregada, empregada
na, na
contratação, contratação
., .
O, o
restante, restant
seria, seria
obtido, obtido
com, com
empresas, empresa
que, que
explorariam, explorariam
a, a
imagem, imagem
do, do
atacante, atacant
., .

, 

O, o
técnico, técnico
Wanderley, wanderley
Luxemburgo, luxemburgo
,, ,
que, que
em, em
dezembro, dezembro
se, se
transferiu, transferiu
do, do
Palmeiras, palmeira
para, para
o, o
Flamengo, flamengo
,, ,
já, já
aprovou, aprov
a, a
contratação, contratação
do, do
jogador, jogador
,, ,
seu, seu
ex-desafeto, ex-desafeto
., .

, 

Ele, ele
pretende, pretend
recuar, recuar
o, o
atacante, atacant
Sávio, sávio
para, para
o, o
meio-campo, meio-campo
., .
Assim, assim
,, ,
Edmundo, edmundo
jogaria, jogaria
pela, pela
direita, direita
do, do
ataque, ataqu
,, ,
e, e
Romário, romário
,, ,
pela, pela
esquerda, esquerda
., .

, 

(, (
MM, mm
), )

, 

