O, ﻿o
jogo, jogo
em, em
si, si
não, não
vale, vale
nada, nada
,, ,
a, a
não, não
ser, ser
a, a
expectativa, expectativa
habitual, habitu
de, de
que, que
o, o
Brasil, brasil
,, ,
no, no
mínimo, mínimo
,, ,
goleie, golei
Israel, israel
,, ,
lá, lá
em, em
Tel, tel
Aviv, aviv
., .
Acontece, acontec
que, que
Israel, israel
,, ,
embora, embora
historicamente, historicament
ocupe, ocup
lugar, lugar
modesto, modesto
no, no
ranking, rank
mundial, mundial
,, ,
tem, tem
vários, vário
jogadores, jogador
atuando, atuando
nos, no
centros, centro
mais, mai
desenvolvidos, desenvolvido
do, do
futebol, futebol
europeu, europeu
., .
E, e
essa, essa
mesma, mesma
seleção, seleção
anda, anda
criando, criando
problemas, problema
para, para
França, frança
e, e
escambaus, escambau
pela, pela
Copa, copa
Européia, européia
., .

, 

Além, além
do, do
mais, mai
,, ,
nosso, nosso
time, time
,, ,
como, como
sempre, sempr
,, ,
foi, foi
arregimentado, arregimentado
no, no
aeroporto, aeroporto
., .
Seja, seja
lá, lá
o, o
que, que
Deus, deu
quiser, quiser
., .
Mas, ma
a, a
Providência, providência
anda, anda
muito, muito
benévola, benévola
com, com
Zagallo, zagallo
;, ;
logo, logo
,, ,
é, é
bem, bem
possível, possível
que, que
a, a
goleada, goleada
venha, venha
., .

, 

Há, há
,, ,
porém, porém
,, ,
um, um
detalhe, detalh
:, :
até, até
agora, agora
,, ,
o, o
time, time
de, de
Zagallo, zagallo
tem, tem
oferecido, oferecido
bons, bon
espetáculos, espetáculo
e, e
muitos, muito
gols, gol
,, ,
jogando, jogando
com, com
dois, doi
volantes, volant
escalonados, escalonado
., .
Ou, ou
seja, seja
:, :
um, um
Dunga, dunga
e, e
um, um
Leandro, leandro
,, ,
por, por
exemplo, exemplo
,, ,
mais, mai
hábil, hábil
na, na
saída, saída
de, de
jogo, jogo
., .
Hoje, hoje
,, ,
joga, joga
com, com
dois, doi
Dungas, dunga
:, :
o, o
próprio, próprio
e, e
seu, seu
clone, clone
piorado, piorado
,, ,
Doriva, doriva
., .
Por, por
certo, certo
,, ,
isso, isso
fará, fará
a, a
bola, bola
sair, sair
da, da
nossa, nossa
intermediária, intermediária
,, ,
se, se
arrastando, arrastando
,, ,
vesga, vesga
e, e
combalida, combalida
pelos, pelo
maus, mau
tratos, trato
., .
Outro, outro
problema, problema
:, :
a, a
dupla, dupla
de, de
área, área
_, _
pelos, pelo
seus, seu
estilos, estilo
,, ,
Ronaldo, ronaldo
e, e
Túlio, túlio
,, ,
ao, ao
invés, invé
de, de
se, se
completarem, completarem
,, ,
colidem, colidem
., .
Ou, ou
melhor, melhor
:, :
ambos, ambo
atuam, atuam
da, da
mesma, mesma
forma, forma
,, ,
no, no
mesmo, mesmo
lugar, lugar
,, ,
em, em
jatos, jato
esparsos, esparso
., .

, 

De, de
valioso, valioso
mesmo, mesmo
,, ,
apenas, apena
a, a
volta, volta
de, de
Rivaldo, rivaldo
à, à
seleção, seleção
,, ,
na, na
ponta, ponta
dos, do
cascos, casco
., .
É, é
jogo, jogo
para, para
Rivaldo, rivaldo
definir, definir
seu, seu
lugar, lugar
no, no
elenco, elenco
., .
Isso, isso
porque, porqu
se, se
aprovou, aprov
na, na
estréia, estréia
,, ,
nos, no
tempos, tempo
do, do
Corinthians, corinthian
,, ,
ainda, ainda
,, ,
ficou, ficou
de, de
segunda, segunda
época, época
na, na
chance, chanc
seguinte, seguint
., .
E, e
,, ,
como, como
Zagallo, zagallo
parece, parec
não, não
olhar, olhar
com, com
bons, bon
olhos, olho
o, o
futebol, futebol
de, de
Rivaldo, rivaldo
,, ,
é, é
bom, bom
o, o
rapaz, rapaz
dar, dar
tudo, tudo
hoje, hoje
., .
Esse, ess
tudo, tudo
pode, pode
ser, ser
simplesmente, simplesment
o, o
que, que
vem, vem
jogando, jogando
nesta, nesta
temporada, temporada
., .

, 

Espinosa, espinosa
diz, diz
que, que
foi, foi
pego, pego
de, de
calças, calça
curtas, curta
., .
Estranho, estranho
,, ,
num, num
técnico, técnico
experiente, experient
como, como
ele, ele
,, ,
pois, poi
o, o
cheiro, cheiro
da, da
fritura, fritura
há, há
tempos, tempo
flutuava, flutuava
nos, no
ares, are
do, do
Parque, parqu
., .
Afinal, afin
,, ,
mesmo, mesmo
com, com
a, a
história, história
de, de
que, que
ele, ele
e, e
a, a
diretoria, diretoria
do, do
Palmeiras, palmeira
,, ,
em, em
conjunto, conjunto
,, ,
fizeram, fizeram
uma, uma
escala, escala
de, de
prioridades, prioridad
,, ,
tendo, tendo
a, a
Libertadores, libertador
no, no
topo, topo
e, e
o, o
Paulistão, paulistão
na, na
rabeira, rabeira
,, ,
mesmo, mesmo
assim, assim
,, ,
não, não
há, há
time, time
grande, grand
neste, nest
Brasil, brasil
que, que
resista, resista
a, a
sete, sete
jogos, jogo
seguidos, seguido
sem, sem
nenhuma, nenhuma
vitória, vitória
no, no
mesmo, mesmo
certame, certam
., .

, 

Mais, mai
que, que
isso, isso
:, :
a, a
desclassificação, desclassificação
da, da
Copa, copa
do, do
Brasil, brasil
matou, matou
a, a
esperança, esperança
de, de
se, se
manter, manter
um, um
trunfo, trunfo
na, na
manga, manga
,, ,
caso, caso
o, o
Palestra, palestra
escorregue, escorregu
agora, agora
na, na
Libertadores, libertador
,, ,
diante, diant
do, do
mesmo, mesmo
Grêmio, grêmio
que, que
o, o
desqualificou, desqualific
naquela, naquela
competição, competição
., .
E, e
que, que
cresce, cresc
como, como
um, um
fantasma, fantasma
sobre, sobr
o, o
Parque, parqu
., .

, 

A, a
bem, bem
da, da
verdade, verdad
,, ,
Espinosa, espinosa
não, não
cometeu, cometeu
nenhum, nenhum
deslize, desliz
grave, grave
,, ,
nenhuma, nenhuma
burrada, burrada
de, de
ordem, ordem
tática, tática
ou, ou
estratégica, estratégica
,, ,
nem, nem
mesmo, mesmo
deixou, deixou
de, de
escalar, escalar
este, est
ou, ou
aquele, aquel
jogador, jogador
por, por
idiossincrasia, idiossincrasia
., .
Nada, nada
que, que
obrigasse, obrigass
a, a
diretoria, diretoria
a, a
defenestrá-lo, defenestrá-lo
agora, agora
., .
Mas, ma
a, a
simples, simpl
agonia, agonia
de, de
somar-se, somar-s
ao, ao
cabalístico, cabalístico
