Uma, ﻿uma
novidade, novidad
futurística, futurística
é, é
a, a
atração, atração
da, da
Copa, copa
Hopman, hopman
de, de
tênis, têni
,, ,
cuja, cuja
abertura, abertura
estava, estava
programada, programada
para, para
ontem, ontem
em, em
Perth, perth
(, (
Austrália, austrália
), )
., .
Pela, pela
primeira, primeira
vez, vez
,, ,
partidas, partida
de, de
tênis, têni
serão, serão
disputadas, disputada
sem, sem
juiz, juiz
de, de
linha, linha
., .
Todas, toda
as, as
marcações, marcaçõ
serão, serão
realizadas, realizada
por, por
um, um
sistema, sistema
eletrônico, eletrônico
., .
Restam, restam
apenas, apena
o, o
juiz, juiz
de, de
cadeira, cadeira
,, ,
o, o
de, de
rede, rede
e, e
o, o
que, que
controla, controla
o, o
pé, pé
dos, do
tenistas, tenista
no, no
saque, saqu
., .

, 

O, o
TEL, tel
(, (
Tennis, tenni
Electronic, electron
Lines, line
,, ,
ou, ou
seja, seja
,, ,
linhas, linha
eletrônicas, eletrônica
de, de
tênis, têni
), )
,, ,
criado, criado
pelo, pelo
inventor, inventor
australiano, australiano
Brian, brian
Williams, william
,, ,
seria, seria
cinco, cinco
vezes, veze
mais, mai
preciso, preciso
que, que
o, o
olho, olho
humano, humano
., .
O, o
sistema, sistema
apresentou, apresent
defeitos, defeito
nos, no
testes, test
já, já
realizados, realizado
,, ,
mas, ma
seu, seu
criador, criador
afirmaue, afirmau
ele, ele
vai, vai
revolucionar, revolucionar
o, o
esporte, esport
., .

, 

", "
O, o
tênis, têni
mundial, mundial
estava, estava
à, à
espera, espera
de, de
um, um
sistema, sistema
semelhante, semelhant
para, para
ser, ser
usado, usado
em, em
grandes, grand
torneios, torneio
", "
,, ,
exultou, exult
o, o
diretor, diretor
do, do
torneio, torneio
,, ,
o, o
ex-jogador, ex-jogador
australiano, australiano
Paul, paul
McNamee, mcname
., .
", "
Se, se
tudo, tudo
correr, correr
bem, bem
,, ,
poderia, poderia
até, até
ser, ser
utilizado, utilizado
em, em
Wimbledon, wimbledon
., .
Para, para
enfrentar, enfrentar
a, a
concorrência, concorrência
de, de
outros, outro
esportes, esport
que, que
chegam, chegam
ao, ao
ano, ano
2000, 2000
,, ,
temos, temo
que, que
inovar, inovar
", "
,, ,
acrescentou, acrescent
., .

, 

O, o
TEL, tel
se, se
baseia, baseia
em, em
sensores, sensor
sob, sob
a, a
quadra, quadra
,, ,
capazes, capaz
de, de
detectar, detectar
o, o
contato, contato
de, de
uma, uma
bola, bola
que, que
contenha, contenha
ferro, ferro
., .
Um, um
som, som
indica, indica
que, que
a, a
bola, bola
caiu, caiu
fora, fora
,, ,
enquanto, enquanto
a, a
informação, informação
é, é
enviada, enviada
ao, ao
árbitro, árbitro
de, de
cadeira, cadeira
por, por
computador, computador
., .

, 

O, o
sistema, sistema
deveria, deveria
ter, ter
sido, sido
usado, usado
no, no
último, último
Aberto, aberto
dos, do
EUA, eua
,, ,
mas, ma
foi, foi
abandonado, abandonado
no, no
qualifying, qualifi
porque, porqu
os, os
calçados, calçado
dos, do
jogadores, jogador
enganavam, enganavam
os, os
sensores, sensor
., .
No, no
Aberto, aberto
da, da
Austrália, austrália
,, ,
em, em
janeiro, janeiro
de, de
93, 93
,, ,
fortes, fort
chuvas, chuva
impediram, impediram
a, a
instalação, instalação
do, do
equipamento, equipamento
., .

, 

Participam, participam
da, da
Copa, copa
Hopman, hopman
duplas, dupla
mistas, mista
de, de
12, 12
países, país
,, ,
em, em
sistema, sistema
semelhante, semelhant
ao, ao
da, da
Copa, copa
Davis, davi
., .
Destacam-se, destacam-s
Ivan, ivan
Lendl, lendl
e, e
Mary, mari
Joe, joe
Fernandez, fernandez
(, (
EUA, eua
), )
,, ,
Petr, petr
Korda, korda
e, e
Jana, jana
Novotna, novotna
(, (
República, república
Tcheca, tcheca
), )
,, ,
Emilio, emilio
Sanchez, sanchez
e, e
Conchita, conchita
Martinez, martinez
(, (
Espanha, espanha
), )
,, ,
Andrei, andrei
Medvedev, medvedev
e, e
Natalia, natalia
Medvedeva, medvedeva
(, (
Ucrânia, ucrânia
), )
., .
John, john
McEnroe, mcenro
,, ,
terror, terror
dos, do
juízes, juíz
do, do
mundo, mundo
inteiro, inteiro
,, ,
foi, foi
convidado, convidado
para, para
testar, testar
o, o
TEL, tel
,, ,
mas, ma
,, ,
contundido, contundido
,, ,
cedeu, cedeu
o, o
lugar, lugar
a, a
Lendl, lendl
., .

, 

