O, ﻿o
técnico, técnico
Zagallo, zagallo
disse, diss
ontem, ontem
não, não
acreditar, acreditar
que, que
a, a
má, má
fase, fase
do, do
zagueiro, zagueiro
Márcio, márcio
Santos, santo
se, se
deva, deva
à, à
repercussão, repercussão
das, da
fotos, foto
que, que
o, o
jogador, jogador
tirou, tirou
seminu, seminu
para, para
uma, uma
revista, revista
francesa, francesa
em, em
janeiro, janeiro
., .

, 

`, `
`, `
Na, na
seleção, seleção
,, ,
ele, ele
só, só
joga, joga
vestido, vestido
'', ''
,, ,
disse, diss
o, o
treinador, treinador
., .
`, `
`, `
Não, não
tenho, tenho
nada, nada
contra, contra
as, as
fotos, foto
,, ,
que, que
são, são
um, um
problema, problema
particular, particular
dele, dele
., .
Eu, eu
só, só
observo, observo
mulher, mulher
nua, nua
., .
De, de
homem, homem
,, ,
não, não
gosto, gosto
,, ,
não, não
., .
'', ''

, 

Titular, titular
da, da
seleção, seleção
brasileira, brasileira
na, na
Copa, copa
do, do
Mundo-94, mundo-94
,, ,
Márcio, márcio
está, está
em, em
má, má
fase, fase
., .
Foi, foi
considerado, considerado
o, o
principal, princip
responsável, responsável
pelas, pela
duas, dua
últimas, última
derrotas, derrota
da, da
sua, sua
equipe, equip
,, ,
a, a
Fiorentina, fiorentina
(, (
Itália, itália
), )
., .

, 

Torcedores, torcedor
do, do
clube, clube
dizem, dizem
que, que
,, ,
desde, desd
que, que
posou, posou
seminu, seminu
,, ,
com, com
um, um
pano, pano
tapando, tapando
o, o
sexo, sexo
,, ,
Márcio, márcio
tem, tem
jogado, jogado
mal, mal
., .

, 

Ele, ele
estava, estava
convocado, convocado
para, para
o, o
amistoso, amistoso
da, da
seleção, seleção
contra, contra
Israel, israel
,, ,
mas, ma
foi, foi
afastado, afastado
porque, porqu
disse, diss
estar, estar
estressado, estressado
., .

, 

As, as
dificuldades, dificuldad
de, de
Márcio, márcio
preocupam, preocupam
Zagallo, zagallo
., .
Embora, embora
não, não
afirme, afirm
em, em
público, público
,, ,
o, o
técnico, técnico
pensa, pensa
em, em
escalar, escalar
a, a
zaga, zaga
tetracampeã, tetracampeã
mundial, mundial
_, _
Márcio, márcio
Santos, santo
e, e
Aldair, aldair
_, _
para, para
disputar, disputar
a, a
Olimpíada-96, olimpíada-96
,, ,
em, em
Atlanta, atlanta
(, (
EUA, eua
), )
., .

, 

A, a
seleção, seleção
olímpica, olímpica
só, só
pode, pode
ter, ter
jogadores, jogador
nascidos, nascido
até, até
1º, 1º
de, de
janeiro, janeiro
de, de
1973, 1973
,, ,
com, com
exceção, exceção
de, de
três, trê
atletas, atleta
com, com
idade, idad
liberada, liberada
., .

, 

Zagallo, zagallo
quer, quer
convocar, convocar
os, os
dois, doi
zagueiros, zagueiro
e, e
um, um
volante, volant
(, (
provavelmente, provavelment
Dunga, dunga
), )
com, com
idade, idad
liberada, liberada
., .

, 

Dos, do
22, 22
jogadores, jogador
que, que
viajarão, viajarão
para, para
o, o
jogo, jogo
com, com
a, a
seleção, seleção
israelense, israelens
na, na
próxima, próxima
quarta-feira, quarta-feira
,, ,
11, 11
têm, têm
idade, idad
para, para
integrar, integrar
a, a
equipe, equip
olímpica, olímpica
., .

, 

Antes, ant
da, da
Olimpíada, olimpíada
,, ,
o, o
Brasil, brasil
vai, vai
disputar, disputar
um, um
torneio, torneio
classificatório, classificatório
na, na
América, américa
do, do
Sul, sul
,, ,
no, no
qual, qual
é, é
considerado, considerado
favorito, favorito
., .

, 

(, (
MM, mm
), )

, 

