Os, ﻿o
dez, dez
jogadores, jogador
', '
pendurados, pendurado
', '
com, com
dois, doi
cartões, cartõ
amarelos, amarelo
são, são
a, a
maior, maior
preocupação, preocupação
da, da
comissão, comissão
técnica, técnica
do, do
Novorizontino, novorizontino
para, para
as, as
quatro, quatro
últimas, última
partidas, partida
da, da
equipe, equip
no, no
Paulista, paulista
deste, dest
ano, ano
., .

, 

', '
Pendurado, pendurado
', '
é, é
o, o
termo, termo
usado, usado
quando, quando
o, o
jogador, jogador
entra, entra
em, em
campo, campo
com, com
dois, doi
cartões, cartõ
amarelos, amarelo
., .
Se, se
receber, receb
mais, mai
um, um
,, ,
o, o
regulamento, regulamento
prevê, prevê
a, a
suspensão, suspensão
por, por
um, um
jogo, jogo
., .

, 

", "
São, são
muitos, muito
cartões, cartõ
,, ,
principalmente, principalment
agora, agora
que, que
os, os
jogos, jogo
são, são
mais, mai
duros, duro
'', ''
,, ,
disse, diss
Damião, damião
Rodrigues, rodrigu
Filho, filho
,, ,
supervisor, supervisor
técnico, técnico
., .

, 

Contra, contra
o, o
São, são
Paulo, paulo
receberam, receberam
cartões, cartõ
amarelos, amarelo
Marcelo, marcelo
Prates, prate
,, ,
Elder, elder
e, e
Paulinho, paulinho
., .
A, a
próxima, próxima
partida, partida
é, é
quarta-feira, quarta-feira
,, ,
contra, contra
a, a
Ferroviária, ferroviária
,, ,
em, em
Novo, novo
Horizonte, horizont
., .

, 

O, o
time, time
de, de
Novo, novo
Horizonte, horizont
conseguiu, conseguiu
impedir, impedir
o, o
ataque, ataqu
adversário, adversário
,, ,
com, com
marcação, marcação
individual, individu
de, de
Índio, índio
em, em
Bentinho, bentinho
e, e
Luiz, luiz
Carlos, carlo
em, em
Sierra, sierra
., .

, 

Elder, elder
aparecia, aparecia
pelo, pelo
meio, meio
e, e
teve, teve
duelo, duelo
com, com
Juninho, juninho
., .
Aos, ao
19min, 19min
do, do
segundo, segundo
tempo, tempo
,, ,
o, o
meia, meia
do, do
Novorizontino, novorizontino
entrou, entrou
por, por
trás, trá
em, em
Juninho, juninho
e, e
recebeu, recebeu
amarelo, amarelo
., .

, 

