Meus, ﻿meu
amigos, amigo
,, ,
meus, meu
inimigos, inimigo
,, ,
não, não
deu, deu
para, para
entender, entend
por, por
que, que
a, a
diretoria, diretoria
do, do
Corinthians, corinthian
não, não
acertou, acert
a, a
compra, compra
do, do
Rivaldo, rivaldo
no, no
momento, momento
em, em
que, que
ele, ele
começou, começ
a, a
mostrar, mostrar
o, o
seu, seu
potencial, potenci
., .

, 

Ou, ou
por, por
que, que
não, não
fixaram, fixaram
o, o
preço, preço
do, do
seu, seu
passe, pass
desde, desd
o, o
início, início
., .
Deixaram, deixaram
para, para
negociar, negociar
depois, depoi
do, do
sucesso, sucesso
dele, dele
no, no
campeonato, campeonato
e, e
na, na
seleção, seleção
e, e
o, o
resultado, resultado
está, está
aí, aí
., .

, 

Bem, bem
mais, mai
esperta, esperta
foi, foi
a, a
diretoria, diretoria
do, do
São, são
Paulo, paulo
com, com
o, o
Juninho, juninho
., .
O, o
Corinthians, corinthian
apenas, apena
serviu, serviu
de, de
marketing, market
nacional, nacion
para, para
o, o
Mogi, mogi
Mirim, mirim
., .

, 

Animais, animai
e, e
times, time

, 

Já, já
se, se
sabe, sabe
que, que
os, os
americanos, americano
não, não
são, são
pessoas, pessoa
muito, muito
sérias, séria
., .
No, no
mundo, mundo
do, do
esportes, esport
,, ,
então, então
,, ,
as, as
chances, chanc
da, da
Gringolândia, gringolândia
do, do
tio, tio
Dave, dave
se, se
tornar, tornar
um, um
lugar, lugar
muito, muito
parecido, parecido
com, com
o, o
reino, reino
das, da
bonecas, boneca
Barbie, barbi
são, são
bastante, bastant
grandes, grand
., .

, 

Lá, lá
,, ,
como, como
aqui, aqui
,, ,
os, os
times, time
–, –
seja, seja
de, de
basquete, basquet
ou, ou
de, de
futebol, futebol
–, –
também, também
são, são
conhecidos, conhecido
por, por
apelidos, apelido
., .
Falamos, falamo
no, no
Peixe, peix
,, ,
no, no
Leão, leão
,, ,
no, no
Touro, touro
do, do
Vale, vale
etc., etc.

, 

Mas, ma
,, ,
por, por
mais, mai
fanáticos, fanático
que, que
possam, possam
ser, ser
os, os
torcedores, torcedor
brasileiros, brasileiro
pelos, pelo
seus, seu
símbolos, símbolo
,, ,
penso, penso
que, que
ainda, ainda
não, não
chegamos, chegamo
a, a
tantas, tanta
intimidades, intimidad
com, com
o, o
mundo, mundo
da, da
fantasia, fantasia
como, como
naquele, naquel
país, paí
–, –
onde, ond
,, ,
aliás, aliá
,, ,
um, um
grupo, grupo
de, de
feministas, feminista
passou, passou
a, a
considerar, considerar
que, que
todo, todo
ato, ato
sexual, sexual
humano, humano
que, que
não, não
tenha, tenha
a, a
reprodução, reprodução
como, como
finalidade, finalidad
deve, deve
ser, ser
considerado, considerado
um, um
estupro, estupro
., .

, 

Um, um
professor, professor
da, da
Universidade, universidad
Xavier, xavier
,, ,
Ohio, ohio
,, ,
chamado, chamado
Ernest, ernest
Fontana, fontana
–, –
segundo, segundo
Bob, bob
Matthews, matthew
,, ,
do, do
jornal, jornal
", "
USA, usa
Today, today
", "
–, –
,, ,
está, está
lançando, lançando
o, o
Grande, grand
Debate, debat
do, do
Apelido, apelido
dos, do
Times, time
Universitários, universitário
., .

, 

Na, na
listinha, listinha
do, do
ocupado, ocupado
professor, professor
Matthews, matthew
,, ,
Tigre, tigr
é, é
o, o
apelido, apelido
adotado, adotado
por, por
25, 25
times, time
de, de
universidades, universidad
americanas, americana
., .
Certamente, certament
pelo, pelo
aspecto, aspecto
agressivo, agressivo
:, :
os, os
tigres, tigr
da, da
ira, ira
são, são
preferíveis, preferívei
aos, ao
camelos, camelo
da, da
cultura, cultura
,, ,
como, como
diria, diria
o, o
poeta, poeta
., .
A, a
América, américa
,, ,
realmente, realment
,, ,
não, não
é, é
um, um
tigre, tigr
de, de
papel, papel
., .

, 

Em, em
segundo, segundo
lugar, lugar
na, na
lista, lista
de, de
animais, animai
preferidos, preferido
como, como
símbolo, símbolo
,, ,
está, está
o, o
Buldogue, buldogu
,, ,
talvez, talvez
por, por
ser, ser
metade, metad
cachorro, cachorro
metade, metad
touro, touro
., .
Ele, ele
foi, foi
adotado, adotado
por, por
22, 22
universidades, universidad
., .
Em, em
terceiro, terceiro
neste, nest
curioso, curioso
ranking, rank
,, ,
fica, fica
a, a
águia, águia
,, ,
com, com
19, 19
adoções, adoçõ
., .
Como, como
se, se
vê, vê
,, ,
também, também
por, por
lá, lá
há, há
quem, quem
prefira, prefira
adotar, adotar
a, a
frieza, frieza
e, e
argúcia, argúcia
da, da
ave, ave
de, de
rapina, rapina
., .

, 

Bob, bob
Matthews, matthew
diz, diz
que, que
ainda, ainda
há, há
uma, uma
lista, lista
grande, grand
de, de
animais, animai
disponíveis, disponívei
,, ,
que, que
não, não
encontraram, encontraram
times, time
para, para
adotá-los, adotá-lo
., .
E, e
sugere, suger
Girafa, girafa
para, para
algum, algum
time, time
de, de
basquete, basquet
ou, ou
Gafanhoto, gafanhoto
(, (
talvez, talvez
pela, pela
referência, referência
à, à
grama, grama
que, que
há, há
no, no
nome, nome
do, do
inseto, inseto
em, em
inglês, inglê
), )
para, para
um, um
time, time
de, de
futebol, futebol
., .

, 

Mas, ma
,, ,
nada, nada
bate, bate
o, o
apelido, apelido
adotado, adotado
pelo, pelo
time, time
da, da
Universidade, universidad
da, da
Califórinia, califórinia
,, ,
em, em
Santa, santa
Cruz, cruz
., .
Seus, seu
torcedores, torcedor
adoram, adoram
ser, ser
chamados, chamado
de, de
alguma, alguma
coisa, coisa
parecida, parecida
como, como
os, os
Lesmas, lesma
de, de
Banana, banana
., .

, 

Pode, pode
parecer, parec
engraçado, engraçado
para, para
nós, nó
brasileiros, brasileiro
., .
Mas, ma
,, ,
como, como
tudo, tudo
na, na
vida, vida
,, ,
depende, depend
da, da
perspectiva, perspectiva
de, de
quem, quem
está, está
olhando, olhando
., .
O, o
colunista, colunista
Matthews, matthew
,, ,
por, por
exemplo, exemplo
,, ,
inclui, inclui
o, o
Porco, porco
como, como
um, um
dos, do
animais, animai
não, não
recomendados, recomendado
para, para
ser, ser
símbolo, símbolo
de, de
time, time
algum, algum
., .

, 

E, e
todos, todo
nós, nó
conhecemos, conhecemo
uma, uma
imensa, imensa
torcida, torcida
que, que
,, ,
em, em
caso, caso
raríssimo, raríssimo
de, de
identificação, identificação
com, com
os, os
inimigos, inimigo
na, na
história, história
do, do
esporte, esport
,, ,
adotou, adot
o, o
símbolo, símbolo
da, da
difamação, difamação
como, como
o, o
apelido, apelido
da, da
afirmação, afirmação
de, de
sua, sua
identidade, identidad
–, –
até, até
então, então
bastante, bastant
maltratada, maltratada
pelos, pelo
adversários, adversário
., .

, 

Que, que
tipo, tipo
de, de
estudos, estudo
poderia, poderia
desenvolver, desenvolv
o, o
expert, expert
no, no
assunto, assunto
,, ,
o, o
nosso, nosso
professor, professor
Fontana, fontana
,, ,
quando, quando
descobrir, descobrir
que, que
abaixo, abaixo
do, do
Equador, equador
milhares, milhar
de, de
pessoas, pessoa
se, se
juntam, juntam
em, em
estádios, estádio
para, para
gritarem, gritarem
", "
Pooorco, pooorco
", "
orgulhosamente, orgulhosament
?, ?

, 

Segundo, segundo
o, o
professor, professor
Fontana, fontana
,, ,
os, os
times, time
devem, devem
mesmo, mesmo
procurar, procurar
seus, seu
apelidos, apelido
nos, no
animais, animai
., .
", "
Ursos, urso
não, não
podem, podem
falar, falar
", "
,, ,
justifica, justifica
ele, ele
., .

, 

Mas, ma
,, ,
no, no
país, paí
das, da
feministas, feminista
furiosas, furiosa
e, e
do, do
Politicamente, politicament
Correto, correto
,, ,
espere, esper
até, até
que, que
Associação, associação
dos, do
Protetores, protetor
do, do
Animais, animai
comece, comec
a, a
falar, falar
por, por
eles, ele
., .

, 

Matinas, matina
Suzuki, suzuki
Jr., jr.
escreve, escrev
nesta, nesta
coluna, coluna
às, às
terças, terça
,, ,
quintas, quinta
e, e
sábados, sábado
., .

, 

