As, ﻿a
jogadoras, jogadora
da, da
seleção, seleção
feminina, feminina
foram, foram
liberadas, liberada
do, do
treino, treino
de, de
ontem, ontem
à, à
tarde, tard
no, no
Rio, rio
., .

, 

O, o
motivo, motivo
foi, foi
o, o
casamento, casamento
da, da
meio-de-rede, meio-de-red
Ana, ana
Paula, paula
com, com
o, o
jogador, jogador
de, de
basquete, basquet
Jeffty, jeffti
Connely, conn
,, ,
que, que
aconteceria, aconteceria
às, às
20h, 20h
,, ,
em, em
Belo, belo
Horizonte, horizont
., .

, 

A, a
equipe, equip
terá, terá
folga, folga
no, no
fim-de-semana, fim-de-semana
., .
A, a
reapresentação, reapresentação
será, será
segunda-feira, segunda-feira
,, ,
no, no
Rio, rio
de, de
Janeiro, janeiro
., .

, 

Dia, dia
12, 12
,, ,
o, o
time, time
viaja, viaja
para, para
os, os
Estados, estado
Unidos, unido
onde, ond
disputa, disputa
uma, uma
série, série
de, de
amistosos, amistoso
., .

, 

A, a
jogadora, jogadora
Virna, virna
,, ,
que, que
acertou, acert
sua, sua
transferência, transferência
para, para
o, o
Sollo, sollo
/, /
Tietê, tietê
,, ,
comentou, coment
que, que
a, a
disputa, disputa
da, da
Superliga, superliga
Nacional, nacion
,, ,
encerrada, encerrada
em, em
abril, abril
,, ,
ajudou, ajud
a, a
equipe, equip
., .

, 

`, `
`, `
É, é
importante, important
que, que
o, o
vôlei, vôlei
do, do
Brasil, brasil
fique, fiqu
cada, cada
vez, vez
mais, mai
competitivo, competitivo
., .
'', ''

, 

A, a
atleta, atleta
,, ,
que, que
defendeu, defendeu
o, o
L'Ácqua, l'ácqua
na, na
última, última
temporada, temporada
,, ,
está, está
animada, animada
para, para
jogar, jogar
em, em
São, são
Paulo, paulo
., .

, 

`, `
`, `
Sem, sem
dúvida, dúvida
,, ,
é, é
o, o
maior, maior
centro, centro
esportivo, esportivo
do, do
país, paí
'', ''
,, ,
afirmou, afirm
., .

, 

Pelo, pelo
Circuito, circuito
Mundial, mundial
de, de
Vôlei, vôlei
de, de
Praia, praia
,, ,
na, na
etapa, etapa
da, da
Flórida, flórida
(, (
EUA, eua
), )
,, ,
as, as
atuais, atuai
campeãs, campeã
mundiais, mundiai
,, ,
Mônica, mônica
e, e
Adriana, adriana
,, ,
venceram, venceram
as, as
mexicanas, mexicana
Sotto, sotto
e, e
Marquez, marquez
,, ,
por, por
15, 15
a, a
3, 3
., .

, 

Jacqueline, jacquelin
e, e
Sandra, sandra
derrotaram, derrotaram
Reno, reno
e, e
McPeack, mcpeack
,, ,
dos, do
EUA, eua
,, ,
por, por
15, 15
a, a
8, 8
,, ,
Karina, karina
e, e
Renata, renata
superaram, superaram
Ji, ji
e, e
Kim, kim
,, ,
da, da
Coréia, coréia
,, ,
por, por
15, 15
a, a
4, 4
e, e
Magda, magda
e, e
Adriana, adriana
Behar, behar
venceram, venceram
Sotto, sotto
e, e
Uerta, uerta
,, ,
do, do
México, méxico
,, ,
15, 15
a, a
1, 1
., .

, 

No, no
masculino, masculino
,, ,
os, os
atuais, atuai
campeões, campeõ
brasileiros, brasileiro
,, ,
Franco, franco
e, e
Roberto, roberto
Lopes, lope
,, ,
derrotaram, derrotaram
os, os
sul-coreanos, sul-coreano
Kim, kim
e, e
Mah, mah
,, ,
por, por
15, 15
a, a
1, 1
,, ,
e, e
Hamilton, hamilton
e, e
Hamilton, hamilton
,, ,
da, da
Nova, nova
Zelândia, zelândia
,, ,
por, por
15, 15
a, a
8, 8
., .

, 

