Após, ﻿apó
perder, perder
dois, doi
jogos, jogo
em, em
seu, seu
ginásio, ginásio
,, ,
o, o
San, san
Antonio, antonio
foi, foi
até, até
Houston, houston
e, e
venceu, venceu
os, os
Rockets, rocket
,, ,
diminuindo, diminuindo
para, para
2, 2
a, a
1, 1
a, a
vantagem, vantagem
adversária, adversária
nos, no
playoffs, playoff
da, da
NBA, nba
., .

, 

Hoje, hoje
,, ,
as, as
duas, dua
equipes, equip
do, do
Estado, estado
do, do
Texas, texa
(, (
sul, sul
dos, do
EUA, eua
), )
se, se
enfrentam, enfrentam
novamente, novament
,, ,
no, no
mesmo, mesmo
local, local
., .

, 

Os, os
jogadores, jogador
do, do
San, san
Antonio, antonio
Spurs, spur
consideram, consideram
a, a
vitória, vitória
de, de
anteontem, anteontem
,, ,
por, por
107, 107
a, a
102, 102
,, ,
um, um
sinal, sinal
de, de
recuperação, recuperação
da, da
equipe, equip
., .

, 

`, `
`, `
Posso, posso
sentir, sentir
a, a
nossa, nossa
reação, reação
'', ''
,, ,
afirmou, afirm
David, david
Robinson, robinson
,, ,
eleito, eleito
o, o
melhor, melhor
jogador, jogador
desta, desta
temporada, temporada
da, da
liga, liga
profissional, profission
de, de
basquete, basquet
., .

, 

O, o
Houston, houston
,, ,
que, que
defende, defend
o, o
título, título
da, da
NBA, nba
,, ,
vinha, vinha
de, de
cinco, cinco
vitórias, vitória
seguidas, seguida
na, na
fase, fase
final, final
do, do
campeonato, campeonato
(, (
três, trê
contra, contra
o, o
Phoenix, phoenix
Suns, sun
e, e
duas, dua
contra, contra
os, os
Spurs, spur
), )
., .

, 

NA, na
TV, tv

, 

Spurs, spur
x, x
Rockets, rocket
,, ,
TVA, tva
,, ,
às, às
18h, 18h

, 

