Depois, ﻿depoi
de, de
uma, uma
série, série
de, de
nove, nove
jogos, jogo
sem, sem
vitória, vitória
,, ,
o, o
técnico, técnico
João, joão
Carlos, carlo
da, da
Silva, silva
Costa, costa
,, ,
39, 39
,, ,
deixou, deixou
o, o
Rio, rio
Branco, branco
., .

, 

Ele, ele
se, se
despediu, despediu
ontem, ontem
dos, do
jogadores, jogador
,, ,
após, apó
ter, ter
feito, feito
acordo, acordo
com, com
a, a
diretoria, diretoria
do, do
clube, clube
na, na
noite, noit
de, de
anteontem, anteontem
., .

, 

A, a
diretoria, diretoria
do, do
clube, clube
deve, deve
anunciar, anunciar
hoje, hoje
o, o
nome, nome
do, do
novo, novo
técnico, técnico
., .

, 

O, o
time, time
de, de
Americana, americana
participou, particip
ontem, ontem
de, de
um, um
amistoso, amistoso
na, na
cidade, cidad
de, de
Brotas, brota
sob, sob
o, o
comando, comando
do, do
técnico, técnico
interino, interino
,, ,
Arnaldo, arnaldo
Traspadine, traspadin
,, ,
treinador, treinador
da, da
equipe, equip
de, de
aspirantes, aspirant
., .

, 

João, joão
Carlos, carlo
disse, diss
que, que
havia, havia
colocado, colocado
seu, seu
cargo, cargo
à, à
disposição, disposição
no, no
dia, dia
23, 23
,, ,
após, apó
perder, perder
para, para
o, o
Bragantino, bragantino
(, (
2, 2
a, a
0, 0
), )
,, ,
mas, ma
a, a
diretoria, diretoria
teria, teria
pedido, pedido
para, para
que, que
ele, ele
continuasse, continuass
., .

, 

O, o
técnico, técnico
ainda, ainda
dirigiu, dirigiu
o, o
time, time
domingo, domingo
,, ,
na, na
derrota, derrota
de, de
2, 2
a, a
0, 0
para, para
a, a
Ferroviária, ferroviária
,, ,
e, e
comandou, comand
os, os
treinamentos, treinamento
de, de
anteontem, anteontem
., .

, 

`, `
`, `
Após, apó
o, o
treino, treino
,, ,
eles, ele
(, (
diretores, diretor
do, do
Rio, rio
Branco, branco
), )
me, me
procuraram, procuraram
para, para
aceitar, aceitar
a, a
minha, minha
demissão, demissão
., .
Concordei, concordei
porque, porqu
estávamos, estávamo
sem, sem
vencer, vencer
há, há
nove, nove
jogos, jogo
e, e
eu, eu
não, não
conseguia, conseguia
reverter, revert
a, a
situação, situação
., .
'', ''

, 

Para, para
João, joão
Carlos, carlo
,, ,
a, a
mudança, mudança
de, de
técnico, técnico
pode, pode
`, `
`, `
mexer, mexer
'', ''
no, no
grupo, grupo
e, e
provocar, provocar
uma, uma
reação, reação
positiva, positiva
., .

, 

`, `
`, `
O, o
time, time
não, não
podia, podia
correr, correr
o, o
risco, risco
de, de
começar, começar
a, a
brigar, brigar
contra, contra
o, o
rebaixamento, rebaixamento
., .
Tem, tem
que, que
brigar, brigar
pela, pela
classificação, classificação
'', ''
,, ,
disse, diss
o, o
técnico, técnico
., .

, 

