Após, ﻿apó
o, o
jogo, jogo
de, de
ontem, ontem
,, ,
o, o
treinador, treinador
Valdir, valdir
Espinosa, espinosa
evitou, evit
entrar, entrar
na, na
polêmica, polêmica
sobre, sobr
o, o
atraso, atraso
no, no
pagamento, pagamento
dos, do
prêmios, prêmio
aos, ao
jogadores, jogador
palmeirenses, palmeirens
e, e
também, também
à, à
comissão, comissão
técnica, técnica
., .

, 

`, `
`, `
Isso, isso
é, é
assunto, assunto
da, da
diretoria, diretoria
., .
Procuro, procuro
manter, manter
o, o
grupo, grupo
afastado, afastado
desse, dess
assunto, assunto
'', ''
,, ,
afirmou, afirm
., .

, 

Espinosa, espinosa
,, ,
no, no
entanto, entanto
,, ,
reconheceu, reconheceu
que, que
o, o
atraso, atraso
não, não
pode, pode
se, se
repetir, repetir
nas, na
próximas, próxima
fases, fase
da, da
Libertadores, libertador
,, ,
sob, sob
o, o
risco, risco
de, de
prejudicar, prejudicar
a, a
atuação, atuação
do, do
time, time
., .

, 

`, `
`, `
Todos, todo
os, os
mínimos, mínimo
detalhes, detalh
têm, têm
que, que
ser, ser
resolvidos, resolvido
pela, pela
diretoria, diretoria
., .
O, o
jogador, jogador
só, só
deve, deve
se, se
preocupar, preocupar
com, com
o, o
gramado, gramado
e, e
com, com
o, o
adversário, adversário
quando, quando
entrar, entrar
em, em
campo, campo
., .
'', ''

, 

Sobre, sobr
a, a
partida, partida
,, ,
Espinosa, espinosa
disse, diss
que, que
só, só
gostou, gostou
do, do
desempenho, desempenho
do, do
Palmeiras, palmeira
no, no
segundo, segundo
tempo, tempo
., .

, 

`, `
`, `
Nessa, nessa
etapa, etapa
,, ,
corrigimos, corrigimo
nosso, nosso
posicionamento, posicionamento
e, e
fizemos, fizemo
por, por
merecer, merec
a, a
vitória, vitória
'', ''
,, ,
disse, diss
o, o
técnico, técnico
., .

, 

Espinosa, espinosa
voltou, voltou
a, a
afirmar, afirmar
que, que
vai, vai
pedir, pedir
para, para
os, os
jogadores, jogador
`, `
`, `
esquecerem, esquecerem
a, a
Libertadores, libertador
até, até
26, 26
de, de
julho, julho
'', ''
,, ,
data, data
da, da
primeira, primeira
partida, partida
pelas, pela
quartas-de-final, quartas-de-fin
do, do
torneio, torneio
., .

, 

`, `
`, `
Até, até
lá, lá
,, ,
vamos, vamo
respirar, respirar
apenas, apena
Campeonato, campeonato
Paulista, paulista
., .
'', ''
O, o
time, time
joga, joga
sábado, sábado
,, ,
contra, contra
o, o
Novorizontino, novorizontino
,, ,
em, em
Novo, novo
Horizonte, horizont
., .

, 

(, (
AR, ar
), )

, 

