Com, ﻿com
a, a
convocação, convocação
de, de
Rivaldo, rivaldo
para, para
a, a
seleção, seleção
brasileira, brasileira
,, ,
o, o
meia, meia
Paulo, paulo
Isidoro, isidoro
tem, tem
a, a
chance, chanc
de, de
recuperar, recuperar
a, a
posição, posição
de, de
titular, titular
no, no
Palmeiras, palmeira
., .

, 

Ele, ele
deve, deve
ser, ser
mantido, mantido
na, na
equipe, equip
pelo, pelo
menos, meno
nos, no
próximos, próximo
quatro, quatro
jogos, jogo
., .

, 

(, (
AR, ar
), )

, 

Folha, folha
-, -
A, a
sequência, sequência
de, de
quatro, quatro
jogos, jogo
,, ,
devido, devido
a, a
ausência, ausência
do, do
Rivaldo, rivaldo
,, ,
será, será
suficiente, suficient
para, para
você, você
reconquistar, reconquistar
uma, uma
vaga, vaga
no, no
time, time
?, ?

, 

Paulo, paulo
Isidoro, isidoro
-, -
Tenho, tenho
condições, condiçõ
de, de
ser, ser
titular, titular
,, ,
mesmo, mesmo
quando, quando
o, o
Rivaldo, rivaldo
voltar, voltar
., .
Mas, ma
a, a
saída, saída
dele, dele
,, ,
agora, agora
,, ,
não, não
deixa, deixa
de, de
ser, ser
uma, uma
grande, grand
chance, chanc
para, para
mim, mim
., .

, 

Folha, folha
-, -
O, o
técnico, técnico
Carlos, carlo
Alberto, alberto
Silva, silva
pediu, pediu
mais, mai
marcação, marcação
aos, ao
defensores, defensor
e, e
ao, ao
meio-campo, meio-campo
., .
Qual, qual
foi, foi
a, a
instrução, instrução
para, para
o, o
ataque, ataqu
?, ?

, 

Paulo, paulo
Isidoro, isidoro
-, -
Não, não
perder, perder
gols, gol
., .
Nosso, nosso
time, time
vem, vem
desperdiçando, desperdiçando
muitas, muita
oportunidades, oportunidad
,, ,
o, o
que, que
permite, permit
o, o
crescimento, crescimento
do, do
adversário, adversário
durante, durant
o, o
jogo, jogo
., .
Eu, eu
,, ,
particularmente, particularment
,, ,
terei, terei
que, que
jogar, jogar
encostado, encostado
no, no
ataque, ataqu
,, ,
buscando, buscando
os, os
espaços, espaço
vazios, vazio
., .

, 

