Ao, ﻿ao
contrário, contrário
das, da
etapas, etapa
anteriores, anterior
da, da
temporada, temporada
,, ,
o, o
GP, gp
da, da
Espanha, espanha
de, de
F-1, f-1
foi, foi
marcado, marcado
pela, pela
monotonia, monotonia
e, e
pela, pela
falta, falta
de, de
ultrapassagens, ultrapassagen
., .

, 

À, à
exceção, exceção
da, da
última, última
volta, volta
,, ,
quando, quando
Damon, damon
Hill, hill
e, e
Rubens, ruben
Barrichello, barrichello
perderam, perderam
posições, posiçõ
por, por
falhas, falha
mecânicas, mecânica
em, em
seu, seu
carros, carro
,, ,
em, em
raros, raro
momentos, momento
houve, houv
alteração, alteração
de, de
posição, posição
na, na
pista, pista
., .

, 

Até, até
mesmo, mesmo
o, o
esperado, esperado
efeito, efeito
do, do
reabastecimento, reabastecimento
se, se
tornou, tornou
inócuo, inócuo
., .

, 

Sem, sem
contar, contar
a, a
Benetton, benetton
,, ,
a, a
maioria, maioria
dos, do
outros, outro
times, time
fizeram, fizeram
três, trê
paradas, parada
durante, durant
a, a
corrida, corrida
de, de
forma, forma
mais, mai
ou, ou
menos, meno
sincronizada, sincronizada
., .

, 

Quando, quando
o, o
primeiro, primeiro
parava, parava
,, ,
já, já
se, se
sabia, sabia
que, que
os, os
outros, outro
fariam, fariam
o, o
mesmo, mesmo
nas, na
voltas, volta
seguintes, seguint
,, ,
tornando, tornando
o, o
processo, processo
burocrático, burocrático
e, e
sem, sem
alternativas, alternativa
., .

, 

O, o
time, time
de, de
Michael, michael
Schumacher, schumach
encontrou, encontr
um, um
acerto, acerto
ideal, ideal
para, para
seus, seu
carros, carro
,, ,
lhe, lhe
dando, dando
a, a
opção, opção
de, de
apenas, apena
duas, dua
paradas, parada
., .

, 

Ninguém, ninguém
mais, mai
obteve, obtev
tal, tal
vantagem, vantagem
,, ,
que, que
fez, fez
o, o
alemão, alemão
chegar, chegar
cerca, cerca
de, de
50, 50
segundos, segundo
à, à
frente, frent
do, do
companheiro, companheiro
,, ,
Johnny, johnni
Herbert, herbert
., .

, 

Se, se
faltou, faltou
à, à
corrida, corrida
emoção, emoção
,, ,
sobrou, sobrou
talento, talento
para, para
Schumacher, schumach
e, e
,, ,
segundo, segundo
ele, ele
mesmo, mesmo
,, ,
ao, ao
seu, seu
time, time
., .
Deram, deram
um, um
show, show
que, que
,, ,
de, de
tão, tão
grande, grand
,, ,
acabou, acab
ofuscando, ofuscando
o, o
próprio, próprio
espetáculo, espetáculo
., .

, 

Os, os
raros, raro
momentos, momento
de, de
tensão, tensão
foram, foram
preenchidos, preenchido
com, com
alguns, algun
princípios, princípio
de, de
incêndio, incêndio
imediatamente, imediatament
debelados, debelado
_, _
um, um
na, na
pista, pista
(, (
quando, quando
David, david
Coulthard, coulthard
parou, parou
), )
e, e
outros, outro
dois, doi
nos, no
boxes, box
(, (
Bertrand, bertrand
Gachot, gachot
,, ,
da, da
Pacific, pacif
,, ,
e, e
Taki, taki
Inoue, inou
,, ,
da, da
Arrows, arrow
), )
., .

, 

Sem, sem
contar, contar
a, a
inédita, inédita
cena, cena
vivida, vivida
por, por
Herbert, herbert
que, que
,, ,
em, em
sua, sua
segunda, segunda
parada, parada
,, ,
arrancou, arranc
com, com
a, a
alavanca, alavanca
utilizada, utilizada
como, como
`, `
`, `
macaco, macaco
'', ''
presa, presa
na, na
traseira, traseira
de, de
seu, seu
carro, carro
., .

, 

Ela, ela
se, se
soltou, soltou
algumas, alguma
dezenas, dezena
de, de
metros, metro
depois, depoi
., .

, 

O, o
próprio, próprio
piloto, piloto
não, não
entendeu, entendeu
o, o
que, que
aconteceu, aconteceu
., .
`, `
`, `
Quando, quando
saí, saí
,, ,
ouvi, ouvi
no, no
rádio, rádio
:, :
`, `
Pare, pare
,, ,
pare, pare
,, ,
pare, pare
', '
., .
Aí, aí
eu, eu
perguntei, perguntei
:, :
`, `
O, o
quê, quê
?, ?
', '
., .
Então, então
,, ,
responderam, responderam
:, :
`, `
Vai, vai
,, ,
vai, vai
,, ,
vai, vai
'', ''
', '
,, ,
contou, contou
Herbert, herbert
mais, mai
tarde, tard
., .

, 

De, de
qualquer, qualquer
forma, forma
,, ,
estes, est
acontecimentos, acontecimento
não, não
foram, foram
suficientes, suficient
para, para
quebrar, quebrar
o, o
domínio, domínio
absoluto, absoluto
de, de
Schumacher, schumach
na, na
pista, pista
., .

, 

Resta, resta
saber, saber
se, se
este, est
regime, regim
será, será
perpetuado, perpetuado
nas, na
próximas, próxima
provas, prova
., .

, 

(, (
JHM, jhm
), )

, 

