Pela, ﻿pela
quarta, quarta
vez, vez
consecutiva, consecutiva
,, ,
um, um
recorde, record
na, na
modalidade, modalidad
,, ,
o, o
Buffalo, buffalo
Bills, bill
desembarca, desembarca
no, no
grande, grand
Super, super
Bowl, bowl
,, ,
o, o
cotejo, cotejo
decisivo, decisivo
do, do
futebol, futebol
americano, americano
., .
Os, os
Bills, bill
,, ,
porém, porém
,, ,
lutam, lutam
ao, ao
mesmo, mesmo
tempo, tempo
contra, contra
dois, doi
adversários, adversário
., .
Primeiro, primeiro
,, ,
os, os
inimigos, inimigo
de, de
hoje, hoje
,, ,
o, o
poderoso, poderoso
Dallas, dalla
Cowboys, cowboy
., .
Depois, depoi
,, ,
a, a
crônica, crônica
impossibilidade, impossibilidad
de, de
vencer, vencer
um, um
combate, combat
crucial, crucial
., .
Em, em
1991, 1991
,, ,
os, os
Bills, bill
perderam, perderam
o, o
Super, super
Bowl, bowl
para, para
o, o
New, new
York, york
Giants, giant
,, ,
19, 19
x, x
20, 20
,, ,
nos, no
derradeiros, derradeiro
segundos, segundo
do, do
jogo, jogo
., .
Em, em
1992, 1992
,, ,
sucumbiram, sucumbiram
ao, ao
Washington, washington
Redskins, redskin
,, ,
24, 24
x, x
37, 37
., .
Em, em
1993, 1993
,, ,
para, para
os, os
Cowboys, cowboy
,, ,
17, 17
x, x
52, 52
., .

, 

O, o
prélio, prélio
acontece, acontec
no, no
campo, campo
neutro, neutro
do, do
Georgia, georgia
Dome, dome
de, de
Atlanta, atlanta
,, ,
no, no
sul, sul
dos, do
EUA, eua
,, ,
um, um
estádio, estádio
coberto, coberto
e, e
climatizado, climatizado
,, ,
de, de
gramado, gramado
artificial, artifici
,, ,
capacidade, capacidad
para, para
71.594, 71.594
espectadores, espectador
., .
A, a
NFL, nfl
,, ,
entidade, entidad
que, que
organiza, organiza
o, o
futebol, futebol
americano, americano
,, ,
reservou, reserv
40, 40
%, %
dos, do
ingressos, ingresso
à, à
cidade-sede, cidade-sed
do, do
confronto, confronto
., .
Os, os
restantes, restant
60, 60
%, %
,, ,
na, na
teoria, teoria
,, ,
couberam, couberam
às, às
torcidas, torcida
das, da
equipes, equip
em, em
batalha, batalha
., .
A, a
cada, cada
um, um
dos, do
jogadores, jogador
dos, do
dois, doi
times, time
,, ,
a, a
NFL, nfl
forneceu, forneceu
quatro, quatro
bilhetes, bilhet
., .
Na, na
média, média
,, ,
as, as
entradas, entrada
valem, valem
US$, us$
150, 150
., .
Todavia, todavia
,, ,
os, os
cambistas, cambista
revenderão, revenderão
os, os
acessos, acesso
por, por
cerca, cerca
de, de
quatro, quatro
vezes, veze
mais, mai
., .

, 

A, a
rede, rede
de, de
televisão, televisão
NBC, nbc
,, ,
dona, dona
dos, do
direitos, direito
de, de
transmissão, transmissão
,, ,
enviará, enviará
as, as
imagens, imagen
do, do
jogo, jogo
para, para
mais, mai
de, de
50, 50
países, país
., .
Só, só
nos, no
EUA, eua
,, ,
perto, perto
de, de
100, 100
milhões, milhõ
de, de
pessoas, pessoa
presenciarão, presenciarão
o, o
Super, super
Bowl, bowl
., .
No, no
mundo, mundo
inteiro, inteiro
a, a
audiência, audiência
ficará, ficará
em, em
torno, torno
de, de
500, 500
milhões, milhõ
., .
Um, um
único, único
comercial, comerci
de, de
30, 30
segundos, segundo
,, ,
no, no
intervalo, intervalo
da, da
pugna, pugna
,, ,
custará, custará
mais, mai
de, de
US$, us$
800, 800
mil, mil
., .
Aliás, aliá
,, ,
os, os
filmes, film
de, de
propaganda, propaganda
funcionarão, funcionarão
como, como
tempero, tempero
para, para
um, um
show, show
da, da
cantora, cantora
Madonna, madonna
,, ,
a, a
estrela, estrela
do, do
half-time, half-tim
., .
A, a
Bandeirantes, bandeirant
exibirá, exibirá
o, o
prélio, prélio
ao, ao
vivo, vivo
,, ,
integralmente, integralment
,, ,
aqui, aqui
no, no
Brasil, brasil
,, ,
a, a
partir, partir
das, da
21h, 21h
,, ,
com, com
direito, direito
a, a
um, um
programa, programa
de, de
espera, espera
com, com
explicações, explicaçõ
didáticas, didática
a, a
respeito, respeito
das, da
regras, regra
e, e
das, da
táticas, tática
do, do
futebol, futebol
americano, americano
., .

, 

Na, na
temporada, temporada
regular, regular
,, ,
28, 28
agremiações, agremiaçõ
,, ,
subdivididas, subdividida
em, em
duas, dua
sub-ligas, sub-liga
,, ,
a, a
Conferência, conferência
Nacional, nacion
e, e
a, a
Conferência, conferência
Americana, americana
,, ,
disputaram, disputaram
um, um
torneio, torneio
de, de
qualificação, qualificação
que, que
colocou, coloc
12, 12
delas, dela
nos, no
playoffs, playoff
., .
No, no
Super, super
Bowl, bowl
,, ,
os, os
Cowboys, cowboy
defendem, defendem
a, a
tradição, tradição
da, da
Nacional, nacion
., .
Os, os
Bills, bill
representam, representam
as, as
cores, core
da, da
Americana, americana
., .
Para, para
chegarem, chegarem
à, à
finalíssima, finalíssima
,, ,
ambas, amba
as, as
equipes, equip
,, ,
na, na
temporada, temporada
regular, regular
,, ,
ganharam, ganharam
12, 12
pugnas, pugna
em, em
16, 16
., .
Então, então
,, ,
nos, no
playoffs, playoff
,, ,
os, os
Cowboys, cowboy
eliminaram, eliminaram
o, o
Green, green
Bay, bay
Packers, packer
(, (
27, 27
x, x
17, 17
), )
e, e
o, o
San, san
Francisco, francisco
49ers, 49er
(, (
38, 38
x, x
21, 21
), )
;, ;
os, os
Bills, bill
abateram, abateram
o, o
Los, lo
Angeles, angel
Raiders, raider
(, (
29, 29
x, x
23, 23
), )
e, e
o, o
Kansas, kansa
City, citi
Chiefs, chief
(, (
30, 30
x, x
13, 13
), )
., .
No, no
desafio, desafio
geral, geral
das, da
sub-ligas, sub-liga
,, ,
a, a
Nacional, nacion
vence, venc
por, por
15, 15
títulos, título
a, a
12, 12
., .

, 

Nas, na
primeiras, primeira
versões, versõ
do, do
Super, super
Bowl, bowl
a, a
Americana, americana
levou, levou
vantagem, vantagem
., .
Desde, desd
1982, 1982
,, ,
porém, porém
,, ,
arrebatou, arrebat
um, um
só, só
laurel, laurel
,, ,
em, em
1984, 1984
,, ,
quando, quando
o, o
Los, lo
Angeles, angel
Raiders, raider
arrasou, arras
o, o
Washington, washington
Redskins, redskin
,, ,
39, 39
x, x
9, 9
., .
Depois, depoi
,, ,
exclusivamente, exclusivament
aconteceram, aconteceram
sucessos, sucesso
de, de
agremiações, agremiaçõ
da, da
Nacional, nacion
–, –
em, em
quem, quem
os, os
apostadores, apostador
e, e
os, os
", "
bookmakers, bookmak
", "
dos, do
EUA, eua
mais, mai
uma, uma
vez, vez
depositam, depositam
os, os
seus, seu
cacifes, cacif
., .
Os, os
Cowboys, cowboy
são, são
os, os
favoritos, favorito
por, por
dez, dez
pontos, ponto
de, de
diferença, diferença
no, no
placar, placar
., .
No, no
comecinho, comecinho
da, da
temporada, temporada
regular, regular
,, ,
perderam, perderam
um, um
duelo, duelo
para, para
os, os
Bills, bill
,, ,
23, 23
x, x
14, 14
., .

, 

Além, além
de, de
invadirem, invadirem
a, a
história, história
,, ,
os, os
jogadores, jogador
da, da
equipe, equip
que, que
abocanhar, abocanhar
o, o
Super, super
Bowl, bowl
enriquecerão, enriquecerão
as, as
suas, sua
contas, conta
bancárias, bancária
com, com
a, a
quantia, quantia
de, de
US$, us$
36, 36
mil, mil
cada, cada
qual, qual
., .
Aos, ao
derrotados, derrotado
,, ,
US$, us$
18, 18
mil, mil
., .

, 

NA, na
TV, tv

, 

Bandeirantes, bandeirant
,, ,
ao, ao
vivo, vivo
,, ,
às, às
21h, 21h

, 

