O, ﻿o
primeiro-ministro, primeiro-ministro
israelense, israelens
,, ,
Ytzhak, ytzhak
Rabin, rabin
,, ,
foi, foi
ao, ao
estádio, estádio
Ramat-Gan, ramat-gan
,, ,
ontem, ontem
,, ,
para, para
ver, ver
o, o
jogo, jogo
entre, entr
Brasil, brasil
e, e
Israel, israel
., .

, 

Ele, ele
chegou, chegou
no, no
início, início
da, da
partida, partida
e, e
saiu, saiu
no, no
final, final
,, ,
sempre, sempr
cercado, cercado
pelos, pelo
seus, seu
guarda-costas, guarda-costa
., .

, 

No, no
estádio, estádio
,, ,
havia, havia
também, também
atiradores, atirador
de, de
elite, elit
disfarçados, disfarçado
e, e
especialistas, especialista
em, em
bombas, bomba
., .

, 

Essa, essa
cautela, cautela
contrastou, contrast
com, com
o, o
clima, clima
de, de
festa, festa
que, que
havia, havia
no, no
estádio, estádio
,, ,
motivado, motivado
pela, pela
presença, presença
da, da
seleção, seleção
brasileira, brasileira
., .

, 

A, a
torcida, torcida
pró-Brasil, pró-brasil
foi, foi
a, a
primeira, primeira
a, a
chegar, chegar
e, e
se, se
instalou, instal
no, no
setor, setor
da, da
arquibancada, arquibancada
em, em
frente, frent
ao, ao
meio, meio
do, do
campo, campo
., .

, 

Como, como
estava, estava
previsto, previsto
,, ,
houve, houv
desfile, desfil
da, da
Batucada, batucada
Tel, tel
Aviv, aviv
,, ,
que, que
tem, tem
um, um
israelense, israelens
como, como
chefe, chefe
de, de
bateria, bateria
,, ,
e, e
da, da
escola, escola
de, de
Samba, samba
Coco, coco
Loco, loco
,, ,
formada, formada
basicamente, basicament
por, por
brasileiras, brasileira
., .

, 

No, no
sistema, sistema
de, de
som, som
do, do
estádio, estádio
tocou-se, tocou-s
mais, mai
música, música
brasileira, brasileira
do, do
que, que
israelense, israelens
., .
Gal, gal
Costa, costa
,, ,
Caetano, caetano
Velloso, velloso
e, e
Jorge, jorg
Ben, ben
Jor, jor
tiveram, tiveram
interpretações, interpretaçõ
reproduzidas, reproduzida
., .

, 

Mas, ma
bastou, bastou
um, um
gol, gol
israelense, israelens
para, para
o, o
clima, clima
mudar, mudar
., .
Nos, no
últimos, último
dez, dez
minutos, minuto
,, ,
os, os
brasileiros, brasileiro
foram, foram
vaiados, vaiado
cada, cada
vez, vez
que, que
tocaram, tocaram
na, na
bola, bola
., .

, 

(, (
MD, md
), )

, 

