As, ﻿a
vaias, vaia
da, da
torcida, torcida
do, do
Palmeiras, palmeira
não, não
surpreenderam, surpreenderam
o, o
técnico, técnico
Valdir, valdir
Espinosa, espinosa
,, ,
após, apó
a, a
derrota, derrota
de, de
ontem, ontem
para, para
o, o
União, união
São, são
João, joão
,, ,
no, no
Parque, parqu
Antarctica, antarctica
., .

, 

`, `
`, `
Sabia, sabia
dos, do
riscos, risco
que, que
estava, estava
correndo, correndo
ao, ao
escalar, escalar
um, um
time, time
misto, misto
., .
E, e
assumo, assumo
tudo, tudo
'', ''
,, ,
afirmou, afirm
., .

, 

`, `
`, `
Temos, temo
que, que
escolher, escolh
os, os
jogos, jogo
mais, mai
importantes, important
de, de
cada, cada
competição, competição
e, e
escalar, escalar
o, o
time, time
da, da
melhor, melhor
maneira, maneira
possível, possível
'', ''
,, ,
disse, diss
., .

, 

Tranquilo, tranquilo
,, ,
o, o
treinador, treinador
palmeirense, palmeirens
aproveitou, aproveit
para, para
deixar, deixar
uma, uma
pergunta, pergunta
para, para
os, os
torcedores, torcedor
que, que
o, o
vaiaram, vaiaram
na, na
saída, saída
do, do
gramado, gramado
., .

, 

`, `
`, `
Prefiro, prefiro
perder, perder
hoje, hoje
e, e
ganhar, ganhar
na, na
quarta-feira, quarta-feira
., .
O, o
que, que
eles, ele
querem, querem
?, ?
Golear, golear
hoje, hoje
e, e
perder, perder
quarta, quarta
?, ?
'', ''
,, ,
perguntou, pergunt
,, ,
referindo-se, referindo-s
ao, ao
jogo, jogo
contra, contra
o, o
Bolívar, bolívar
pela, pela
Taça, taça
Libertadores, libertador
,, ,
o, o
mais, mai
importante, important
torneio, torneio
interclubes, interclub
sul-americano, sul-americano
., .

, 

Espinosa, espinosa
disse, diss
que, que
`, `
`, `
gostou, gostou
'', ''
da, da
produção, produção
do, do
time, time
,, ,
apesar, apesar
da, da
derrota, derrota
., .
`, `
`, `
Atacamos, atacamo
90, 90
minutos, minuto
e, e
tivemos, tivemo
azar, azar
nas, na
finalizações, finalizaçõ
., .
Já, já
o, o
União, união
teve, teve
100, 100
%, %
de, de
aproveitamento, aproveitamento
'', ''
., .

, 

O, o
lateral-esquerdo, lateral-esquerdo
Vágner, vágner
,, ,
que, que
falhou, falhou
no, no
segundo, segundo
gol, gol
,, ,
simplificou, simplific
o, o
que, que
aconteceu, aconteceu
em, em
campo, campo
., .
`, `
`, `
Hoje, hoje
nos, no
faltou, faltou
marcação, marcação
,, ,
determinação, determinação
e, e
conjunto, conjunto
., .
'', ''

, 

Para, para
a, a
partida, partida
contra, contra
o, o
Bolívar, bolívar
,, ,
o, o
técnico, técnico
Valdir, valdir
Espinosa, espinosa
ainda, ainda
não, não
sabe, sabe
quem, quem
será, será
o, o
companheiro, companheiro
de, de
Rivaldo, rivaldo
no, no
ataque, ataqu
., .

, 

`, `
`, `
Os, os
substitutos, substituto
são, são
Maurílio, maurílio
ou, ou
Magrão, magrão
., .
Mas, ma
posso, posso
fazer, fazer
alguma, alguma
improvisação, improvisação
'', ''
,, ,
disse, diss
., .

, 

Espinosa, espinosa
considera, considera
o, o
jogo, jogo
de, de
quarta-feira, quarta-feira
`, `
`, `
uma, uma
verdadeira, verdadeira
decisão, decisão
'', ''
., .
`, `
`, `
O, o
time, time
precisa, precisa
estar, estar
consciente, conscient
de, de
que, que
precisa, precisa
buscar, buscar
a, a
vitória, vitória
desde, desd
o, o
primeiro, primeiro
segundo, segundo
de, de
jogo, jogo
'', ''
,, ,
afirmou, afirm
., .

, 

O, o
meio-campo, meio-campo
colombiano, colombiano
Lozano, lozano
foi, foi
substituído, substituído
no, no
intervalo, intervalo
da, da
partida, partida
de, de
ontem, ontem
com, com
uma, uma
torção, torção
no, no
joelho, joelho
direito, direito
., .
Ele, ele
fica, fica
uma, uma
semana, semana
em, em
tratamento, tratamento
., .

, 

(, (
WBJr, wbjr
., .
), )

, 

