Na, ﻿na
entrevista, entrevista
que, que
Parreira, parreira
concedeu, concedeu
ao, ao
João, joão
Máximo, máximo
,, ,
ontem, ontem
,, ,
aqui, aqui
nesta, nesta
Folha, folha
,, ,
o, o
técnico, técnico
brasileiro, brasileiro
lista, lista
uma, uma
série, série
de, de
fatores, fator
que, que
podem, podem
derrubar, derrubar
nosso, nosso
time, time
na, na
Copa, copa
,, ,
fora, fora
do, do
campo, campo
., .

, 

O, o
primeiro, primeiro
item, item
tem, tem
endereço, endereço
certo, certo
e, e
conhecido, conhecido
:, :
vai, vai
direto, direto
a, a
Barcelona, barcelona
,, ,
onde, ond
reside, resid
Romário, romário
,, ,
que, que
,, ,
na, na
verdade, verdad
,, ,
transformou-se, transformou-s
na, na
grande, grand
solução, solução
das, da
eliminatórias, eliminatória
e, e
no, no
grande, grand
problema, problema
da, da
Copa, copa
., .

, 

Parreira, parreira
pode, pode
ser, ser
acusado, acusado
de, de
tudo, tudo
,, ,
menos, meno
de, de
burro, burro
., .
E, e
seus, seu
vinte, vint
e, e
poucos, pouco
anos, ano
de, de
futebol, futebol
já, já
advertiram, advertiram
para, para
o, o
risco, risco
que, que
significa, significa
a, a
supervalorização, supervalorização
de, de
um, um
atleta, atleta
que, que
sofre, sofr
,, ,
sobretudo, sobretudo
,, ,
de, de
incontinência, incontinência
verbal, verbal
., .

, 

A, a
bem, bem
da, da
verdade, verdad
,, ,
ele, ele
e, e
Zagalo, zagalo
sacaram, sacaram
isso, isso
antes, ant
mesmo, mesmo
das, da
eliminatórias, eliminatória
., .
Por, por
isso, isso
,, ,
não, não
convocaram, convocaram
Romário, romário
., .
Se, se
tudo, tudo
corresse, corress
como, como
o, o
esperado, esperado
–, –
uma, uma
classificação, classificação
sem, sem
sustos, susto
–, –
Romário, romário
,, ,
apesar, apesar
da, da
excelência, excelência
de, de
seu, seu
futebol, futebol
,, ,
hoje, hoje
estaria, estaria
,, ,
na, na
melhor, melhor
das, da
hipóteses, hipótes
,, ,
na, na
muda, muda
,, ,
boca, boca
selada, selada
,, ,
à, à
espera, espera
da, da
convocação, convocação
para, para
a, a
Copa, copa
., .

, 

Fatais, fatai
erros, erro
de, de
preparação, preparação
da, da
equipe, equip
,, ,
que, que
vão, vão
desde, desd
a, a
desorganização, desorganização
do, do
nosso, nosso
futebol, futebol
até, até
equívocos, equívoco
na, na
escalação, escalação
e, e
substituições, substituiçõ
por, por
parte, part
da, da
comissão, comissão
técnica, técnica
(, (
leia-se, leia-s
Parreira, parreira
), )
,, ,
obrigaram, obrigaram
o, o
técnico, técnico
,, ,
no, no
jogo, jogo
decisivo, decisivo
,, ,
a, a
recorrer, recorr
a, a
Romário, romário
,, ,
que, que
deitou, deitou
e, e
rolou, rolou
., .
Resultado, resultado
:, :
não, não
satisfeito, satisfeito
em, em
ganhar, ganhar
a, a
camisa, camisa
9, 9
da, da
seleção, seleção
e, e
o, o
coração, coração
da, da
torcida, torcida
,, ,
Romário, romário
