O, ﻿o
russo, russo
Alexander, alexand
Popov, popov
diminuiu, diminuiu
ontem, ontem
,, ,
na, na
segunda, segunda
etapa, etapa
da, da
Copa, copa
do, do
Mundo, mundo
de, de
natação, natação
,, ,
em, em
Pequim, pequim
(, (
CHI, chi
), )
,, ,
pela, pela
segunda, segunda
vez, vez
em, em
quatro, quatro
dias, dia
,, ,
o, o
recorde, record
mundial, mundial
dos, do
100, 100
m, m
livre, livr
em, em
piscina, piscina
de, de
25, 25
m, m
–, –
prova, prova
em, em
que, que
o, o
brasileiro, brasileiro
Gustavo, gustavo
Borges, borg
marcou, marcou
47s94, 47s94
no, no
ano, ano
passado, passado
–, –
marcando, marcando
47s82, 47s82
–, –
0s01, 0s01
menos, meno
que, que
o, o
anterior, anterior
., .

, 

Na, na
mesma, mesma
competição, competição
,, ,
a, a
chinesa, chinesa
Zhong, zhong
Weiyue, weiyu
marcou, marcou
58s71, 58s71
na, na
prova, prova
de, de
100, 100
m, m
borboleta, borboleta
e, e
baixou, baixou
0s20, 0s20
o, o
recorde, record
anterior, anterior
., .
Esses, ess
recordes, record
selaram, selaram
a, a
superioridade, superioridad
desses, dess
países, país
,, ,
já, já
que, que
na, na
primeira, primeira
etapa, etapa
,, ,
realizada, realizada
no, no
fim-de-semana, fim-de-semana
passado, passado
em, em
Hong, hong
Kong, kong
,, ,
as, as
chinesas, chinesa
ganharam, ganharam
oito, oito
das, da
17, 17
medalhas, medalha
de, de
ouro, ouro
disputadas, disputada
,, ,
enquanto, enquanto
os, os
russos, russo
levaram, levaram
sete, sete
em, em
17, 17
provas, prova
., .

, 

Essa, essa
superioridade, superioridad
também, também
se, se
reflete, reflet
nessa, nessa
segunda, segunda
etapa, etapa
., .
Das, da
oito, oito
provas, prova
do, do
feminino, feminino
,, ,
as, as
orientais, orientai
venceram, venceram
sete, sete
., .
Das, da
nove, nove
do, do
masculino, masculino
,, ,
três, trê
foram, foram
vencidas, vencida
por, por
russos, russo
., .

, 

A, a
classificação, classificação
geral, geral
tem, tem
a, a
China, china
como, como
líder, líder
absoluta, absoluta
com, com
56, 56
medalhas, medalha
,, ,
sendo, sendo
17, 17
de, de
ouro, ouro
,, ,
17, 17
de, de
prata, prata
e, e
21, 21
de, de
bronze, bronz
,, ,
a, a
Rússia, rússia
é, é
a, a
segunda, segunda
com, com
28, 28
(, (
11, 11
,, ,
10, 10
e, e
7, 7
), )
e, e
a, a
Austrália, austrália
em, em
terceiro, terceiro
com, com
18, 18
(, (
7, 7
,, ,
6, 6
e, e
5, 5
), )
., .

, 

A, a
equipe, equip
brasileira, brasileira
não, não
está, está
participando, participando
dessa, dessa
competição, competição
organizada, organizada
pela, pela
Fina, fina
(, (
Federação, federação
Internacional, internacion
de, de
Natação, natação
), )
por, por
não, não
ter, ter
recebido, recebido
um, um
convite, convit
da, da
federação, federação
local, local
do, do
evento, evento
(, (
que, que
financia, financia
a, a
estadia, estadia
dos, do
atletas, atleta
), )
e, e
também, também
por, por
estar, estar
treinando, treinando
para, para
100, 100
m., m.

, 

Segundo, segundo
o, o
diretor-geral, diretor-ger
de, de
eportes, eport
da, da
Confederação, confederação
Brasileira, brasileira
de, de
Desportos, desporto
Aquáticos, aquático
(, (
CBDA, cbda
), )
e, e
presidente, president
em, em
exercício, exercício
da, da
entidade, entidad
,, ,
Rodinei, rodinei
Finizola, finizola
,, ,
53, 53
,, ,
o, o
calendário, calendário
nacional, nacion
é, é
incompatível, incompatível
com, com
algumas, alguma
provas, prova
no, no
exterior, exterior
., .

, 

", "
Devemos, devemo
mudar, mudar
nosso, nosso
calendário, calendário
para, para
podermos, podermo
participar, participar
dessa, dessa
copa, copa
que, que
começará, começará
sempre, sempr
nessa, nessa
época, época
., .
Nossos, nosso
nadadores, nadador
estão, estão
treinando, treinando
para, para
nossa, nossa
principal, princip
prova, prova
que, que
é, é
o, o
Troféu, troféu
Brasil, brasil
de, de
Natação, natação
,, ,
que, que
se, se
realizará, realizará
entre, entr
20, 20
e, e
23, 23
deste, dest
mês, mê
e, e
que, que
é, é
disputado, disputado
em, em
piscina, piscina
de, de
100, 100
m., m.
", "

, 

A, a
CBDA, cbda
recebeu, recebeu
um, um
convite, convit
para, para
participar, participar
nos, no
dias, dia
19, 19
e, e
20, 20
de, de
março, março
da, da
etapa, etapa
alemã, alemã
da, da
Copa, copa
do, do
Mundo, mundo
., .

, 

