A, ﻿a
diretoria, diretoria
do, do
Corinthians, corinthian
tenta, tenta
nesta, nesta
segunda-feira, segunda-feira
definir, definir
a, a
vinda, vinda
do, do
atacante, atacant
Muller, muller
,, ,
junto, junto
ao, ao
time, time
japonês, japonê
do, do
Kashiwa, kashiwa
Reysol, reysol
,, ,
por, por
empréstimo, empréstimo
até, até
o, o
final, final
do, do
ano, ano
., .

, 

Segundo, segundo
Carlos, carlo
Antônio, antônio
Palmares, palmar
,, ,
procurador, procurador
de, de
Muller, muller
,, ,
o, o
jogador, jogador
chega, chega
a, a
São, são
Paulo, paulo
na, na
próxima, próxima
segunda-feira, segunda-feira
e, e
vai, vai
diretamente, diretament
se, se
reunir, reunir
com, com
os, os
dirigentes, dirigent
., .

, 

`, `
`, `
Acho, acho
que, que
os, os
japoneses, japones
não, não
irão, irão
liberá-lo, liberá-lo
por, por
empréstimo, empréstimo
'', ''
,, ,
disse, diss
Palmares, palmar
., .
O, o
passe, pass
de, de
Muller, muller
está, está
avaliado, avaliado
em, em
US$, us$
2, 2
milhões, milhõ
., .

, 

O, o
ex-são-paulino, ex-são-paulino
,, ,
que, que
recebe, receb
salários, salário
de, de
US$, us$
100, 100
mil, mil
no, no
Japão, japão
,, ,
pode, pode
assinar, assinar
com, com
o, o
Corinthians, corinthian
pela, pela
metade, metad
do, do
valor, valor
., .

, 

O, o
Corinthians, corinthian
considera, considera
o, o
valor, valor
do, do
passe, pass
`, `
`, `
fora, fora
dos, do
padrões, padrõ
brasileiros, brasileiro
'', ''
., .

, 

Quanto, quanto
ao, ao
salário, salário
,, ,
José, josé
Mansur, mansur
Farah, farah
,, ,
vice-presidente, vice-president
de, de
futebol, futebol
,, ,
disse, diss
que, que
R$, r$
30, 30
mil, mil
é, é
o, o
`, `
`, `
teto, teto
'', ''
do, do
clube, clube
., .

, 

Muller, muller
foi, foi
negociado, negociado
no, no
final, final
do, do
ano, ano
,, ,
mas, ma
não, não
`, `
`, `
conseguiu, conseguiu
se, se
ambientar, ambientar
'', ''
no, no
novo, novo
país, paí
., .

, 

Amanhã, amanhã
chega, chega
a, a
São, são
Paulo, paulo
,, ,
vindo, vindo
de, de
Valencia, valencia
,, ,
o, o
vice-presidente, vice-president
corintiano, corintiano
Hermes, herm
de, de
Rosa, rosa
., .
O, o
dirigente, dirigent
vai, vai
trazer, trazer
as, as
bases, base
do, do
contrato, contrato
do, do
atacante, atacant
Viola, viola
,, ,
com, com
o, o
clube, clube
espanhol, espanhol
., .

, 

Na, na
próxima, próxima
semana, semana
,, ,
Viola, viola
deve, deve
viajar, viajar
para, para
fazer, fazer
exames, exam
médicos, médico
., .
E, e
o, o
Corinthians, corinthian
deverá, deverá
receber, receb
a, a
primeira, primeira
parcela, parcela
do, do
pagamento, pagamento
do, do
passe, pass
do, do
jogador, jogador
., .

, 

