A, ﻿a
seleção, seleção
masculina, masculina
de, de
vôlei, vôlei
enfrenta, enfrenta
a, a
Espanha, espanha
pela, pela
Liga, liga
Mundial, mundial
com, com
três, trê
desfalques, desfalqu
., .

, 

Além, além
de, de
Carlão, carlão
,, ,
que, que
fraturou, fratur
o, o
pé, pé
direito, direito
,, ,
e, e
Marcelo, marcelo
Negrão, negrão
,, ,
contundido, contundido
no, no
ombro, ombro
direito, direito
,, ,
Max, max
não, não
poderá, poderá
jogar, jogar
., .

, 

Segundo, segundo
a, a
assessoria, assessoria
de, de
imprensa, imprensa
da, da
CBV, cbv
(, (
Confederação, confederação
Brasileira, brasileira
de, de
Vôlei, vôlei
), )
,, ,
ele, ele
fraturou, fratur
dois, doi
dedos, dedo
da, da
mão, mão
esquerda, esquerda
., .

, 

Domingos, domingo
Pereira, pereira
,, ,
pai, pai
do, do
jogador, jogador
,, ,
disse, diss
que, que
Max, max
foi, foi
atacado, atacado
por, por
uma, uma
gangue, gangu
de, de
adolescentes, adolescent
sábado, sábado
à, à
noite, noit
,, ,
em, em
Bauru, bauru
(, (
345, 345
km, km
a, a
noroeste, noroest
de, de
São, são
Paulo, paulo
), )
., .

, 

Seu, seu
irmão, irmão
Alex, alex
levou, levou
um, um
tiro, tiro
na, na
perna, perna
e, e
pancadas, pancada
na, na
cabeça, cabeça
,, ,
mas, ma
não, não
corre, corr
risco, risco
de, de
vida, vida
., .

, 

`, `
`, `
Meus, meu
filhos, filho
nem, nem
conheciam, conheciam
os, os
agressores, agressor
'', ''
,, ,
disse, diss
Domingos, domingo
., .

, 

Max, max
esteve, estev
no, no
hotel, hotel
The, the
Hill, hill
,, ,
em, em
que, que
está, está
a, a
equipe, equip
em, em
São, são
Paulo, paulo
,, ,
domingo, domingo
à, à
noite, noit
., .

, 

O, o
técnico, técnico
José, josé
Roberto, roberto
Guimarães, guimarã
não, não
quis, qui
comentar, comentar
o, o
ocorrido, ocorrido
., .
`, `
`, `
É, é
melhor, melhor
que, que
o, o
próprio, próprio
jogador, jogador
diga, diga
à, à
imprensa, imprensa
o, o
que, que
aconteceu, aconteceu
'', ''
,, ,
afirmou, afirm
., .

, 

Ele, ele
lamentou, lament
a, a
contusão, contusão
do, do
meio-de-rede, meio-de-red
., .
`, `
`, `
Max, max
seria, seria
titular, titular
nos, no
próximos, próximo
jogos, jogo
'', ''
,, ,
disse, diss
., .

, 

Carlão, carlão
,, ,
Marcelo, marcelo
Negrão, negrão
e, e
Max, max
ficarão, ficarão
no, no
Rio, rio
de, de
Janeiro, janeiro
com, com
Leandro, leandro
,, ,
que, que
também, também
não, não
viaja, viaja
à, à
Europa, europa
., .

, 

O, o
técnico, técnico
preferiu, preferiu
Talmo, talmo
a, a
Leandro, leandro
para, para
jogar, jogar
na, na
Espanha, espanha
., .

, 

Em, em
Belo, belo
Horizonte, horizont
,, ,
a, a
L'Ácqua, l'ácqua
di, di
Fiori, fiori
anunciou, anunci
que, que
não, não
irá, irá
renovar, renovar
o, o
patrocínio, patrocínio
do, do
time, time
feminino, feminino
de, de
vôlei, vôlei
do, do
Minas, mina
Tênis, têni
., .

, 

O, o
motivo, motivo
alegado, alegado
pelo, pelo
presidente, president
da, da
L'Ácqua, l'ácqua
,, ,
Leopoldo, leopoldo
Mesquita, mesquita
,, ,
foi, foi
o, o
`, `
`, `
pequeno, pequeno
retorno, retorno
'', ''
do, do
investimento, investimento
de, de
US$, us$
800, 800
mil, mil
nos, no
últimos, último
12, 12
meses, mese
., .

, 

(, (
JCA, jca
), )

, 

*, *
Colaborou, colabor
Agência, agência
Folha, folha
,, ,
em, em
Bauru, bauru
e, e
Belo, belo
Horizonte, horizont

, 

