O, ﻿o
vencedor, vencedor
das, da
Mil, mil
Milhas, milha
do, do
ano, ano
passado, passado
,, ,
o, o
brasileiro, brasileiro
Antonio, antonio
Herman, herman
de, de
Azevedo, azevedo
,, ,
39, 39
,, ,
chegou, chegou
na, na
segunda, segunda
posição, posição
ontem, ontem
com, com
seu, seu
Porsche, porsch
RSR, rsr
Biturbo, biturbo
e, e
teve, teve
no, no
pódio, pódio
a, a
companhia, companhia
do, do
colega, colega
economista, economista
e, e
banqueiro, banqueiro
André, andré
Lara, lara
Resende, resend
,, ,
ex-negociador, ex-negociador
da, da
dívida, dívida
externa, externa
brasileira, brasileira
e, e
sócio, sócio
do, do
Banco, banco
Matrix, matrix
,, ,
que, que
chegou, chegou
em, em
terceiro, terceiro
com, com
um, um
Porsche, porsch
RSR, rsr
3.8, 3.8
., .
De, de
Azevedo, azevedo
,, ,
como, como
é, é
chamado, chamado
pelos, pelo
alemães, alemã
,, ,
é, é
presidente, president
da, da
Associação, associação
Brasileira, brasileira
de, de
Bancos, banco
Comerciais, comerciai
e, e
Múltiplos, múltiplo
e, e
vice-presidente, vice-president
do, do
Banco, banco
Itamaraty, itamarati
., .

, 

Os, os
dois, doi
correram, correram
pela, pela
equipe, equip
Konrad, konrad
,, ,
do, do
alemão, alemão
Franz, franz
Konrad, konrad
,, ,
o, o
outro, outro
vencedor, vencedor
da, da
prova, prova
em, em
93, 93
., .
No, no
final, final
da, da
prova, prova
,, ,
Resende, resend
demosntrou, demosntr
ter, ter
mais, mai
intimidade, intimidad
para, para
falar, falar
com, com
a, a
imprensa, imprensa
sobre, sobr
economia, economia
que, que
sobre, sobr
seu, seu
desempenho, desempenho
na, na
pista, pista
., .
Visivelmente, visivelment
assustado, assustado
,, ,
ele, ele
definia, definia
sua, sua
primeira, primeira
experiência, experiência
de, de
competir, competir
sob, sob
chuva, chuva
e, e
a, a
noite, noit
., .
", "
A, a
visibillidade, visibillidad
era, era
zero, zero
., .
Foi, foi
muito, muito
sofrido, sofrido
mas, ma
fantástico, fantástico
", "
,, ,
disse, diss
., .

, 

Toninho, toninho
Herman, herman
disse, diss
que, que
ficou, ficou
sem, sem
a, a
segunda, segunda
marcha, marcha
do, do
carro, carro
e, e
por, por
isso, isso
não, não
conseguiu, conseguiu
se, se
aproximar, aproximar
do, do
Porsche, porsch
de, de
Christian, christian
e, e
Wilsinho, wilsinho
,, ,
que, que
venceu, venceu
pela, pela
primeira, primeira
vez, vez
a, a
prova, prova
., .
", "
Eles, ele
escolheram, escolheram
melhor, melhor
a, a
relação, relação
de, de
marchas, marcha
", "
,, ,
afirmou, afirm
., .
Herman, herman
vai, vai
disputar, disputar
agora, agora
as, as
24, 24
Horas, hora
de, de
Daytona, daytona
,, ,
nos, no
EUA, eua
,, ,
daqui, daqui
a, a
15, 15
dias, dia
., .
(, (
ME, me
), )

, 

