Por, ﻿por
um, um
momento, momento
,, ,
um, um
breve, breve
momento, momento
,, ,
tive, tive
pena, pena
de, de
Eduardo, eduardo
Viana, viana
,, ,
o, o
", "
Caixa, caixa
d'Agua, d'agua
", "
,, ,
em, em
sua, sua
patética, patética
tentativa, tentativa
de, de
convencer, convenc
os, os
deputados, deputado
fluminenses, fluminens
de, de
que, que
era, era
vítima, vítima
,, ,
e, e
não, não
algoz, algoz
,, ,
do, do
agonizante, agonizant
futebol, futebol
carioca, carioca
., .
Foi, foi
na, na
última, última
quarta-feira, quarta-feira
:, :
suando, suando
muito, muito
,, ,
lábios, lábio
trêmulos, trêmulo
,, ,
olhos, olho
aflitos, aflito
,, ,
Viana, viana
percorria, percorria
os, os
corredores, corredor
da, da
Assembléia, assembléia
Legislativa, legislativa
suplicando, suplicando
que, que
alguém, alguém
lhe, lhe
estendesse, estendess
a, a
mão, mão
., .
Enquanto, enquanto
isso, isso
,, ,
lá, lá
dentro, dentro
,, ,
no, no
plenário, plenário
,, ,
pairava, pairava
sobre, sobr
a, a
mesa, mesa
do, do
presidente, president
o, o
pedido, pedido
de, de
uma, uma
CPI, cpi
que, que
poderia, poderia
destruí-lo, destruí-lo
., .
Ninguém, ninguém
merece, merec
sofrer, sofrer
tanto, tanto
,, ,
pensei, pensei
., .
Nem, nem
o, o
presidente, president
da, da
Federação, federação
de, de
Futebol, futebol
do, do
Rio, rio
de, de
Janeiro, janeiro
., .

, 

Mas, ma
foi, foi
mesmo, mesmo
um, um
breve, breve
momento, momento
., .
Logo, logo
me, me
lembrei, lembrei
que, que
Eduardo, eduardo
Viana, viana
estava, estava
menos, meno
só, só
do, do
que, que
parecia, parecia
., .
Deputados, deputado
do, do
interior, interior
,, ,
que, que
lhe, lhe
deviam, deviam
sabe-se, sabe-s
lá, lá
que, que
tipo, tipo
de, de
favor, favor
,, ,
não, não
tardariam, tardariam
em, em
correr, correr
em, em
seu, seu
socorro, socorro
,, ,
o, o
que, que
de, de
fato, fato
aconteceu, aconteceu
., .
