Para, ﻿para
o, o
técnico, técnico
Joãozinho, joãozinho
,, ,
do, do
Santos, santo
,, ,
o, o
principal, princip
objetivo, objetivo
da, da
equipe, equip
na, na
primeira, primeira
fase, fase
do, do
Paulista, paulista
foi, foi
atingido, atingido
., .

, 

`, `
`, `
Matematicamente, matematicament
,, ,
estamos, estamo
classificados, classificado
., .
Agora, agora
,, ,
a, a
briga, briga
é, é
pela, pela
liderança, liderança
do, do
campeonato, campeonato
., .
Vamos, vamo
atrás, atrá
do, do
São, são
Paulo, paulo
., .
Queremos, queremo
conquistar, conquistar
o, o
título, título
do, do
segundo, segundo
turno, turno
., .
'', ''

, 

A, a
declaração, declaração
foi, foi
dada, dada
em, em
um, um
vestiário, vestiário
invadido, invadido
por, por
dezenas, dezena
de, de
torcedores, torcedor
,, ,
que, que
apresentava, apresentava
clima, clima
de, de
final, final
de, de
campeonato, campeonato
,, ,
após, apó
a, a
vitória, vitória
sobre, sobr
o, o
Palmeiras, palmeira
., .

, 

Joãozinho, joãozinho
considerou, consider
`, `
`, `
brilhante, brilhant
'', ''
o, o
desempenho, desempenho
da, da
equipe, equip
no, no
segundo, segundo
tempo, tempo
do, do
jogo, jogo
de, de
anteontem, anteontem
,, ,
na, na
vitória, vitória
de, de
3, 3
a, a
1, 1
sobre, sobr
o, o
Palmeiras, palmeira
., .

, 

