A, ﻿a
volta, volta
de, de
Palhinha, palhinha
deve, deve
ser, ser
a, a
novidade, novidad
do, do
São, são
Paulo, paulo
amanhã, amanhã
,, ,
contra, contra
o, o
Guarani, guarani
,, ,
em, em
Campinas, campina
., .

, 

O, o
técnico, técnico
Telê, telê
Santana, santana
usará, usará
um, um
time, time
`, `
`, `
misto, misto
'', ''
,, ,
poupando, poupando
titulares, titular
para, para
o, o
jogo, jogo
contra, contra
o, o
Grêmio, grêmio
,, ,
sexta, sexta
,, ,
em, em
Porto, porto
Alegre, alegr
., .

, 

São, são
Paulo, paulo
e, e
Grêmio, grêmio
disputam, disputam
uma, uma
vaga, vaga
nas, na
semifinais, semifinai
da, da
Copa, copa
do, do
Brasil, brasil
., .
Com, com
o, o
empate, empat
(, (
1, 1
a, a
1, 1
), )
no, no
primeiro, primeiro
jogo, jogo
,, ,
o, o
São, são
Paulo, paulo
se, se
classifica, classifica
se, se
vencer, vencer
ou, ou
empatar, empatar
por, por
mais, mai
de, de
dois, doi
gols, gol
., .

, 

