O, ﻿o
presidente, president
da, da
Fifa, fifa
(, (
entidade, entidad
que, que
dirige, dirig
o, o
futebol, futebol
mundial, mundial
), )
,, ,
João, joão
Havelange, havelang
,, ,
não, não
acredita, acredita
em, em
corrupção, corrupção
na, na
arbitragem, arbitragem
do, do
Rio, rio
,, ,
mas, ma
admite, admit
que, que
", "
possam, possam
ter, ter
existido, existido
erros, erro
", "
., .
Em, em
entrevista, entrevista
por, por
fax, fax
à, à
Folha, folha
,, ,
afirmou, afirm
que, que
considera-os, considera-o
", "
fáceis, fácei
de, de
corrigir, corrigir
., .
", "

, 

Ele, ele
defende, defend
o, o
presidente, president
da, da
Federação, federação
do, do
Rio, rio
,, ,
Eduardo, eduardo
Viana, viana
:, :
", "
É, é
homem, homem
respeitável, respeitável
", "
., .
Na, na
sua, sua
opinião, opinião
,, ,
o, o
futebol, futebol
fluminense, fluminens
tem, tem
sido, sido
administrado, administrado
", "
de, de
forma, forma
bastante, bastant
precisa, precisa
", "
., .
Para, para
ele, ele
,, ,
os, os
problemas, problema
do, do
futebol, futebol
do, do
Rio, rio
se, se
devem, devem
ao, ao
esvaziamento, esvaziamento
econômico, econômico
do, do
Estado, estado
., .
(, (
MM, mm
), )

, 

