A, ﻿a
atuação, atuação
do, do
pivô, pivô
Hakeem, hakeem
Olajuwon, olajuwon
foi, foi
fundamental, fundament
na, na
vitória, vitória
do, do
Houston, houston
Rockets, rocket
sobre, sobr
o, o
Utah, utah
Jazz, jazz
por, por
106, 106
a, a
101, 101
,, ,
anteontem, anteontem
,, ,
na, na
NBA, nba
,, ,
quebrando, quebrando
uma, uma
série, série
de, de
quatro, quatro
derrotas, derrota
consecutivas, consecutiva
de, de
sua, sua
equipe, equip
., .
Olajuwon, olajuwon
marcou, marcou
40, 40
pontos, ponto
e, e
pegou, pegou
dez, dez
rebotes, rebot
., .
Com, com
a, a
vitória, vitória
,, ,
o, o
Houston, houston
abriu, abriu
vantagem, vantagem
de, de
três, trê
vitórias, vitória
sobre, sobr
o, o
Jazz, jazz
na, na
luta, luta
pelo, pelo
título, título
da, da
Divisão, divisão
do, do
Meio-Oeste, meio-oest
., .
O, o
San, san
Antonio, antonio
Spurs, spur
assumiu, assumiu
o, o
segundo, segundo
lugar, lugar
do, do
grupo, grupo
,, ,
ao, ao
vencer, vencer
o, o
Dallas, dalla
Mavericks, maverick
por, por
103, 103
a, a
83, 83
., .

, 

O, o
New, new
Jersey, jersey
Nets, net
humilhou, humilh
o, o
Golden, golden
State, state
Warriors, warrior
em, em
East, east
Rutherford, rutherford
(, (
124, 124
a, a
98, 98
), )
,, ,
com, com
grande, grand
desempenho, desempenho
de, de
Kenny, kenni
Anderson, anderson
,, ,
responsável, responsável
por, por
20, 20
pontos, ponto
,, ,
dez, dez
assistências, assistência
e, e
dez, dez
bols, bol
roubadas, roubada
., .

, 

O, o
Seattle, seattl
Supersonics, superson
perdeu, perdeu
uma, uma
invencibilidade, invencibilidad
de, de
quatro, quatro
jogos, jogo
ao, ao
cair, cair
diante, diant
do, do
Denver, denver
Nuggets, nugget
por, por
98, 98
a, a
91, 91
., .
Dikembe, dikemb
Mutombo, mutombo
marcou, marcou
18, 18
pontos, ponto
e, e
conseguiu, conseguiu
11, 11
rebotes, rebot
para, para
os, os
Nuggets, nugget
,, ,
que, que
têm, têm
sido, sido
os, os
algozes, algoz
das, da
equipes, equip
da, da
Conferência, conferência
Oeste, oest
., .
Apesar, apesar
da, da
derrota, derrota
,, ,
o, o
Seattle, seattl
tem, tem
a, a
melhor, melhor
campanha, campanha
da, da
NBA, nba
,, ,
com, com
30, 30
vitórias, vitória
e, e
seis, sei
derrotas, derrota
., .

, 

Mesmo, mesmo
sem, sem
contar, contar
com, com
Charles, charl
Barkley, barkley
,, ,
Kevin, kevin
Johnson, johnson
e, e
Danny, danni
Ainge, aing
,, ,
todos, todo
contundidos, contundido
,, ,
o, o
Phoenix, phoenix
Suns, sun
derrotou, derrot
o, o
Portland, portland
Trail, trail
Blazers, blazer
por, por
118, 118
a, a
117, 117
., .

, 

Outros, outro
jogos, jogo
da, da
rodada, rodada
:, :
Minnesota, minnesota
Timberwolves, timberwolv
91, 91
x, x
98, 98
Atlanta, atlanta
Hawks, hawk
,, ,
Indiana, indiana
Pacers, pacer
81, 81
x, x
90, 90
Chicago, chicago
Bulls, bull
,, ,
Washington, washington
Bullets, bullet
98, 98
x, x
93, 93
Detroit, detroit
Pistons, piston
,, ,
Philadelphia, philadelphia
76ers, 76er
112, 112
x, x
121, 121
Orlando, orlando
Magic, magic
,, ,
Charlotte, charlott
Hornets, hornet
91, 91
x, x
80, 80
Milwaukee, milwauke
Bucks, buck
e, e
Sacramento, sacramento
Kings, king
109, 109
x, x
119, 119
Cleveland, cleveland
Cavaliers, cavali
., .

, 

