O, ﻿o
técnico, técnico
da, da
seleção, seleção
masculina, masculina
de, de
vôlei, vôlei
,, ,
José, josé
Roberto, roberto
Guimarães, guimarã
,, ,
embarca, embarca
hoje, hoje
à, à
noite, noit
com, com
a, a
equipe, equip
para, para
a, a
Holanda, holanda
sem, sem
o, o
sexto, sexto
nome, nome
para, para
a, a
equipe, equip
titular, titular
., .

, 

A, a
vaga, vaga
do, do
companheiro, companheiro
de, de
Tande, tand
,, ,
Giovane, giovan
,, ,
Maurício, maurício
,, ,
Paulão, paulão
e, e
Gílson, gílson
está, está
sendo, sendo
disputada, disputada
por, por
Douglas, dougla
,, ,
Josenias, josenia
,, ,
Schwanke, schwank
e, e
Alexandre, alexandr
., .

, 

Os, os
jogadores, jogador
Carlão, carlão
,, ,
Marcelo, marcelo
Negrão, negrão
e, e
Max, max
estão, estão
contundidos, contundido
., .

, 

Jogador, jogador
de, de
21, 21
anos, ano
,, ,
campeão, campeão
da, da
Superliga, superliga
94/95, 94/95
pela, pela
Frangosul, frangosul
,, ,
Alexandre, alexandr
ainda, ainda
não, não
foi, foi
testado, testado
na, na
equipe, equip
titular, titular
e, e
terá, terá
a, a
oportunidade, oportunidad
nos, no
amistosos, amistoso
contra, contra
a, a
Holanda, holanda
,, ,
nos, no
dias, dia
15, 15
e, e
16, 16
., .

, 

Nos, no
dias, dia
19, 19
e, e
21, 21
,, ,
o, o
Brasil, brasil
enfrenta, enfrenta
a, a
Espanha, espanha
,, ,
primeira, primeira
adversária, adversária
no, no
Grupo, grupo
A, a
na, na
Liga, liga
Mundial, mundial
_, _
que, que
tem, tem
ainda, ainda
EUA, eua
e, e
Cuba, cuba
., .

, 

A, a
seleção, seleção
feminina, feminina
(, (
Leila, leila
,, ,
Denise, denis
,, ,
Ricarda, ricarda
,, ,
Fofão, fofão
,, ,
Ana, ana
Flávia, flávia
e, e
Ida, ida
), )
faria, faria
um, um
treino, treino
recreativo, recreativo
ontem, ontem
contra, contra
um, um
time, time
de, de
veteranos, veterano
., .

, 

