Os, ﻿o
times, time
do, do
Araçatuba, araçatuba
e, e
do, do
Guarani, guarani
fizeram, fizeram
um, um
jogo, jogo
equilibrado, equilibrado
e, e
terminaram, terminaram
empatados, empatado
em, em
1, 1
a, a
1, 1
,, ,
ontem, ontem
,, ,
no, no
estádio, estádio
Adhemar, adhemar
de, de
Barros, barro
,, ,
em, em
Araçatuba, araçatuba
., .

, 

Logo, logo
no, no
início, início
da, da
partida, partida
,, ,
o, o
Araçatuba, araçatuba
chutou, chutou
duas, dua
bolas, bola
na, na
trave, trave
,, ,
mas, ma
foi, foi
o, o
time, time
do, do
Guarani, guarani
que, que
abriu, abriu
o, o
marcador, marcador
,, ,
aos, ao
20min, 20min
., .

, 

O, o
atacante, atacant
Djalminha, djalminha
marcou, marcou
de, de
falta, falta
de, de
fora, fora
da, da
área, área
., .

, 

O, o
empate, empat
surgiu, surgiu
aos, ao
42min, 42min
do, do
segundo, segundo
tempo, tempo
,, ,
em, em
um, um
cruzamento, cruzamento
da, da
direita, direita
de, de
Garrincha, garrincha
para, para
Vaguinho, vaguinho
,, ,
que, que
concluiu, concluiu
a, a
jogada, jogada
de, de
cabeça, cabeça
., .

, 

No, no
primeiro, primeiro
tempo, tempo
,, ,
o, o
goleiro, goleiro
Hiran, hiran
,, ,
do, do
Guarani, guarani
,, ,
levou, levou
um, um
cartão, cartão
amarelo, amarelo
por, por
prender, prender
a, a
bola, bola
., .

, 

No, no
segundo, segundo
tempo, tempo
,, ,
o, o
domínio, domínio
foi, foi
do, do
Araçatuba, araçatuba
., .
Aos, ao
37min, 37min
,, ,
o, o
goleiro, goleiro
Hiran, hiran
,, ,
que, que
tinha, tinha
já, já
cartão, cartão
amarelo, amarelo
,, ,
foi, foi
expulso, expulso
porque, porqu
novamente, novament
prendeu, prendeu
a, a
bola, bola
., .

, 

Depois, depoi
do, do
gol, gol
de, de
Vaguinho, vaguinho
,, ,
Djalminha, djalminha
agrediu, agrediu
o, o
atacante, atacant
Mazinho, mazinho
Loyola, loyola
,, ,
do, do
Novorizontino, novorizontino
., .

, 

A, a
partida, partida
foi, foi
paralisada, paralisada
., .
Aos, ao
49, 49
min, min
,, ,
o, o
jogo, jogo
foi, foi
retomado, retomado
,, ,
após, apó
expulsão, expulsão
do, do
atacante, atacant
do, do
Guarani, guarani
., .

, 

