Somente, ﻿soment
após, apó
uma, uma
reunião, reunião
entre, entr
os, os
jogadores, jogador
e, e
dirigentes, dirigent
do, do
Palmeiras, palmeira
,, ,
na, na
presença, presença
do, do
diretor, diretor
de, de
futebol, futebol
da, da
Parmalat, parmalat
,, ,
José, josé
Carlos, carlo
Brunoro, brunoro
,, ,
foi, foi
encerrada, encerrada
a, a
crise, crise
do, do
atraso, atraso
do, do
pagamento, pagamento
dos, do
prêmios, prêmio
por, por
vitórias, vitória
., .

, 

Os, os
depósitos, depósito
foram, foram
efetuados, efetuado
ontem, ontem
à, à
tarde, tard
,, ,
segundo, segundo
o, o
diretor, diretor
financeiro, financeiro
do, do
Clube, clube
,, ,
João, joão
Russo, russo
., .

, 

Ontem, ontem
,, ,
antes, ant
do, do
treino, treino
do, do
time, time
para, para
a, a
partida, partida
de, de
hoje, hoje
contra, contra
o, o
Novorizontino, novorizontino
,, ,
os, os
jogadores, jogador
souberam, souberam
da, da
suspensão, suspensão
de, de
15, 15
dias, dia
do, do
atacante, atacant
Edmundo, edmundo
e, e
o, o
saneamento, saneamento
da, da
dívida, dívida
,, ,
resolvido, resolvido
através, atravé
de, de
empréstimos, empréstimo
bancários, bancário
., .

, 

Antes, ant
da, da
comunicação, comunicação
aos, ao
jogadores, jogador
,, ,
às, às
9h20, 9h20
,, ,
o, o
atacante, atacant
Edmundo, edmundo
foi, foi
convocado, convocado
à, à
sala, sala
da, da
diretoria, diretoria
do, do
Centro, centro
de, de
Treinamento, treinamento
da, da
equipe, equip
,, ,
na, na
Barra, barra
Funda, funda
., .

, 

Lá, lá
,, ,
foi, foi
notificado, notificado
da, da
suspensão, suspensão
por, por
15, 15
dias, dia
,, ,
o, o
que, que
acarretará, acarretará
o, o
pagamento, pagamento
somente, soment
da, da
metade, metad
do, do
salário, salário
mensal, mensal
do, do
jogador, jogador
,, ,
que, que
é, é
de, de
US$, us$
30, 30
mil, mil
., .

, 

Na, na
quarta-feira, quarta-feira
,, ,
após, apó
o, o
jogo, jogo
em, em
que, que
o, o
Palmeiras, palmeira
se, se
classificou, classific
para, para
as, as
quartas-de-final, quartas-de-fin
da, da
Libertadores, libertador
,, ,
Edmundo, edmundo
disse, diss
que, que
os, os
dirigentes, dirigent
do, do
Palmeiras, palmeira
deveriam, deveriam
tomar, tomar
`, `
`, `
vergonha, vergonha
na, na
cara, cara
'', ''
., .

, 

Ele, ele
fez, fez
críticas, crítica
ao, ao
gramado, gramado
do, do
estádio, estádio
do, do
clube, clube
e, e
à, à
falta, falta
de, de
