O, ﻿o
centroavante, centroavant
Viola, viola
tentou, tentou
até, até
o, o
último, último
minuto, minuto
marcar, marcar
um, um
gol, gol
para, para
coroar, coroar
a, a
sua, sua
participação, participação
na, na
partida, partida
de, de
ontem, ontem
,, ,
contra, contra
o, o
Rio, rio
Branco, branco
., .
E, e
conseguiu, conseguiu
., .
", "
Valeu, valeu
o, o
esforço, esforço
., .
Mas, ma
só, só
estou, estou
com, com
medo, medo
de, de
ficar, ficar
banguela, banguela
e, e
perder, perder
este, est
lindo, lindo
sorriso, sorriso
que, que
todos, todo
dizem, dizem
que, que
tenho, tenho
", "
,, ,
brincou, brincou
o, o
artilheiro, artilheiro
do, do
Paulistão-93, paulistão-93
,, ,
que, que
marcou, marcou
seu, seu
primeiro, primeiro
gol, gol
no, no
Campeonato, campeonato
Paulista, paulista
., .

, 

Um, um
minuto, minuto
antes, ant
de, de
marcar, marcar
o, o
terceiro, terceiro
gol, gol
do, do
Corinthians, corinthian
na, na
partida, partida
,, ,
Viola, viola
recebeu, recebeu
uma, uma
cotovelada, cotovelada
–, –
involuntária, involuntária
–, –
de, de
um, um
zagueiro, zagueiro
adversário, adversário
., .
", "
Subi, subi
para, para
matar, matar
a, a
bola, bola
no, no
peito, peito
e, e
quando, quando
me, me
preparava, preparava
para, para
chutar, chutar
o, o
braço, braço
dele, dele
(, (
não, não
se, se
lembra, lembra
quem, quem
), )
acertou, acert
a, a
minha, minha
boca, boca
", "
,, ,
explicou, explic
o, o
jogador, jogador
,, ,
que, que
após, apó
o, o
jogo, jogo
foi, foi
até, até
uma, uma
clínica, clínica
fazer, fazer
um, um
exame, exam
dentário, dentário
., .

, 

Como, como
aconteceu, aconteceu
nas, na
duas, dua
partidas, partida
anteriores, anterior
no, no
campeonato, campeonato
,, ,
Viola, viola
foi, foi
o, o
melhor, melhor
em, em
campo, campo
pelo, pelo
lado, lado
do, do
Corinthians, corinthian
., .
Atuando, atuando
de, de
forma, forma
diferente, diferent
,, ,
do, do
que, que
fez, fez
ano, ano
passado, passado
,, ,
o, o
centroavante, centroavant
está, está
contente, content
com, com
sua, sua
produção, produção
., .
", "
Estou, estou
fazendo, fazendo
um, um
revezamento, revezamento
com, com
o, o
Tupãzinho, tupãzinho
na, na
armação, armação
das, da
jogadas, jogada
e, e
acho, acho
que, que
está, está
dando, dando
certo, certo
", "
,, ,
disse, diss
Viola, viola
,, ,
acatando, acatando
as, as
novas, nova
determinações, determinaçõ
do, do
técnico, técnico
Afrânio, afrânio
Riul, riul
., .

, 

No, no
intervalo, intervalo
da, da
partida, partida
,, ,
Viola, viola
estava, estava
irritado, irritado
com, com
seus, seu
companheiros, companheiro
., .
", "
Pedi, pedi
seriedade, seriedad
a, a
eles, ele
,, ,
porque, porqu
estávamos, estávamo
perdendo, perdendo
boas, boa
chances, chanc
com, com
tantos, tanto
passes, pass
errados, errado
", "
,, ,
reclamou, reclam
., .
", "
Mas, ma
conversamos, conversamo
no, no
vestiário, vestiário
e, e
voltamos, voltamo
melhor, melhor
", "
,, ,
afirmou, afirm
., .

, 

Por, por
várias, vária
vezes, veze
durante, durant
o, o
jogo, jogo
,, ,
Viola, viola
foi, foi
aplaudido, aplaudido
., .
Suas, sua
arrancadas, arrancada
ao, ao
ataque, ataqu
e, e
coberturas, cobertura
aos, ao
laterais, laterai
,, ,
entusiamaram, entusiamaram
a, a
torcida, torcida
., .
", "
Sou, sou
um, um
jogador, jogador
que, que
dependo, dependo
muito, muito
do, do
preparo, preparo
físico, físico
., .
Por, por
isso, isso
estou, estou
me, me
dedicando, dedicando
muito, muito
aos, ao
treinamentos, treinamento
e, e
até, até
me, me
concentrando, concentrando
mais, mai
tempo, tempo
que, que
o, o
necessário, necessário
", "
,, ,
disse, diss
., .
(, (
WBJr, wbjr
), )

, 

