O, ﻿o
atacante, atacant
Gílson, gílson
,, ,
27, 27
,, ,
atribuiu, atribuiu
ontem, ontem
às, às
falhas, falha
sucessivas, sucessiva
no, no
contra-ataque, contra-ataqu
a, a
derrota, derrota
da, da
seleção, seleção
brasileira, brasileira
diante, diant
da, da
Espanha, espanha
., .

, 

Ele, ele
fez, fez
a, a
afirmação, afirmação
à, à
Folha, folha
,, ,
por, por
telefone, telefon
,, ,
do, do
hotel, hotel
em, em
que, que
a, a
equipe, equip
se, se
concentrou, concentr
em, em
Gerona, gerona
,, ,
cidade, cidad
vizinha, vizinha
a, a
Barcelona, barcelona
., .

, 

`, `
`, `
Ainda, ainda
é, é
cedo, cedo
para, para
tentar, tentar
encontrar, encontrar
chifre, chifr
na, na
cabeça, cabeça
de, de
cavalo, cavalo
'', ''
,, ,
brincou, brincou
o, o
jogador, jogador
,, ,
que, que
considera, considera
prematura, prematura
uma, uma
crítica, crítica
mais, mai
dura, dura
ao, ao
desempenho, desempenho
da, da
equipe, equip
campeã, campeã
olímpica, olímpica
., .

, 

A, a
seguir, seguir
,, ,
os, os
principais, principai
trechos, trecho
da, da
conversa, conversa
., .

, 

(, (
SK, sk
), )

, 

Folha, folha
-, -
Como, como
você, você
analisa, analisa
a, a
derrota, derrota
da, da
seleção, seleção
para, para
a, a
estreante, estreant
Espanha, espanha
?, ?

, 

Gílson, gílson
-, -
Acho, acho
que, que
falhamos, falhamo
muito, muito
no, no
contra-ataque, contra-ataqu
., .
Tivemos, tivemo
oportunidades, oportunidad
para, para
fechar, fechar
o, o
segundo, segundo
e, e
quarto, quarto
sets, set
e, e
desperdiçamos, desperdiçamo
., .

, 

Folha, folha
-, -
Você, você
atribui, atribui
a, a
quê, quê
essas, essa
falhas, falha
?, ?

, 

Gílson, gílson
-, -
Bem, bem
,, ,
nosso, nosso
time, time
ainda, ainda
não, não
está, está
entrosado, entrosado
., .
Hoje, hoje
(, (
ontem, ontem
), )
devíamos, devíamo
ter, ter
entrado, entrado
na, na
quadra, quadra
mais, mai
ligados, ligado
., .

, 

Mas, ma
estamos, estamo
no, no
começo, começo
da, da
temporada, temporada
e, e
o, o
time, time
vai, vai
ter, ter
algumas, alguma
semanas, semana
para, para
pegar, pegar
seu, seu
ritmo, ritmo
de, de
jogo, jogo
., .

, 

Folha, folha
-, -
A, a
seleção, seleção
já, já
não, não
se, se
considera, considera
mais, mai
um, um
supertime, supertim
?, ?

, 

Gílson, gílson
-O, -o
pessoal, pessoal
está, está
empenhado, empenhado
em, em
treinar, treinar
e, e
consciente, conscient
de, de
que, que
o, o
vôlei, vôlei
mundial, mundial
mudou, mudou
muito, muito
., .

, 

Nós, nó
podemos, podemo
voltar, voltar
a, a
ser, ser
campeões, campeõ
,, ,
mas, ma
isto, isto
vai, vai
exigir, exigir
muito, muito
trabalho, trabalho
de, de
toda, toda
a, a
equipe, equip
., .

, 

