A, ﻿a
volta, volta
do, do
time, time
principal, princip
do, do
Corinthians, corinthian
., .
Mais, mai
ainda, ainda
:, :
estrelado, estrelado
pelo, pelo
cestinha, cestinha
Oscar, oscar
Schmidt, schmidt
,, ,
o, o
mais, mai
destacado, destacado
jogador, jogador
do, do
basquete, basquet
brasileiro, brasileiro
,, ,
que, que
está, está
na, na
Espanha, espanha
., .

, 

Essa, essa
é, é
a, a
negociação, negociação
que, que
pode, pode
ser, ser
concluída, concluída
nos, no
próximos, próximo
dias, dia
e, e
deve, deve
causar, causar
grande, grand
reviravolta, reviravolta
na, na
crise, crise
de, de
patrocinadores, patrocinador
enfrentada, enfrentada
pelo, pelo
basquete, basquet
paulista, paulista
., .

, 

O, o
projeto, projeto
é, é
reativar, reativar
o, o
time, time
sem, sem
qualquer, qualquer
ônus, ônu
para, para
os, os
cofres, cofr
do, do
Corinthians, corinthian
,, ,
com, com
patrocínio, patrocínio
de, de
empresas, empresa
privadas, privada
., .

, 

`, `
`, `
Tudo, tudo
está, está
bem, bem
encaminhado, encaminhado
., .
Já, já
enviei, enviei
uma, uma
minuta, minuta
do, do
contrato, contrato
para, para
o, o
Oscar, oscar
., .
O, o
projeto, projeto
é, é
grande, grand
'', ''
,, ,
afirmou, afirm
o, o
empresário, empresário
Carlos, carlo
Rayel, rayel
,, ,
articulador, articulador
do, do
plano, plano
., .

, 

Atual, atual
superintendente, superintendent
da, da
TV, tv
Manchete, manchet
e, e
ex-assessor, ex-assessor
do, do
político, político
Orestes, orest
Quércia, quércia
,, ,
Rayel, rayel
vem, vem
atuando, atuando
no, no
basquete, basquet
nos, no
últimos, último
anos, ano
como, como
dirigente, dirigent
da, da
equipe, equip
de, de
Jales, jale
(, (
580, 580
km, km
a, a
noroeste, noroest
de, de
São, são
Paulo, paulo
), )
,, ,
da, da
categoria, categoria
principal, princip
., .

, 

Também, também
estão, estão
sendo, sendo
sondados, sondado
técnicos, técnico
para, para
o, o
comando, comando
do, do
time, time
., .

, 

Existe, exist
interesse, interess
em, em
Cláudio, cláudio
Mortari, mortari
,, ,
da, da
equipe, equip
de, de
Rio, rio
Claro, claro
,, ,
atual, atual
bicampeã, bicampeã
paulista, paulista
e, e
campeã, campeã
brasileira, brasileira
,, ,
e, e
Ary, ari
Vidal, vidal
,, ,
que, que
comanda, comanda
a, a
seleção, seleção
nacional, nacion
., .

, 

Mortari, mortari
também, também
tem, tem
proposta, proposta
da, da
nova, nova
equipe, equip
do, do
Report, report
,, ,
de, de
Mogi, mogi
da, da
Cruzes, cruze
(, (
SP, sp
), )
., .

, 

