O, ﻿o
técnico, técnico
Eduardo, eduardo
Amorim, amorim
,, ,
do, do
Corinthians, corinthian
,, ,
ainda, ainda
não, não
conseguiu, conseguiu
,, ,
mas, ma
quer, quer
tirar, tirar
da, da
equipe, equip
a, a
`, `
`, `
última, última
herança, herança
do, do
ex-treinador, ex-treinador
Mário, mário
Sérgio, sérgio
'', ''
., .

, 

É, é
o, o
time, time
mais, mai
indisciplinado, indisciplinado
do, do
Campeonato, campeonato
Paulista, paulista
,, ,
somando, somando
11, 11
cartões, cartõ
vermelhos, vermelho
e, e
79, 79
amarelos, amarelo
., .

, 

`, `
`, `
Em, em
93, 93
,, ,
quando, quando
o, o
Mário, mário
assumiu, assumiu
,, ,
o, o
Corinthians, corinthian
tinha, tinha
jogadores, jogador
limitados, limitado
tecnicamente, tecnicament
e, e
,, ,
assim, assim
,, ,
a, a
forte, fort
marcação, marcação
ficou, ficou
sendo, sendo
a, a
maior, maior
característica, característica
do, do
time, time
'', ''
,, ,
disse, diss
Amorim, amorim
., .

, 

Mário, mário
Sérgio, sérgio
dirigiu, dirigiu
o, o
Corinthians, corinthian
no, no
Campeonato, campeonato
Brasileiro, brasileiro
de, de
1993, 1993
., .
Saiu, saiu
em, em
seguida, seguida
., .
Depois, depoi
,, ,
voltou, voltou
no, no
Paulista, paulista
deste, dest
ano, ano
,, ,
dirigiu, dirigiu
o, o
time, time
em, em
nove, nove
partidas, partida
no, no
campeonato, campeonato
e, e
pediu, pediu
demissão, demissão
., .

, 

`, `
`, `
Está, está
muito, muito
difícil, difícil
retirar, retirar
esta, esta
tendência, tendência
do, do
grupo, grupo
., .
Hoje, hoje
o, o
Corinthians, corinthian
possui, possui
jogadores, jogador
mais, mai
técnicos, técnico
e, e
o, o
estilo, estilo
que, que
quero, quero
implantar, implantar
é, é
totalmente, totalment
diferente, diferent
'', ''
,, ,
afirmou, afirm
., .

, 

Segundo, segundo
o, o
treinador, treinador
,, ,
o, o
problema, problema
disciplinar, disciplinar
acaba, acaba
atrapalhando, atrapalhando
o, o
rendimento, rendimento
do, do
time, time
., .
`, `
`, `
Não, não
é, é
possível, possível
dar, dar
uma, uma
sequência, sequência
de, de
jogos, jogo
para, para
ganharmos, ganharmo
um, um
melhor, melhor
conjunto, conjunto
'', ''
,, ,
disse, diss
Amorim, amorim
., .

, 

Neste, nest
campeonato, campeonato
,, ,
o, o
técnico, técnico
não, não
conseguiu, conseguiu
colocar, colocar
em, em
campo, campo
o, o
time, time
que, que
julga, julga
titular, titular
., .

, 

`, `
`, `
Apenas, apena
contra, contra
a, a
Ponte, pont
Preta, preta
,, ,
em, em
Campinas, campina
,, ,
só, só
tive, tive
um, um
desfalque, desfalqu
,, ,
que, que
foi, foi
o, o
Zé, zé
Elias, elia
'', ''
,, ,
disse, diss
o, o
técnico, técnico
,, ,
se, se
referindo, referindo
à, à
vitória, vitória
(, (
1, 1
a, a
0, 0
), )
na, na
abertura, abertura
do, do
returno, returno
., .

, 

Os, os
jogadores, jogador
fizeram, fizeram
uma, uma
reunião, reunião
com, com
a, a
diretoria, diretoria
,, ,
na, na
semana, semana
passada, passada
,, ,
quando, quando
ficou, ficou
estabelecido, estabelecido
que, que
toda, toda
`, `
`, `
punição, punição
desnecessária, desnecessária
'', ''
seria, seria
advertida, advertida
com, com
uma, uma
multa, multa
,, ,
em, em
dinheiro, dinheiro
., .

, 

Nos, no
dois, doi
últimos, último
jogos, jogo
_, _
Paraná, paraná
,, ,
na, na
Copa, copa
do, do
Brasil, brasil
,, ,
e, e
Novorizontino, novorizontino
,, ,
no, no
Paulista, paulista
_, _
,, ,
dois, doi
foram, foram
expulsos, expulso
:, :
Bernardo, bernardo
e, e
Elivélton, elivélton
., .

, 

`, `
`, `
Parece, parec
brincadeira, brincadeira
., .
Quanto, quanto
mais, mai
peço, peço
para, para
não, não
ter, ter
faltas, falta
,, ,
mais, mai
acontecem, acontecem
'', ''
,, ,
afirmou, afirm
., .

, 

(, (
WBJr, wbjr
., .
), )

, 

