O, ﻿o
queniano, queniano
Simon, simon
Chemwoyo, chemwoyo
foi, foi
de, de
kombi, kombi
do, do
hotel, hotel
Brasilton, brasilton
para, para
o, o
Aeroporto, aeroporto
Internacional, internacion
de, de
São, são
Paulo, paulo
,, ,
onde, ond
embarcou, embarc
para, para
o, o
Uruguai, uruguai
., .
Ele, ele
e, e
seus, seu
compatriotas, compatriota
Dominique, dominiqu
Kirui, kirui
e, e
William, william
Sigei, sigei
só, só
foram, foram
inscritos, inscrito
na, na
última, última
hora, hora
na, na
prova, prova
de, de
San, san
Fernando, fernando
., .
Por, por
isso, isso
,, ,
só, só
receberam, receberam
seus, seu
vistos, visto
de, de
entrada, entrada
no, no
Uruguai, uruguai
no, no
meio, meio
da, da
tarde, tard
,, ,
quando, quando
o, o
microônibus, microônibu
que, que
levou, levou
os, os
atletas, atleta
latino-americanos, latino-americano
ao, ao
aeroporto, aeroporto
já, já
havia, havia
saído, saído
., .

, 

Chemwoyo, chemwoyo
,, ,
Kirui, kirui
e, e
Sigei, sigei
foram, foram
junto, junto
com, com
o, o
Agberto, agberto
Guimarães, guimarã
,, ,
ex-meio-fundista, ex-meio-fundista
brasileiro, brasileiro
que, que
trabalha, trabalha
na, na
organização, organização
da, da
Corrida, corrida
de, de
São, são
Silvestre, silvestr
., .
Chegaram, chegaram
a, a
tempo, tempo
de, de
embarcar, embarcar
no, no
vôo, vôo
para, para
Montevidéu, montevidéu
,, ,
que, que
tinha, tinha
decolagem, decolagem
marcada, marcada
para, para
as, as
17h35, 17h35
., .
(, (
MD, md
), )

, 

