O, ﻿o
engenheiro, engenheiro
da, da
equipe, equip
de, de
Gugelmin, gugelmin
será, será
o, o
inglês, inglê
Morris, morri
Nunn, nunn
,, ,
que, que
venceu, venceu
as, as
500, 500
Milhas, milha
de, de
Indianápolis, indianápoli
e, e
o, o
campeonato, campeonato
de, de
89, 89
com, com
Emerson, emerson
Fittipaldi, fittipaldi
., .
", "
Não, não
poderia, poderia
ter, ter
engenheiro, engenheiro
melhor, melhor
,, ,
especialmente, especialment
para, para
circuitos, circuito
ovais, ovai
,, ,
onde, ond
preciso, preciso
aprender, aprend
mais, mai
sobre, sobr
acerto, acerto
dos, do
carros, carro
", "
,, ,
disse, diss
Maurício, maurício
., .

, 

A, a
Chip, chip
Ganassi, ganassi
vai, vai
usar, usar
os, os
novos, novo
chassis, chassi
Reynard, reynard
e, e
seus, seu
carros, carro
terão, terão
motor, motor
Ford, ford
., .
Ao, ao
lado, lado
da, da
Penske, pensk
e, e
da, da
Newman-Haas, newman-haa
,, ,
é, é
uma, uma
das, da
três, trê
maiores, maior
forças, força
da, da
Indy, indi
., .
", "
Ainda, ainda
é, é
cedo, cedo
para, para
pensar, pensar
em, em
título, título
,, ,
mas, ma
acho, acho
que, que
dá, dá
para, para
lutar, lutar
por, por
vitórias, vitória
", "
,, ,
falou, falou
Gugelmin, gugelmin
., .

, 

