O, ﻿o
técnico, técnico
Zagallo, zagallo
anunciou, anunci
ontem, ontem
o, o
nome, nome
de, de
10, 10
dos, do
11, 11
jogadores, jogador
que, que
pretende, pretend
escalar, escalar
domingo, domingo
,, ,
contra, contra
a, a
Suécia, suécia
., .

, 

Seus, seu
preferidos, preferido
:, :
Zetti, zetti
;, ;
Jorginho, jorginho
,, ,
Aldair, aldair
,, ,
Márcio, márcio
Santos, santo
e, e
Roberto, roberto
Carlos, carlo
;, ;
César, césar
Sampaio, sampaio
,, ,
Dunga, dunga
e, e
Juninho, juninho
;, ;
Edmundo, edmundo
e, e
Bebeto, bebeto
., .

, 

Sua, sua
única, única
dúvida, dúvida
é, é
no, no
meio-campo, meio-campo
,, ,
onde, ond
Zinho, zinho
,, ,
Rivaldo, rivaldo
e, e
Leonardo, leonardo
disputam, disputam
um, um
lugar, lugar
., .

, 

Bebeto, bebeto
e, e
Márcio, márcio
Santos, santo
podem, podem
ficar, ficar
fora, fora
., .
Até, até
as, as
23h, 23h
de, de
ontem, ontem
(, (
19h, 19h
de, de
Brasília, brasília
), )
,, ,
eles, ele
não, não
haviam, haviam
se, se
apresentado, apresentado
., .

, 

Seus, seu
substitutos, substituto
seriam, seriam
Ronaldo, ronaldo
e, e
Ronaldão, ronaldão
., .

, 

(, (
MM, mm
), )

, 

