Meus, ﻿meu
amigos, amigo
,, ,
meus, meu
inimigos, inimigo
,, ,
a, a
notícia, notícia
de, de
ontem, ontem
mais, mai
importante, important
para, para
o, o
futebol, futebol
brasileiro, brasileiro
veio, veio
através, atravé
do, do
Mário, mário
Magalhães, magalhã
,, ,
da, da
Sucursal, sucurs
do, do
Rio, rio
desta, desta
Folha, folha
., .

, 

Sete, sete
em, em
cada, cada
dez, dez
jogadores, jogador
profissionais, profissionai
de, de
futebol, futebol
no, no
Brasil, brasil
ganham, ganham
entre, entr
um, um
e, e
dois, doi
salários, salário
mínimos, mínimo
mensais, mensai
., .

, 

Com, com
estes, est
salários, salário
,, ,
o, o
destino, destino
teria, teria
que, que
ser, ser
mesmo, mesmo
bastante, bastant
generoso, generoso
com, com
a, a
criatividade, criatividad
do, do
jogador, jogador
brasileiro, brasileiro
., .
Lá, lá
vem, vem
o, o
Brasil, brasil
descendo, descendo
a, a
ladeira, ladeira
., .

, 

Quando, quando
se, se
leva, leva
em, em
consideração, consideração
esta, esta
conjuntura, conjuntura
,, ,
descobrimos, descobrimo
que, que
é, é
espantoso, espantoso
o, o
potencial, potenci
de, de
renovação, renovação
de, de
jogadores, jogador
que, que
este, est
país, paí
consegue, consegu
–, –
e, e
está, está
aí, aí
a, a
Copa, copa
São, são
Paulo, paulo
da, da
teenbolada, teenbolada
para, para
confirmar, confirmar
., .

, 

O, o
moleque, molequ
que, que
teve, teve
sorte, sort
de, de
ser, ser
escolhido, escolhido
para, para
receber, receb
a, a
sua, sua
lapidação, lapidação
profissional, profission
em, em
um, um
São, são
Paulo, paulo
ou, ou
em, em
um, um
Corinthians, corinthian
,, ,
por, por
exemplo, exemplo
,, ,
é, é
um, um
diamante, diamant
raro, raro
e, e
privilegiado, privilegiado
,, ,
contra, contra
uma, uma
base, base
de, de
descamisados, descamisado
do, do
futebol, futebol
., .

, 

Enquanto, enquanto
isto, isto
,, ,
os, os
futuros, futuro
concorrentes, concorrent
na, na
Europa, europa
estão, estão
sendo, sendo
bem, bem
nutridos, nutrido
e, e
bem, bem
preparados, preparado
física, física
e, e
intelectualmente, intelectualment
(, (
há, há
um, um
consenso, consenso
cada, cada
vez, vez
maior, maior
entre, entr
os, os
técnicos, técnico
de, de
qualquer, qualquer
esporte, esport
que, que
,, ,
hoje, hoje
em, em
dia, dia
,, ,
a, a
cabeça, cabeça
do, do
atleta, atleta
é, é
tão, tão
fundamental, fundament
quanto, quanto
o, o
corpo, corpo
., .
Quem, quem
não, não
acreditar, acreditar
que, que
pergunte, pergunt
ao, ao
Nuno, nuno
Cobra, cobra
), )
., .

, 

Apesar, apesar
disso, disso
tudo, tudo
,, ,
praticamos, praticamo
hoje, hoje
um, um
futebol, futebol
superior, superior
ao, ao
da, da
Itália, itália
e, e
ao, ao
da, da
Espanha, espanha
,, ,
apenas, apena
para, para
citar, citar
dois, doi
países, país
que, que
possuem, possuem
campeonatos, campeonato
milionários, milionário
., .

, 

É, é
por, por
estas, esta
e, e
outras, outra
que, que
o, o
Gabriel, gabriel
,, ,
The, the
Thinker, thinker
,, ,
tem, tem
toda, toda
razão, razão
quando, quando
afirma, afirma
em, em
seu, seu
rap-rapadura, rap-rapadura
que, que
a, a
gente, gent
abala, abala
quando, quando
quer, quer
,, ,
a, a
gente, gent
abala, abala
se, se
quiser, quiser
., .

, 

A, a
gente, gent
há-bola, há-bola
quando, quando
quer, quer
., .

, 

A, a
segunda, segunda
melhor, melhor
notícia, notícia
para, para
o, o
futebol, futebol
também, também
veio, veio
do, do
mesmo, mesmo
repórter, repórter
e, e
da, da
mesma, mesma
Sucursal, sucurs
., .

, 

Os, os
principais, principai
times, time
do, do
país, paí
passarão, passarão
a, a
votar, votar
nas, na
eleições, eleiçõ
para, para
a, a
presidência, presidência
da, da
CBF, cbf
., .

, 

Não, não
significa, significa
–, –
pelo, pelo
que, que
entendi, entendi
–, –
uma, uma
grande, grand
virada, virada
de, de
mesa, mesa
., .
As, as
federações, federaçõ
estaduais, estaduai
,, ,
que, que
não, não
são, são
nenhum, nenhum
modelo, modelo
de, de
eficiência, eficiência
administrativa, administrativa
,, ,
continuariam, continuariam
a, a
ter, ter
um, um
peso, peso
maior, maior
na, na
escolha, escolha
do, do
presidente, president
., .

, 

Mas, ma
não, não
é, é
nada, nada
,, ,
não, não
é, é
nada, nada
,, ,
já, já
se, se
pode, pode
ir, ir
pensando, pensando
em, em
uma, uma
mexidinha, mexidinha
., .
Até, até
porque, porqu
São, são
Paulo, paulo
,, ,
onde, ond
os, os
clubes, clube
passaram, passaram
a, a
ter, ter
uma, uma
gestão, gestão
administrativa, administrativa
mais, mai
moderna, moderna
,, ,
aumentou, aument
o, o
seu, seu
peso, peso
relativo, relativo
no, no
colégio, colégio
eleitoral, eleitor
., .

, 

Meu, meu
bem, bem
,, ,
meu, meu
mal, mal

, 

Bem, bem
lembrado, lembrado
pelo, pelo
Helena, helena
(, (
da, da
nossa, nossa
equipe, equip
de, de
juniores, junior
), )
,, ,
que, que
na, na
Europa, europa
,, ,
além, além
da, da
venda, venda
dos, do
ingressos, ingresso
antecipados, antecipado
,, ,
os, os
clubes, clube
concorrem, concorrem
a, a
pelo, pelo
menos, meno
quatro, quatro
posições, posiçõ
dentro, dentro
do, do
chamado, chamado
sistema, sistema
de, de
pontos, ponto
corridos, corrido
–, –
que, que
será, será
adotado, adotado
pelo, pelo
Paulistão, paulistão
que, que
começa, começa
neste, nest
sábado, sábado
., .

, 

A, a
Federação, federação
Paulista, paulista
de, de
Futebol, futebol
tentou, tentou
montar, montar
um, um
esquema, esquema
parecido, parecido
., .
Criou, criou
a, a
chamada, chamada
Copa, copa
Bandeirante, bandeirant
,, ,
que, que
seria, seria
disputada, disputada
pelo, pelo
campeão, campeão
paulista, paulista
mais, mai
os, os
cinco, cinco
times, time
de, de
melhor, melhor
indíce, indíc
técnico, técnico
(, (
maior, maior
número, número
de, de
pontos, ponto
ganhos, ganho
), )
., .

, 

O, o
campeão, campeão
paulista, paulista
e, e
o, o
campeão, campeão
da, da
Copa, copa
Bandeirante, bandeirant
serão, serão
os, os
representantes, representant
de, de
São, são
Paulo, paulo
na, na
Copa, copa
Brasil, brasil
., .

, 

Desta, desta
maneira, maneira
,, ,
mesmo, mesmo
que, que
um, um
time, time
dispare, dispar
na, na
primeira, primeira
colocação, colocação
,, ,
o, o
campeonato, campeonato
não, não
perderia, perderia
o, o
seu, seu
interesse, interess
porque, porqu
valeria, valeria
ainda, ainda
a, a
disputa, disputa
pelo, pelo
acesso, acesso
à, à
Copa, copa
Brasil, brasil
., .

, 

Além, além
disso, disso
,, ,
a, a
Federação, federação
reservou-se, reservou-s
o, o
direito, direito
de, de
elaborar, elaborar
uma, uma
tabela, tabela
dirigida, dirigida
do, do
segundo, segundo
turno, turno
., .
Pode, pode
ser, ser
uma, uma
decisão, decisão
sábia, sábia
,, ,
pois, poi
ela, ela
fica, fica
com, com
o, o
poder, poder
de, de
dificultar, dificultar
o, o
caminho, caminho
do, do
time, time
que, que
disparou, dispar
na, na
frente, frent
., .

, 

Como, como
também, também
pode, pode
ser, ser
um, um
convite, convit
irrecusável, irrecusável
para, para
as, as
velhas, velha
e, e
conhecidas, conhecida
patifarias, patifaria
., .

, 

Em, em
qual, qual
das, da
duas, dua
alternativas, alternativa
você, você
joga, joga
as, as
suas, sua
fichas, ficha
?, ?

, 

Matinas, matina
Suzuki, suzuki
Jr., jr.
escreve, escrev
nesta, nesta
coluna, coluna
às, às
terças, terça
,, ,
quintas, quinta
e, e
sábados, sábado
., .

, 

