Uma, ﻿uma
câmara, câmara
acionada, acionada
por, por
controle, control
remoto, remoto
e, e
um, um
zepelim, zepelim
são, são
as, as
duas, dua
novas, nova
armas, arma
que, que
a, a
polícia, polícia
pretende, pretend
usar, usar
contra, contra
a, a
violência, violência
nos, no
estádios, estádio
de, de
futebol, futebol
., .

, 

O, o
zepelim, zepelim
de, de
oito, oito
metros, metro
de, de
comprimento, comprimento
carregará, carregará
a, a
câmara, câmara
., .
O, o
objetivo, objetivo
será, será
filmar, filmar
e, e
localizar, localizar
os, os
torcedores, torcedor
violentos, violento
., .

, 

O, o
zepelim, zepelim
é, é
uma, uma
espécie, espéci
de, de
balão, balão
em, em
forma, forma
de, de
charuto, charuto
que, que
é, é
dirigível, dirigível
., .
A, a
PM, pm
está, está
pagando, pagando
US$, us$
90, 90
mil, mil
por, por
um, um
que, que
usará, usará
gás, gá
hélio, hélio
e, e
terá, terá
controle, control
remoto, remoto
., .

, 

Ele, ele
levará, levará
combustível, combustível
para, para
voar, voar
por, por
45, 45
minutos, minuto
e, e
poderá, poderá
alcançar, alcançar
uma, uma
altura, altura
de, de
40, 40
metros, metro
., .
A, a
previsão, previsão
é, é
que, que
a, a
novidade, novidad
esteja, esteja
em, em
São, são
Paulo, paulo
dentro, dentro
de, de
45, 45
dias, dia
., .

, 

Segundo, segundo
o, o
coronel, coronel
Roberto, roberto
Lemes, leme
,, ,
50, 50
,, ,
diretor, diretor
de, de
Comunicação, comunicação
Social, social
da, da
PM, pm
,, ,
a, a
câmara, câmara
do, do
zepelim, zepelim
será, será
ligada, ligada
a, a
um, um
monitor, monitor
de, de
vídeo, vídeo
no, no
estádio, estádio
., .

, 

Após, apó
a, a
identificação, identificação
e, e
localização, localização
dos, do
torcedores, torcedor
violentos, violento
,, ,
um, um
grupo, grupo
de, de
policiais, policiai
será, será
deslocado, deslocado
para, para
a, a
arquibancada, arquibancada
a, a
fim, fim
de, de
prender, prender
o, o
grupo, grupo
., .
Caso, caso
os, os
torcedores, torcedor
consigam, consigam
fugir, fugir
,, ,
as, as
fitas, fita
de, de
vídeo, vídeo
servirão, servirão
como, como
prova, prova
criminal, crimin
., .

, 

O, o
projeto, projeto
da, da
PM, pm
também, também
envolve, envolv
a, a
compra, compra
de, de
34, 34
bonecos, boneco
de, de
plástico, plástico
de, de
seis, sei
metros, metro
de, de
altura, altura
., .
Os, os
bonecos, boneco
vestirão, vestirão
fardas, farda
da, da
PM, pm
e, e
terão, terão
letreiros, letreiro
com, com
mensagens, mensagen
educativas, educativa
nas, na
portas, porta
dos, do
estádios, estádio
., .

, 

", "
Estamos, estamo
tentando, tentando
que, que
uma, uma
confecção, confecção
faça, faça
camisas, camisa
dos, do
clubes, clube
para, para
vestir, vestir
os, os
bonecos, boneco
'', ''
,, ,
disse, diss
o, o
coronel, coronel
., .
Cada, cada
boneco, boneco
custará, custará
R$, r$
3.000, 3.000
por, por
mês, mê
para, para
a, a
PM, pm
., .
Assim, assim
como, como
o, o
zepelim, zepelim
,, ,
eles, ele
foram, foram
encomendados, encomendado
nos, no
Estados, estado
Unidos, unido
., .

, 

De, de
acordo, acordo
com, com
Lemes, leme
,, ,
o, o
projeto, projeto
está, está
sendo, sendo
bancado, bancado
com, com
custo, custo
zero, zero
para, para
o, o
Estado, estado
., .
O, o
zepelim, zepelim
e, e
os, os
bonecos, boneco
serão, serão
pagos, pago
através, atravé
da, da
venda, venda
de, de
anúncios, anúncio
publicitários, publicitário
., .

, 

Quatro, quatro
empresas, empresa
já, já
teriam, teriam
fechado, fechado
contratos, contrato
com, com
a, a
PM, pm
:, :
A, a
M2, m2
Marketing, market
,, ,
a, a
Bradesco, bradesco
Seguros, seguro
,, ,
a, a
Coca-Cola, coca-cola
e, e
a, a
Sul-América, sul-américa
Seguros, seguro
., .

, 

Elas, ela
terão, terão
suas, sua
marcas, marca
ao, ao
lado, lado
dos, do
logotipos, logotipo
da, da
PM, pm
nos, no
bonecos, boneco
e, e
no, no
zepelim, zepelim
,, ,
que, que
também, também
carregará, carregará
um, um
telão, telão
que, que
passará, passará
mensagens, mensagen
ao, ao
público, público
., .
Essa, essa
é, é
a, a
primeira, primeira
vez, vez
que, que
equipamentos, equipamento
da, da
PM, pm
terão, terão
patrocinadores, patrocinador
., .

, 

Os, os
bonecos, boneco
e, e
o, o
zepelim, zepelim
também, também
deverão, deverão
ser, ser
usados, usado
para, para
outros, outro
tipos, tipo
de, de
policiamento, policiamento
., .
Segundo, segundo
Lemes, leme
,, ,
o, o
projeto, projeto
prevê, prevê
que, que
o, o
zepelim, zepelim
sobrevoe, sobrevo
e, e
filme, film
rebeliões, rebeliõ
em, em
presídios, presídio
e, e
oriente, orient
o, o
trânsito, trânsito
nas, na
cidades, cidad
e, e
nas, na
estradas, estrada
., .

, 

Os, os
bonecos, boneco
também, também
poderão, poderão
ser, ser
usados, usado
nas, na
praias, praia
`, `
`, `
com, com
roupas, roupa
de, de
salva-vidas, salva-vida
'', ''
,, ,
nas, na
estradas, estrada
e, e
no, no
trânsito, trânsito
., .
", "
Eles, ele
(, (
os, os
bonecos, boneco
), )
podem, podem
ser, ser
vistos, visto
a, a
uma, uma
distância, distância
de, de
quase, quas
dois, doi
quilômetros, quilômetro
'', ''
,, ,
disse, diss
., .

, 

