Com, ﻿com
um, um
show, show
de, de
Dener, dener
,, ,
o, o
Vasco, vasco
bateu, bateu
o, o
Volta, volta
Redonda, redonda
por, por
2, 2
a, a
0, 0
,, ,
ontem, ontem
em, em
São, são
Januário, januário
,, ,
na, na
estréia, estréia
do, do
Campeonato, campeonato
do, do
Rio, rio
., .
Ricardo, ricardo
Rocha, rocha
e, e
Luizinho, luizinho
tiveram, tiveram
estréias, estréia
discretas, discreta
., .

, 

Aos, ao
9min, 9min
,, ,
Valdir, valdir
fez, fez
o, o
primeiro, primeiro
gol, gol
,, ,
num, num
chute, chute
rasteiro, rasteiro
de, de
fora, fora
da, da
área, área
., .
Aos, ao
44min, 44min
,, ,
Dener, dener
venceu, venceu
o, o
zagueiro, zagueiro
Roberto, roberto
Silva, silva
,, ,
invadiu, invadiu
a, a
área, área
e, e
fez, fez
2, 2
x, x
0, 0
., .
No, no
segundo, segundo
tempo, tempo
,, ,
aos, ao
3min, 3min
,, ,
Dener, dener
acertou, acert
um, um
chutou, chutou
no, no
travessão, travessão
., .
A, a
bola, bola
bateu, bateu
na, na
linha, linha
., .

, 

O, o
atacante, atacant
Edmundo, edmundo
,, ,
do, do
Palmeiras, palmeira
,, ,
acompanhou, acompanh
a, a
partida, partida
das, da
sociais, sociai
., .
Na, na
tribuna, tribuna
de, de
honra, honra
estava, estava
o, o
presidente, president
da, da
Federação, federação
do, do
Estado, estado
do, do
Rio, rio
,, ,
Eduardo, eduardo
Viana, viana
., .
Em, em
Caio, caio
Martins, martin
,, ,
o, o
Botafogo, botafogo
goleou, goleou
o, o
América, américa
por, por
6, 6
a, a
0, 0
., .
Hoje, hoje
o, o
Flamengo, flamengo
estréia, estréia
contra, contra
o, o
Bangu, bangu
., .

, 

NA, na
TV, tv

, 

Flamengo, flamengo
x, x
Bangu, bangu
,, ,
20h40, 20h40
,, ,
na, na
TV, tv
Bandeirantes, bandeirant
., .

, 

