Os, ﻿o
torcedores, torcedor
do, do
Vasco, vasco
costumam, costumam
chamar, chamar
o, o
Flamengo, flamengo
de, de
", "
o, o
clube, clube
de, de
seis, sei
milhões, milhõ
de, de
dólares, dólare
", "
., .
É, é
uma, uma
provocação, provocação
por, por
causa, causa
da, da
dívida, dívida
do, do
arquiinimigo, arquiinimigo
,, ,
cujos, cujo
salários, salário
de, de
jogadores, jogador
e, e
funcionários, funcionário
estão, estão
atrasados, atrasado
., .

, 

As, as
escolinhas, escolinha
de, de
futebol, futebol
estão, estão
paradas, parada
., .
Seus, seu
67, 67
professores, professor
,, ,
sem, sem
receber, receb
,, ,
entraram, entraram
em, em
greve, greve
., .

, 

O, o
Flamengo, flamengo
foi, foi
o, o
clube, clube
carioca, carioca
que, que
mais, mai
investiu, investiu
em, em
1993, 1993
., .
Hoje, hoje
,, ,
só, só
a, a
Júnior, júnior
,, ,
deve, deve
US$, us$
245, 245
mil, mil
., .
A, a
Renato, renato
Gaúcho, gaúcho
,, ,
que, que
foi, foi
para, para
o, o
Atlético, atlético
Mineiro, mineiro
,, ,
quase, quas
o, o
dobro, dobro
., .
Para, para
fazer, fazer
frente, frent
as, as
despesas, despesa
,, ,
vende, vend
jogadores, jogador
., .
Marcelinho, marcelinho
,, ,
Júnior, júnior
Baiano, baiano
e, e
Djalminha, djalminha
foram, foram
respectivamente, respectivament
para, para
Corinthians, corinthian
,, ,
São, são
Paulo, paulo
e, e
Guarani, guarani
., .

, 

Dono, dono
de, de
um, um
dos, do
maiores, maior
patrimônios, patrimônio
do, do
futebol, futebol
carioca, carioca
,, ,
o, o
Flamengo, flamengo
já, já
pensa, pensa
em, em
se, se
desfazer, desfaz
de, de
parte, part
dele, dele
., .
A, a
sede, sede
do, do
Morro, morro
da, da
Viúva, viúva
pode, pode
ser, ser
vendida, vendida
., .
O, o
clube, clube
espera, espera
conseguir, conseguir
US$, us$
15, 15
milhões, milhõ
para, para
sair, sair
da, da
crise, crise
., .
(, (
JM, jm
), )

, 

