O, ﻿o
inquérito, inquérito
policial, polici
para, para
investigar, investigar
as, as
denúncias, denúncia
de, de
corrupção, corrupção
no, no
futebol, futebol
do, do
Rio, rio
foi, foi
instaurado, instaurado
a, a
pedido, pedido
do, do
deputado, deputado
estadual, estadu
Sérgio, sérgio
Cabral, cabral
Filho, filho
(, (
PSDB, psdb
), )
., .
", "
Estou, estou
esperançoso, esperançoso
,, ,
mas, ma
só, só
lamento, lamento
que, que
a, a
Assembléia, assembléia
Legislativa, legislativa
não, não
tenha, tenha
entrado, entrado
nesta, nesta
apuração, apuração
", "
,, ,
disse, diss
o, o
autor, autor
do, do
projeto, projeto
de, de
criação, criação
da, da
chamada, chamada
", "
CPI, cpi
do, do
apito, apito
", "
., .

, 

Com, com
a, a
instauração, instauração
do, do
inquérito, inquérito
pela, pela
polícia, polícia
do, do
Rio, rio
,, ,
as, as
investigações, investigaçõ
de, de
supostas, suposta
irregularidades, irregularidad
no, no
futebol, futebol
fluminense, fluminens
se, se
ampliam, ampliam
., .
Também, também
a, a
pedido, pedido
de, de
Cabral, cabral
Filho, filho
,, ,
o, o
Ministério, ministério
Público, público
do, do
Estado, estado
está, está
investigando, investigando
as, as
denúncias, denúncia
envolvendo, envolvendo
o, o
diretor, diretor
da, da
Comissão, comissão
de, de
Arbitros, arbitro
,, ,
Wagner, wagner
Canazaro, canazaro
,, ,
e, e
o, o
presidente, president
da, da
Federação, federação
,, ,
Eduardo, eduardo
Vianna, vianna
., .
De, de
acordo, acordo
com, com
as, as
denúncias, denúncia
dos, do
árbitros, árbitro
,, ,
o, o
esquema, esquema
que, que
seria, seria
coordenado, coordenado
por, por
Canazaro, canazaro
e, e
Vianna, vianna
favoreceria, favoreceria
clubes, clube
ligados, ligado
aos, ao
dois, doi
., .

, 

A, a
criação, criação
da, da
", "
CPI, cpi
do, do
Apito, apito
", "
foi, foi
adiada, adiada
depois, depoi
que, que
dois, doi
deputados, deputado
ligados, ligado
a, a
Vianna, vianna
,, ,
Almir, almir
Rangel, rangel
(, (
PSC, psc
), )
e, e
Albano, albano
Reis, rei
(, (
sem, sem
partido, partido
), )
,, ,
apresentaram, apresentaram
emendas, emenda
ao, ao
projeto, projeto
., .
Dependendo, dependendo
do, do
calendário, calendário
,, ,
a, a
decisão, decisão
ficará, ficará
para, para
fevereiro, fevereiro
,, ,
após, apó
o, o
recesso, recesso
parlamentar, parlamentar
., .

, 

