Etnólogo, ﻿etnólogo
,, ,
antropólogo, antropólogo
,, ,
educador, educador
,, ,
romancista, romancista
,, ,
o, o
senador, senador
Darcy, darci
Ribeiro, ribeiro
(, (
PDT-RJ, pdt-rj
), )
,, ,
72, 72
,, ,
comenta, comenta
pesquisa, pesquisa
sobre, sobr
a, a
imagem, imagem
do, do
Brasil, brasil
com, com
o, o
prestígio, prestígio
de, de
quem, quem
conhece, conhec
e, e
pensa, pensa
o, o
país, paí
com, com
originalidade, originalidad
inquietante, inquietant
há, há
várias, vária
décadas, década
., .

, 

Em, em
janeiro, janeiro
deste, dest
ano, ano
fugiu, fugiu
de, de
hospital, hospit
onde, ond
tratava, tratava
de, de
câncer, câncer
e, e
,, ,
fazendo, fazendo
", "
careta, careta
para, para
a, a
morte, mort
", "
,, ,
concluiu, concluiu
", "
O, o
Brasil, brasil
como, como
Problema, problema
", "
e, e
", "
O, o
Povo, povo
Brasileiro, brasileiro
", "
., .

, 

Carioca, carioca
incurável, incurável
,, ,
Darcy, darci
nasceu, nasceu
em, em
Montes, mont
Claros, claro
(, (
MG, mg
), )
e, e
formou-se, formou-s
na, na
Escola, escola
de, de
Sociologia, sociologia
e, e
Política, política
da, da
USP, usp
,, ,
em, em
1946, 1946
., .

, 

No, no
ano, ano
seguinte, seguint
,, ,
a, a
convite, convit
do, do
marechal, marech
Rondon, rondon
,, ,
trocou, trocou
a, a
cidade, cidad
pela, pela
selva, selva
,, ,
passando, passando
a, a
trabalhar, trabalhar
no, no
Serviço, serviço
de, de
Proteção, proteção
aos, ao
Índios, índio
., .

, 

É, é
autor, autor
de, de
obras, obra
etnográficas, etnográfica
como, como
", "
Religião, religião
e, e
Mitologia, mitologia
Kadiwéu, kadiwéu
", "
(, (
1950, 1950
), )
e, e
", "
Língua, língua
e, e
Cultura, cultura
Indígenas, indígena
do, do
Brasil, brasil
", "
(, (
1957, 1957
), )
., .

, 

Em, em
1961, 1961
,, ,
nomeado, nomeado
ministro, ministro
da, da
Educação, educação
e, e
Cultura, cultura
,, ,
criou, criou
a, a
Universidade, universidad
de, de
Brasília, brasília
(, (
UnB, unb
), )
., .

, 

Era, era
chefe, chefe
da, da
Casa, casa
Civil, civil
da, da
Presidência, presidência
da, da
República, república
de, de
João, joão
Goulart, goulart
(, (
1963-64, 1963-64
), )
quando, quando
foi, foi
cassado, cassado
pelo, pelo
regime, regim
militar, militar
., .
Voltou, voltou
do, do
exílio, exílio
em, em
1976, 1976
,, ,
publicou, public
o, o
romance, romanc
", "
Maíra, maíra
", "
e, e
elegeu-se, elegeu-s
vice-governador, vice-governador
do, do
Rio, rio
em, em
1982, 1982
., .

, 

Imortal, imort
,, ,
é, é
membro, membro
da, da
Academia, academia
Brasileira, brasileira
de, de
Letras, letra
desde, desd
1992, 1992
., .

, 

